"Element","Model","n_test_median","n_success","Failure_rate_pct","R2_single","RMSE_single","RMSE_ppm_single","R2_mean","R2_sd","R2_q05","R2_q25","R2_q75","R2_q95","RMSE_mean","RMSE_sd","RMSE_ppm_mean","RMSE_ppm_sd","R2_boot_s","RMSE_boot_s","Robustness_boot","Bootstrap_Unstable"
"Ti","OLS",120,2000,0,0.729930592021033,0.639603384224678,2035.54425020404,0.721472211780129,0.0414752687699907,0.647980042492791,0.694871744829879,0.75066304101695,0.783176150339138,0.644961087950967,0.0396428193778996,2154.71909342437,405.805847037016,0.249187527484282,0.642937693366344,0.292337439144032,FALSE
"Ti","WLS",120,2000,0,0.728935134347202,0.640781067535794,1882.89538666468,0.721472211780129,0.0414752687699907,0.647980042492791,0.694871744829879,0.75066304101695,0.783176150339138,0.644961087950967,0.0396428193778996,2154.71909342437,405.805847037016,0.249187527484282,0.642937693366344,0.292337439144032,FALSE
"Ti","OLS_weighted",120,2000,0,0.718555763474536,0.652933928562262,2173.73266969499,0.721472211780129,0.0414752687699907,0.647980042492791,0.694871744829879,0.75066304101695,0.783176150339138,0.644961087950967,0.0396428193778996,2154.71909342437,405.805847037016,0.249187527484282,0.642937693366344,0.292337439144032,FALSE
"Ti","WLS_weighted",120,2000,0,0.72919658362992,0.640471967780676,1893.08238585334,0.721472211780129,0.0414752687699907,0.647980042492791,0.694871744829879,0.75066304101695,0.783176150339138,0.644961087950967,0.0396428193778996,2154.71909342437,405.805847037016,0.249187527484282,0.642937693366344,0.292337439144032,FALSE
"Zr","RF",121,25,0,0.744758871788424,0.66394198898659,46.0449432203038,0.70604938902028,0.0295904359246368,0.662440019596347,0.67928660635219,0.72951444683115,0.744556651881262,0.709935445247233,0.0333557412734909,50.2277957144861,11.2529756754399,1,0,1,FALSE
"Zr","Bayes",120,2000,0,0.7219222288162,0.693007515213175,84.3816359771264,0.698559296384951,0.0384115400049172,0.634646454317492,0.674651081867961,0.725321089320003,0.757423994564706,0.717746663424742,0.043589556074496,92.82995466692,36.7731761661837,0.932722700484664,0.364877969055278,0.813682432668687,FALSE
"Zr","PLS_LOO",121,500,0,0.72037835645274,0.69492862207945,77.8910261396823,0.693127088731274,0.0442534625317995,0.62175281878693,0.66822863352584,0.722984716711339,0.756737808223907,0.724380751380053,0.049229129002262,86.3590270199628,29.7614838546302,0.883929677602395,0.309455920131382,0.806575438508884,FALSE
"Zr","PLS_kfold",121,500,0,0.72037835645274,0.69492862207945,77.8910261396823,0.693127088731274,0.0442534625317995,0.62175281878693,0.66822863352584,0.722984716711339,0.756737808223907,0.724380751380053,0.049229129002262,86.3590270199628,29.7614838546302,0.883929677602395,0.309455920131382,0.806575438508884,FALSE
"Zr","OLS",120,2000,0,0.608456680906178,0.822327315016661,148.16046066862,0.594717740911819,0.0379296494041194,0.528841519099038,0.570571819624095,0.62145901473248,0.653437468116439,0.833109211665035,0.0379906762880282,166.985075039234,89.6860992164854,0,1,0,FALSE
"Zr","WLS",120,2000,0,0.608323185716187,0.822467487738816,159.077231156446,0.594717740911819,0.0379296494041194,0.528841519099038,0.570571819624095,0.62145901473248,0.653437468116439,0.833109211665035,0.0379906762880282,166.985075039234,89.6860992164854,0,1,0,FALSE
"Zr","OLS_weighted",120,2000,0,0.401191970178938,1.01694769214115,153.784821913486,0.594717740911819,0.0379296494041194,0.528841519099038,0.570571819624095,0.62145901473248,0.653437468116439,0.833109211665035,0.0379906762880282,166.985075039234,89.6860992164854,0,1,0,FALSE
