"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Ba","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
395.7,5896.4,7.51,19860,57571,56662,1.43,0,0.0723589001447178,0,0,0.289435600578871,0.109420775828598,0.0405915781299636,0.0264727683456285,0.0652994952525502,27.6216864918287,0.282376195686704,0.292965303024955,0.185309378419399,0,2.72140058593061,0,0.538279623027779,1.08361865094773,0,57.0823479580671,9.58843669478663,0.167975513,100,66.6707846528538
395.8,5897.6,7.51,19701,55227,54435,1.38,0.0532745476256085,0.0477633875264076,0.0220446403968035,0.00734821346560118,0.277395058326444,0,0.00918526683200147,0.0293928538624047,0.0349040139616056,26.3617158078442,0.484982088729678,0.25167631119684,0.209424083769634,0,2.81620281069165,0,0.49967851566088,1.10223201984018,0,58.1978506475613,9.59492973270874,0.164867424,100,67.79278038027
395.9,5899.2,7.52,19412,54840,53842,1.16,0,0.0705768730730656,0.0222874336020207,0.0167155752015155,0.271163775491252,0.0371457226700345,0.0222874336020207,0.0315738642695294,0.0650050146725605,25.5822592028528,0.523754689647487,0.481037108576947,0.347312506964823,0,2.85279150105865,0.0631477285390587,0.653764718992608,1.15894654730508,0,58.3670740314253,9.43315627205527,0.161617769,100,67.8002303034806
396,5900.9,7.53,19098,54080,53319,1.42,0,0.129409778878073,0.0187550404171121,0.0225060485005345,0.286952118381815,0.0525141131679139,0.0262570565839569,0.0337590727508018,0.118156754627806,26.6190288640072,0.508261595303738,0.285076614340104,0.150040323336897,0,2.80950505448339,0.0206305444588233,0.583281756972186,1.04465575123314,0,57.7692754927887,9.52193401976781,0.164826959,100,67.2912095125565
396.1,5902.2,7.53,19261,56700,55819,1.23,0,0.078826206130529,0.0197065515326323,0,0.333219871369964,0,0,0.035830093695695,0.014332037478278,31.019903617048,0.428169619663555,0.397714040022215,0.245436141815511,0,2.64784392411186,0,0.562532471022412,1.31317293394722,0.0107490281087085,53.874128880847,9.01843458320644,0.167398244,100,62.8925634640535
396.2,5903.9,7.54,18821,54786,54072,1.43,0.0406864920846279,0.0480840361000148,0.0258914040538541,0.0295901760615476,0.345835182719337,0.020343246042314,0,0.0425358780884746,0.0832223701731025,28.6839769196627,0.565912117177097,0.216378162450067,0.188637372392366,0,2.43379198106229,0.325491936677023,0.571460275188637,1.28347388666963,0.00924693001923362,55.453839325344,9.63160230803373,0.173686843,100,65.0854416333777
396.3,5905.4,7.55,18926,54480,53774,1.25,0,0.0464908691932904,0.0278945215159743,0.0148770781418529,0.381225127384982,0.0818239297801912,0,0.0371926953546323,0.146911146650798,28.2515713913787,0.44817197902332,0.226875441663257,0.202700189682746,0,2.3524379811805,0.290103023766132,0.766169524305426,1.2236396771674,0,56.3822665228549,9.11964890095585,0.161746759,100,65.5019154238108
396.4,5906.9,7.55,19073,54744,53952,1.31,0,0.0871144721233689,0,0.0148279952550415,0.287292408066429,0.0759934756820878,0,0.0834074733096085,0.0556049822064057,30.6439056939502,0.48747034400949,0.250222419928826,0.211298932384342,0,2.64865065243179,0,0.205738434163701,0.752520759193357,0,55.0266903914591,9.1692615658363,0.166632983,100,64.1959519572954
396.5,5908.9,7.55,19428,58547,57779,1.35,0.0519219785735302,0.0571141764308832,0.0207687914294121,0.0640371069073539,0.287301614773534,0.105574689766178,0,0.0346146523823535,0.117689818100002,33.6212118589799,0.744215026220599,0.321916267155887,0.278647951677945,0,2.82455563440004,0,0.567680299070597,0.934595614323543,0,51.2539157825507,8.71423873725748,0.170020936,100,59.9681545198082
396.6,5910.3,7.54,19885,59912,59094,1.42,0.028767725995871,0.057535451991742,0.0338443835245541,0.0135377534098216,0.399363725589738,0.0473821369343757,0,0.0406132602294649,0.106609808102345,33.7479270315091,0.258909533962839,0.355366027007818,0.340136054421769,0.143838629979355,3.0781466815582,0,0.522895725454361,0.957796053744881,0,51.382543066978,8.48478694960571,0.165129759,100,59.8673300165838
396.7,5912.4,7.55,19725,61236,60342,1.26,0.0182294256073713,0.117662656193033,0,0.0381160717245037,0.392761260813364,0.154121507407776,0,0,0.0679460409002022,35.4264028371615,0.455735640184283,0.283384707169136,0.147492625368732,0,2.70126943091048,0,0.33807298399125,1.01256173146399,0,50.0745749229392,8.77166815816513,0.175172094,100,58.8462430811044
396.8,5913.9,7.55,19818,64360,63710,1.41,0.0423795322555329,0.147543556741485,0,0.0439491445612934,0.343745094961545,0.111442473708994,0,0.00941767383456286,0.125568984460838,39.0127138596767,0.497567100926071,0.210328048971904,0.122429759849317,0.03296185842097,2.86297284570711,0,0.572908491602574,1.11913357400722,0.00784806152880239,46.7352064040182,8.00188353476691,0.171217464,100,54.7370899387851
396.9,5915.4,7.55,19877,64519,63771,1.57,0.00784055448401311,0.106631540982578,0.0329303288328551,0.0172492198648288,0.376346615232629,0.112903984569789,0.0219535525552367,0.0188173307616315,0.0689968794593154,38.6790233805335,0.45475216007276,0.214831192861959,0.280691850527669,0,2.39764156121121,0.29323673770209,0.740148343290838,1.05063430085776,0,47.1625033322357,7.96286713396371,0.168838941,100,55.1253704661994
397,5917,7.55,20368,67731,66897,1.38,0,0.128555839574271,0.0254122008460768,0.0373708835971718,0.321389598935677,0.17190606454699,0,0,0.0822159439137779,40.6759645425056,0.41556422560055,0.316905092904017,0.192833759361406,0.113607486135402,2.09874882281717,0.130050674918158,0.406595213537229,0.78329372019672,0,46.0872684873761,8.01231744323363,0.173850994,100,54.0995859306097
397.1,5919.1,7.56,20378,67233,66614,1.4,0.0165130453057916,0.120094874951211,0.0165130453057916,0.0330260906115831,0.340769207674062,0.10358182964542,0,0.0360284624853634,0.0690545530969466,39.58777434173,0.537424565406671,0.354279881106074,0.217671960849071,0.249196865523764,1.9035037679767,0,0.400816645149668,1.08835980424535,0,47.0576755636953,7.86771549524124,0.167193033,100,54.9253910589366
397.2,5920.5,7.56,20770,69121,68467,1.38,0,0.173806359267969,0.0175266916908876,0.0350533833817752,0.303795989308718,0.0511195174317554,0,0.0219083646136095,0.0671856514817357,42.7373771305885,0.381205544276805,0.255597587158777,0.217623088495187,0.140213533527101,1.98927950691574,0.0730278820453649,0.353454949099566,0.793082799012663,0,44.9851753399448,7.4035666817591,0.164577922,100,52.3887420217039
397.3,5922.2,7.56,20568,65178,64468,1.33,0.0434324005708258,0.136501830365453,0.0217162002854129,0,0.384686976484457,0.158218030650866,0,0,0.0713532295092139,37.5535149221319,0.257492089098467,0.283861760873612,0.235775888813055,0.077557858162189,1.99789042625799,0,0.386238133647701,0.907426940497611,0,49.2399329900106,8.24440032264069,0.167433216,100,57.4843333126512
397.4,5924.3,7.57,20686,65263,64330,1.39,0.00932690812995492,0.143012591325975,0.0419710865847971,0.043525571273123,0.388621172081455,0.101041504741178,0.0217627856365615,0.034198663143168,0.0808332037929426,35.5293020363749,0.309342452976838,0.357531478314939,0.287579667340277,0.172547800404166,2.07368257422664,0.0139903621949324,0.307787968288512,1.11922897559459,0,50.5518420643557,8.41287113321934,0.166420664,100,58.964713197575
397.5,5926.2,7.58,20294,60353,59421,1.2,0,0.124535097019572,0.0235606940307299,0.0605846417933054,0.434189932852022,0.0976085895558809,0.0235606940307299,0,0.0252436007472106,29.0099459786944,0.412312145537773,0.336581343296141,0.287777048518201,0.185119738812878,2.31904545531041,0,0.711869541071338,1.23693643661332,0,55.4181181737096,9.29301088840645,0.167689037,100,64.7111290621161
397.6,5927.9,7.58,20395,57852,57163,1.46,0,0.11545930059654,0.0349876668474363,0.0454839669016672,0.400608785403145,0.15394573412872,0.00699753336948726,0,0.118958067281283,25.4167905813201,0.297395168203208,0.384864335321799,0.111960533911796,0.162692650840579,2.44388852929342,0.150446967443976,0.689257036894495,0.967408988331613,0,59.1396532722215,9.3592008816892,0.158255931,100,68.4988541539107
397.7,5929.6,7.59,20533,58767,57920,1.38,0.0414364640883978,0.136395027624309,0,0.0431629834254144,0.371201657458564,0.129488950276243,0,0,0.0414364640883978,25.1571132596685,0.267610497237569,0.314226519337017,0.376381215469613,0.0621546961325967,2.38604972375691,0,0.737223756906077,1.26726519337017,0,59.1298342541436,9.53901933701657,0.161323289,100,68.6688535911602
397.8,5931.1,7.59,20563,60446,59310,1.26,0,0.106221547799697,0.00674422525712359,0.0590119709998314,0.399595346484573,0.151745068285281,0.0269769010284944,0,0.0927330972854493,26.1001517450683,0.315292530770528,0.306862249199123,0.372618445456078,0.185466194570899,2.701062215478,0.116337885685382,0.580003372112629,1.17180913842522,0,57.8974877760917,9.40988029000169,0.162526573,100,67.3073680660934
397.9,5932.6,7.6,20560,60291,59311,1.3,0,0.111277840535482,0.02697644619042,0.0775572827974575,0.325403382171941,0.151742509821112,0.0354065856249262,0.0505808366070375,0.0185463067559137,25.5618687933098,0.291682824433916,0.318659270624336,0.25627623880899,0.266392406130397,2.73305120466693,0.156800593481816,0.929001365682588,1.20213788336059,0,57.9218020266055,9.56483620239079,0.165133609,100,67.4866382289963
398,5933.7,7.61,21043,60958,60142,1.43,0,0.0798111136975824,0.033254630707326,0.0581956037378205,0.359150011639121,0.0698347244853846,0.0282664361012271,0.0581956037378205,0.0532074091317216,26.4673605799608,0.295966213295201,0.229456951880549,0.297628944830568,0,2.52236373915068,0,0.84466761996608,1.18386485318081,0,58.220544710851,9.19823085364637,0.157989433,100,67.4187755644974
398.1,5935.3,7.6,21413,63566,62280,1.41,0,0.0899165061014772,0.0449582530507386,0.0481695568400771,0.362877328195247,0.0931278098908157,0.0289017341040462,0.0240847784200385,0.0915221579961464,28.6191393705845,0.362877328195247,0.284200385356455,0.250481695568401,0.0385356454720617,2.70712909441233,0,0.998715478484265,1.18175979447656,0,56.2732819524727,8.50032113037893,0.151054299,100,64.7736030828516
398.2,5937,7.6,21338,62417,61575,1.28,0.0552172147787251,0.0763296792529436,0.0389768574908648,0.0129922858302883,0.350791717417783,0.0925700365408039,0,0.0097442143727162,0.097442143727162,28.0860738936257,0.259845716605765,0.206252537555826,0.237109216402761,0.099066179455948,2.8258221680877,0.193260251725538,0.833130328867235,1.20503451075924,0,56.4823386114495,8.83800243605359,0.156473734,100,65.320341047503
398.3,5938,7.6,21599,62775,61882,1.47,0,0.0743350247244756,0.0274716395720888,0.0403994699589541,0.426618402766556,0.166445816230891,0.038783491160596,0,0.0937267703047736,28.8872369994506,0.282796289712679,0.303804014091335,0.27310041692253,0.0743350247244756,2.6227335897353,0.0953427491031318,0.575288452215507,0.979283151805048,0,56.0987039850037,8.93959471251737,0.159354746,100,65.0382986975211
398.4,5939.6,7.58,21692,62332,61459,1.24,0,0.0569485347955548,0.0146439089474284,0.0211523129240632,0.375860329650661,0.0992531606436812,0,0.0162710099415871,0.0911176556728876,28.5068094176606,0.346572511755805,0.354708016726598,0.196879220293204,0,2.60173448965977,0.165964301404188,0.750093558307164,1.36188353211084,0,56.4034559625116,8.63665207699442,0.153122746,100,65.040108039506
398.5,5940.9,7.58,21544,62151,61154,1.27,0.0572325604212316,0.0703142885175132,0,0.0130817280962815,0.382640546816234,0.101383392746182,0,0.0228930241684927,0.0801255845897243,27.0252150309056,0.621382084573372,0.392451842888446,0.289433234130229,0.138993361022991,2.73898682015894,0.0637734244693724,1.10050037609968,1.24603460117081,0,56.553945776237,9.10161232298787,0.160936822,100,65.6555580992249
398.6,5942.6,7.57,21564,60845,60007,1.28,0.00999883346942857,0.0716583065309047,0.0549935840818571,0.0466612228573333,0.396620394287333,0.0299965004082857,0,0.0583265285716666,0.0783241955105238,26.0086323262286,0.236639058776476,0.364957421634143,0.319962671021714,0.0949889179595714,2.46137950572433,0,1.02987984735114,0.896562067758761,0.00833236122452381,58.4015198226874,9.43056643391604,0.1614781,100,67.8320862566034
398.7,5944.2,7.57,21975,64769,63923,1.6,0.0187725857672512,0.0844766359526305,0.023465732209064,0.0375451715345025,0.35198598313596,0.0938629288362561,0.0172082036199803,0.025030114356335,0.128279336076217,30.4616491716597,0.441155765530404,0.206498443439763,0.231528557796098,0,2.45607997121537,0.115764278898049,1.06847300658605,1.17641537474774,0,54.2277427529997,8.83406598563897,0.162906762,100,63.0618087386387
398.8,5945.8,7.56,21900,63285,62353,1.36,0.0320754414382628,0.0513207063012205,0.0304716693663497,0.0416980738697416,0.394527929690632,0.0833961477394833,0,0.0753772873799176,0.0753772873799176,29.1854441646753,0.335188363029846,0.367263804468109,0.376886436899588,0.091415008099049,2.62858242586564,0.0833961477394833,0.949433066572579,1.23009317915738,0,54.9452311837442,9.02282167658332,0.164214828,100,63.9680528603275
398.9,5947.1,7.56,21890,63491,62473,1.33,0,0.0704304259440078,0.0352152129720039,0.0736318089414627,0.432186704656412,0.126454628399469,0.0336145214732765,0.0400172874681863,0.096041489923647,29.3950986826309,0.259312022793847,0.358554895714949,0.246506490804027,0.15046500088038,2.59151953643974,0,0.816352664351,1.21652553903286,0,55.1230131416772,8.93505994589663,0.162093098,100,64.0580730875738
399,5948.8,7.55,22098,64503,63763,1.32,0.0141147687530386,0.0972350736320437,0.0125464611138121,0,0.439126138983423,0.0313661527845302,0.0172513840314916,0.0548907673729279,0.079983689600552,30.5835672725562,0.487743675799445,0.249360914637015,0.228972915327071,0.225836300048618,2.42774022552264,0,0.724558129322648,1.08056396342707,0.00784153819613255,54.365384313787,8.87191631510437,0.163190538,100,63.2373006288914
399.1,5950.2,7.55,22306,63539,62699,1.36,0.0175441394599595,0.0637968707634891,0.0191390612290467,0.0287085918435701,0.529514027336959,0.173846472830508,0.0462527313035296,0.00797460884543613,0.0749613231470996,28.2604188264566,0.240833187132171,0.392350755195458,0.210529673519514,0.122808976219716,2.8469353578207,0,0.762372605623694,1.25201358873347,0,56.0519306528015,8.89806854973764,0.15874687,100,64.9499992025391
399.2,5951.5,7.54,21880,59754,58806,1.38,0,0.115634459068803,0.0272081080161888,0.0408121620242832,0.562867734584906,0.15134510084005,0.0187055742611298,0.0799238172975547,0.0306091215182124,23.8070945141652,0.2737815869129,0.382614018977655,0.287385640920995,0.144543073836003,2.9826888412747,0,0.685304220657756,1.31449171853212,0,59.7490052035507,9.34598510356086,0.156420765,100,69.0949903071115
