"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-1.54461961637468,-3.84720469531016,11.1310995537805,6.91195722841442,9.52066515040393,8.20524208656114,10.8360882142467,9.51965283250104,8.26823444536603,10.771071219636
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-1.89389759569652,-4.19648267540013,10.076597018011,4.43455539823,9.27591317194853,7.9605229242909,10.5913034196062,9.28434151104567,7.95888011115135,10.60980291094
"Bird Island","BI10","BI10.7",271,265,266,265.5,-0.390067371053129,-2.69265246700134,10.9810035594278,6.5541796363862,10.3297025446915,9.01165457051631,11.6477505188667,10.2974837597853,9.28868030076514,11.3062872188054
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-1.23934927419338,-3.54193436373406,10.8172296000719,5.2756796014742,9.7345793523748,8.41883774368498,11.0503209610646,9.72531586273068,8.5384025183959,10.9122292070655
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.739152336381814,-1.56343275613471,11.1987648930042,7.00878874675648,11.1209884941869,9.79665659869762,12.4453203896762,11.0582479570756,10.2813029172941,11.8351929968572
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.0754054948640773,-2.2271795944205,11.2230589765515,7.31892564511057,10.655876571098,9.33568125098124,11.9760718912148,10.6110764901179,9.69873722661815,11.5234157536177
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.0145411590676838,-2.31712625510567,11.0838038999157,6.67766189127939,10.5928476290846,9.27311582890696,11.9125794292623,10.5504787220071,9.61958012175709,11.481377322257
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-0.288035664291341,-2.5906207612868,11.3951650102964,7.4150808541178,10.4011999295069,9.08273463386745,11.7196652251464,10.3662233230268,9.37864878455406,11.3537978614996
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-1.44504253631398,-3.747627625066,11.2410963520968,6.05049713336689,9.590442487644,8.2749452231685,10.9059397521195,9.5867386944304,8.35638446791957,10.8170929209412
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,0.474889010065912,-1.82769608541595,12.4080433529741,7.83259710065387,10.9358094225644,9.6132752411935,12.2583436039353,10.8802116759212,10.0497301691777,11.7106931826647
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-0.556531764179254,-2.85911685891791,10.4060643912265,6.01879523958658,10.2130547971321,8.8956232163891,11.5304863778751,10.1853353890296,9.14180855959222,11.228862218467
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.639818183920959,-2.94240328260341,9.9005221972127,5.27433389563226,10.1546929271687,8.83753971237641,11.471846141961,10.1292246730699,9.06828652765151,11.1901628184883
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,0.361475435121128,-1.94110965787292,11.4267416940747,7.70076701106924,10.8563363423967,9.53451258750409,12.1781600972894,10.8038040585757,9.95018632439676,11.6574217927546
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-0.0923996538971006,-2.39498474250393,11.0561258807318,6.7077611748249,10.5382893065529,9.2189399648989,11.8576386482069,10.498024841747,9.55102771821117,11.4450219652828
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.185423008527088,-2.48800810633604,11.1546227764023,6.47996572814451,10.473104406742,9.15418916024328,11.7920196532408,10.43535427618,9.469084650063,11.401623902297
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.48934337840653,-2.79192847140058,10.8976220776579,6.03398345369823,10.2601361802156,8.94246543692206,11.5778069235092,10.2306007329065,9.20110161901093,11.2600998468021
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-0.405661502392259,-2.70824659538631,10.5999305078092,5.68768357295285,10.3187751609928,9.00078832415907,11.6367619978266,10.286977870867,9.274926122774,11.29902961896
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.064840966869671,-2.36742605986372,10.8995670742494,6.80379975441748,10.5576006962566,9.23811797241545,11.8770834200977,10.5165913459239,9.57529587080312,11.4578868210447
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-2.41318979092567,-4.71577487275018,9.90943932802911,5.71327117389138,8.91202595402099,7.59603022164732,10.2280216863947,8.9344902753105,7.49855506700047,10.3704254836205
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-0.300724588157962,-2.6033096770995,10.840000929173,7.27906111255176,10.3923083319695,9.07389656935883,11.7107200945801,10.3576746952298,9.36746243827994,11.3478869521797
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.031542744576315,-2.27104234744878,10.4367072074209,6.14783017868893,10.6251403221817,9.30517394121384,11.9451067031496,10.5815258103043,9.66014134633956,11.5029102742691
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-0.958663866290123,-3.26124896971701,10.2689600502149,6.27326050205897,9.93126598301,8.61499306224169,11.2475389037783,9.91441582939676,8.78661058761019,11.0422210711833
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.802800744844831,-3.10538583560709,10.3396534788221,5.65280504371187,10.0404850280126,8.72381853547291,11.3571515205523,10.0194220400507,8.92434370588126,11.1145003742201
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-1.00946716473646,-3.31205225773051,10.4443299476404,6.09909001669502,9.89566623569428,8.57950639973429,11.2118260716543,9.88018924770697,8.74170136687473,11.0186771285392
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-1.01380397639444,-3.31638907214455,10.2847469871715,5.79471151429647,9.89262727161318,8.57647674280587,11.2087778004205,9.87726750358751,8.73786736547761,11.0166676416974
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-1.00075482050474,-3.30333992165979,10.3803317960264,5.90213540399061,9.90177129703207,8.5855925990157,11.2179499950484,9.88605882253136,8.74940344263934,11.0227142024234
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.599957494687315,-2.90254259496953,9.72321135536732,5.41366496471041,10.1826247841139,8.86534084453518,11.4999087236927,10.1560791328784,9.10347705937786,11.208681206379
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.972322001180235,-3.27490708888613,10.5207192537696,6.08042849049437,9.92169522351678,8.60545343951728,11.2379370075163,9.9052142365112,8.77453775599363,11.0358907170288
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,0.449924740792956,-1.85266035220109,10.2925368623624,3.46900555478215,10.9183160371895,9.59594138684582,12.2406906875331,10.8633930513884,10.0278265345944,11.6989595681825
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.952963808610733,-3.25554891197832,10.4680502264298,6.42707387748989,9.93526022392106,8.61897414882913,11.251546299013,9.91825600308166,8.79164888008495,11.0448631260784
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-1.20432517973619,-3.50691025939221,10.3357174866678,7.36247740797946,9.75912202875151,8.44332659060193,11.0749174669011,9.7489118706024,8.56938528307468,10.9284384581301
