"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-5.72985547650489,-6.77082754656888,3.40978428148532,-1.43110823760969,2.77646268905626,1.58196230467469,3.97096307343784,2.7791919692536,1.57876764867168,3.97961628983552
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-5.64122093953442,-6.78449228821414,3.63530630071647,-0.0456049835473301,2.97863322627328,1.7841706243109,4.17309582823567,2.97747165147616,1.7914336954649,4.16350960748742
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-5.98490879256124,-7.04266246143714,3.02300739347789,-2.12688996758277,2.19470000727824,0.99824960035805,3.39115041419842,2.20862554914231,0.965110909921104,3.45214018836351
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-5.66268482309931,-6.83881908550492,2.65203313638137,-3.22610272612469,2.92967528031455,1.73523384039796,4.12411672023115,2.92945592128821,1.73996321824368,4.11894862433273
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-5.7303555493704,-6.79766220904485,2.76680864661591,-1.26738199362106,2.77532205016624,1.58082051552393,3.96982358480854,2.77807328242733,1.5775669037257,3.97857966112896
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-5.74159597784154,-7.09802056883023,2.544098303435,-1.3779750388463,2.74968324682576,1.55515308302683,3.9442134106247,2.75292790838374,1.55057446031348,3.955281356454
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-5.96712799126495,-6.88483577631251,2.69243636579462,-1.43030767164305,2.23525704376862,1.03903104251024,3.43148304502701,2.24840204881382,1.00796926742322,3.48883483020442
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-5.36961322982155,-6.46836606074103,2.74151755628379,-1.31553122068405,3.59815557570722,2.40175322821744,4.79455792319701,3.58507103893624,2.44106426361147,4.72907781426101
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-5.66937205802739,-6.84307689692019,2.86735172964532,-1.94853949074654,2.91442206273012,1.71998325813328,4.10886086732695,2.91449625813874,1.72392337448626,4.10506914179122
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-5.9024205405984,-6.53411851456182,2.40358833832222,-1.95472176758751,2.38285120413027,1.18733008537175,3.5783723228888,2.39315569896117,1.16384219192997,3.62246920599237
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-5.73898786490299,-6.60450346196221,3.06997791790903,-0.964212720766828,2.75563220997187,1.56110916224094,3.9501552577028,2.75876238129161,1.55683795135789,3.96068681122534
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-5.76289522466061,-6.44008476431016,3.00361661131636,-1.74081564299739,2.70110082829106,1.50650184793851,3.8956998086436,2.70528047844035,1.49941345824859,3.91114749863211
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-5.6524989405666,-6.42364075012695,3.74302822408534,-0.862141962613218,2.95290872197346,1.75845965457349,4.14735778937342,2.95224222582337,1.76439134596342,4.14009310568331
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-5.62739228563869,-6.92272996327322,3.04155357691903,-1.09361298006212,3.01017563042686,1.81568913382576,4.20466212702797,3.00840700911135,1.82458488090954,4.19222913731317
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-5.58800535874048,-6.53074344466638,3.13691783080411,-1.70397468889191,3.10001505919255,1.9054164458106,4.29461367257451,3.09651744118483,1.91896315855938,4.27407172381027
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-5.63179057141054,-6.46261699387518,3.49228331978617,-2.82768529889235,3.0001433808352,1.80566535603205,4.19462140563836,2.99856783428205,1.81404180064147,4.18309386792263
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-5.80024365679383,-6.72003787795775,2.72003828600677,-2.9067831551984,2.61591109473266,1.42114541293919,3.81067677652613,2.62173025628087,1.40965958160067,3.83380093096106
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-5.29700623605755,-6.59546449983032,3.28580693061614,-1.30941292315201,3.76376816236598,2.56632355807755,4.9612127666544,3.74749634336873,2.61416984251081,4.88082284422665
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-5.5630858991828,-6.60829699679631,3.17926165147159,-0.9251332469319,3.15685498523191,1.96215175833152,4.35155821213229,3.15226345951063,1.97864128430052,4.32588563472073
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-5.78526749721729,-6.55830056925325,3.55012360719247,-3.09526741193964,2.6500708966623,1.45537909963799,3.84476269368662,2.65523263879729,1.44565600929894,3.86480926829564
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-5.60324506231192,-6.4638581704005,3.78079730602034,-0.642051324161992,3.06525412780649,1.87070662997275,4.25980162564022,3.06242549819518,1.88245368388191,4.24239731250844
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-5.73931274224487,-6.70424751247064,3.56408686156432,-0.289667236252873,2.75489118250129,1.5603672639555,3.94941510104708,2.75803561519895,1.55605775957596,3.96001347082194
