"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.0362435087798418,0.0436011338064873,4.992973415,0.124594431,7.51048112917075,-17.4261847421809,32.4471470005224
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0330091910307444,0.0505405800081117,9.175578982,0.009274375,7.36247742643964,-17.5755537938736,32.3005086467529
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.143533400746307,0.0649588657459294,7.537000498,0.16325235,12.4201104570526,-12.4999263684737,37.3401472825789
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.200547310047188,0.112263254947325,7.097707001,0.184578085,15.0290902599989,-9.90476639017861,39.9629469101764
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0474643949435805,0.0547009513807837,14.36128756,0.211659558,8.02395346831276,-16.908367214682,32.9562741513075
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.0643771738552548,0.0897980337998239,9.248141245,0.206388311,8.79788914705025,-16.129031650405,33.7248099445055
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.0403438372087417,0.0686981463666561,20.02750394,0.356503119,7.69811383472671,-17.2368937150404,32.6331213844938
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0667007233855565,0.112493107090485,10.62373635,0.249305115,8.90421572367054,-16.022071231841,33.8305026791821
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.0447398373855072,0.0624464418488419,4.89161886,0.051066703,7.89927660036699,-17.034043238462,32.8325964391959
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.136271782387094,0.153306751989253,11.2517643,0.064356608,12.0878158316146,-12.8315895328016,37.0072211960308
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.0851214114505103,0.100547783878554,7.62089899,0.13765217,9.74715394185542,-15.1750318748807,34.6693397585915
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.0702302833387157,0.0840800164660069,14.21907028,0.130453023,9.06572983038587,-15.8596442342874,33.9911038950591
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.0817514135714788,0.070968993201756,15.34553868,0.315986762,9.59294146089808,-15.3298719985009,34.5157549202971
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.113981641304558,0.0953934179852317,5.803580829,0.179162331,11.067809861102,-13.851250836048,35.9868705582521
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.0466791215438708,0.0507746928450754,4.177557871,0.07241503,7.98801903643893,-16.94458594542,32.9206240182979
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.101194731242829,0.0904003066780171,25.0506238,0.531009602,10.4826756280312,-14.4372725070094,35.4026237630718
