"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1A",15,21,22.4,21.7,21.7,0.7,264,479,386,384,108,0.03191,0.00996,22031.5333333333,56094.5333333333,1.32733333333333,13.8,181.2,207.533333333333,53.9333333333333,7502.6,183.666666666667,220.866666666667,101.133333333333,4.8,29.2666666666667,428.2,912.666666666667,38141.5333333333,6119.4,6.2371540078,1.83017376652345,0.1604413418,-1.83017376696311,44260.9333333333,318.222264343351,1365.94571460146,0.0795044173675424,10.6045812202624,66.5455805122646,58.5184545575968,35.9413543481732,1254.35770701298,75.1614136059061,41.9419099412963,43.8404031959214,14.3785554609236,38.4939079904984,148.062824503655,90.3474773674764,712.760615661454,199.511832803399,0.171671080950259,0.0273305812508029,0.00435312726552968,0.0273305810527057,840.782498345327,77.67,22.33,1.12,75,3.75,43.35,3.75,6.3302,1.2534,0.9993,0.4045,0.1003,0.0129,0.0072,56
"Kerguelen","KER1","CAT1.1A",16,22.5,23.9,23.2,23.2,0.7,352,493,435,431,71,0.03125,0.00605,22113.5333333333,55934.7333333333,1.34133333333333,13.8666666666667,155.666666666667,176.4,46.8666666666667,6929.33333333333,127.2,217.4,102.266666666667,4.73333333333333,45.9333333333333,346,913.866666666667,38718.8,6050.06666666667,6.3960994034,1.85535113138255,0.1564516524,-1.85535113150097,44768.8666666667,980.25156149303,2351.86237652105,0.0831407298042358,12.6596471778113,22.8462771792776,23.2925493912293,23.5913624225559,702.892764292846,55.7996415759098,22.6803880037357,40.370545604202,12.7305407059821,58.8805894121638,177.372892114728,104.181755097705,2585.78234085658,311.7206777748,0.17052274231946,0.0269934502590544,0.00427689048155469,0.0269934502906476,2879.69348236595,76.38,23.62,1.18,65.29,3.26,37.74,3.27,6.7321,1.4104,0.9302,0.3902,0.1013,0.0122,0.0055,45.3
"Kerguelen","KER1","CAT1.1A",18,25.6,27,26.3,26.3,0.7,486,538,515,514,26,0.05,0.00386,20782.6666666667,53999.4,1.34733333333333,28.6666666666667,239.333333333333,291.133333333333,60.0666666666667,9268.4,170.733333333333,226.533333333333,145.4,3,71.3333333333333,512.6,855.866666666667,34495.7333333333,5669.66666666667,6.07138149913333,1.80110448039116,0.165539063866667,-1.80110448021583,40165.4,1259.92475209926,2884.40850088887,0.0928490838993707,29.9730037263694,99.939743750684,166.386755425281,26.2283016896598,1998.8892915817,69.5027919959918,33.5918073912304,45.6207972624015,11.6189500386223,66.2610278332883,288.501002721704,152.305082302719,4013.98970506664,384.82290299132,0.436055303944606,0.0734860006901134,0.012429780818301,0.0734860004581727,4343.97376998132,76.68,23.32,1.17,45.77,2.29,26.45,2.29,6.0692,1.3777,1.0836,0.4418,0.1224,0.0221,0.0078,35.4
"Kerguelen","KER1","CAT1.1A",19,27.1,28.5,27.8,27.8,0.7,518,573,543,544,28,0.05172,0.00392,19962.7333333333,54121.9333333333,1.388,23.4666666666667,231.133333333333,345.8,75.5333333333333,11106.0666666667,188.933333333333,226.133333333333,154.8,6.73333333333333,67.2,794.066666666667,836.6,32602.0666666667,5568.53333333333,5.7976604612,1.75066144811584,0.174882123266667,-1.75066144833636,38170.6,2527.1936006642,4840.86610412798,0.086701458218088,26.5649249593376,117.366256203553,234.723606457832,46.0634138469794,4113.68394970922,89.7961713045294,44.6492147853955,38.0097731793135,23.4535000941579,64.6188826891954,455.909995294602,111.224226549024,6932.81192659399,607.547395760395,0.687049842968536,0.121739185988391,0.0217630821783197,0.121739185551566,7511.81061300898,80.34,19.66,0.98,75.78,3.79,43.81,3.79,6.3302,1.5066,1.1352,0.4044,0.1165,0.0209,0.0076,36.4
"Kerguelen","KER1","CAT1.1A",20,28.6,30,29.3,29.3,0.7,525,645,568,573,60,0.05172,0.00665,22599.8,56713.0666666667,1.3,7.46666666666667,118.2,102.466666666667,41,6654.93333333333,96.6,235.8,125.866666666667,2.66666666666667,28.3333333333333,198.133333333333,911.6,39933.7333333333,6159,6.48685894786667,1.86942177392248,0.154267967,-1.86942177414826,46092.7333333333,607.515102692929,2019.99167136425,0.0687646088374785,8.45041559981069,28.5236743776113,33.689478363147,13.2611139372657,1094.21344657551,62.8806125015607,32.9874434985712,43.9884183891732,10.3279555898864,51.4346557247524,115.089323488117,124.116189803863,953.272219153335,174.082492760514,0.179072243574445,0.0276653732668509,0.00427609609282431,0.0276653735630256,1043.5174354534,81.83,18.17,0.91,81.98,4.1,47.39,4.1,6.3302,1.5699,1.0461,0.3713,0.1107,0.0192,0.0082,42.7
"Kerguelen","KER1","CAT1.1A",21,30.1,31.5,30.8,30.8,0.7,539,688,596,602,75,0.056,0.0082,21890.7333333333,55506.4,1.32333333333333,9.2,119.4,107,36.1333333333333,7159,125.8,223.933333333333,106.8,4,47.6666666666667,281.666666666667,892.666666666667,38492.6,5964.73333333333,6.45517235226667,1.86436200153867,0.1550754556,-1.86436200190824,44457.3333333333,879.552440300233,2575.29853470566,0.0844026630137315,10.745098550369,26.6399270698272,45.7727304969111,19.5808458399918,1449.76751830866,45.4850053785389,23.5780365917905,49.1385795480496,10.7968249301092,65.229996021404,188.651101494897,95.7180880552489,1625.87738072182,212.947836223759,0.21565830091534,0.0333546131623947,0.00516305333342418,0.0333546132118262,1772.90873452425,81.52,18.48,0.92,64.31,3.22,37.17,3.22,6.4628,1.6706,1.1474,0.3896,0.1202,0.0218,0.0099,45.5
"Kerguelen","KER1","CAT1.1A",22,31.5,32.9,32.2,32.2,0.7,548,715,626,627,84,0.05357,0.0083,20626.4666666667,54739.6,1.316,9.66666666666667,170.733333333333,185.066666666667,51.2666666666667,10686.8,159.666666666667,219.133333333333,135.8,4.13333333333333,46.7333333333333,405.533333333333,802.4,34292.3333333333,5573.46666666667,6.13957873086667,1.81323061976863,0.163379703666667,-1.81323061945549,39865.8,1222.3543364383,1769.91649520535,0.0845830107899081,14.8163359007485,49.9005677990408,104.723763619661,19.8583076054426,2810.07031432108,59.5730843666196,39.5688670307255,55.0236312869298,16.008331164324,49.3753360446672,234.676332322586,93.6160853089437,3616.26428527457,324.30956698515,0.348020542171117,0.0574302052111004,0.00950614898074736,0.0574302053051968,3919.51739376164,70.83,29.17,1.46,27.53,1.38,15.91,1.38,5.5637,1.4744,1.1336,0.5369,0.1691,0.0288,0.0135,47
"Kerguelen","KER1","CAT1.1A",23,33,34.4,33.7,33.7,0.675,557,763,653,655,103,0.05357,0.0095,16717.4666666667,50758.2666666667,1.342,88.9333333333333,637.4,732.466666666667,136.066666666667,17414.8666666667,175.533333333333,189.866666666667,117.733333333333,36.6,108.733333333333,1101.8,707.066666666667,23130.7333333333,4665.06666666667,4.9377418318,1.59153545305237,0.204718977266667,-1.59153545275598,27795.8,1235.91139688587,3223.07179270838,0.0822192191643779,86.8146355885973,313.138673069023,385.080857310081,58.4532373130946,4863.54937801406,53.3758461514284,24.6369834269732,51.955292136147,43.0328777962684,70.3800566989853,374.949558512304,73.217354174956,3777.32024185451,365.484701002199,0.527450426846095,0.107578060101775,0.0221467138096942,0.107578060225189,4090.04596900468,57.79,42.21,2.11,14.51,0.73,8.39,0.73,5.365,1.4754,1.2629,0.747,0.2428,0.04,0.0201,50.2
"Kerguelen","KER1","CAT1.1A",25,35.9,37.2,36.6,36.6,0.625,599,838,708,710,120,0.05185,0.00961,16771.3571428571,52420.3571428571,1.32714285714286,94.4285714285714,645.857142857143,819.357142857143,132.285714285714,18397.8571428571,159.571428571429,182.285714285714,100.714285714286,31.8571428571429,102.357142857143,1007.92857142857,712.428571428571,23955,4661.78571428571,5.13507576971429,1.63465025399432,0.195298392071429,-1.63465025397274,28616.7857142857,703.607146413051,3733.01343744914,0.0659170307663729,64.4177642552763,209.719173820926,292.027292492396,40.2309268166602,3910.22432677644,65.3072198691153,30.5675256828816,36.139534225913,52.2050058649804,75.2581272307896,199.567403028772,91.4344778311974,2201.81428686576,287.885975978051,0.288423723908432,0.0555823946103872,0.0107338283324855,0.0555823945226157,2439.11185533939,69.13,30.87,1.54,28.34,1.42,16.38,1.42,4.7493,1.3963,1.3733,0.6656,0.229,0.0345,0.0183,52.9
"Kerguelen","KER1","CAT1.1A",27,38.8,40.1,39.4,39.4,0.675,624,899,763,764,138,0.05556,0.01095,15955.7857142857,48824.7857142857,1.31857142857143,71.3571428571429,459.071428571429,587.071428571429,110.571428571429,17408.7857142857,193.357142857143,173.642857142857,123.357142857143,13.4285714285714,106,1016.28571428571,722.428571428571,22037.2857142857,4461.57142857143,4.93817030535714,1.59528325419411,0.2031916305,-1.59528325408077,26498.8571428571,938.200911611927,4985.79295720228,0.0789212989539036,33.9289010972995,148.319024292344,209.005507577677,30.1118792958074,4565.24363118639,82.818250629693,28.1796629964485,42.3712659218978,25.000659331965,64.4037743757783,191.068424542473,68.7992780437459,1741.73544880569,187.559514364298,0.302982750073005,0.0604163964924862,0.012095968273224,0.0604163966945213,1862.66739494087,62.72,37.28,1.86,20.61,1.03,11.91,1.03,4.6735,1.4581,1.3068,0.7328,0.2653,0.0407,0.0228,55.9
"Kerguelen","KER1","CAT1.1A",29,41.7,43.1,42.4,42.4,0.7,687,943,818,817,128,0.01667,0.00289,13724.2666666667,47080.7333333333,1.32266666666667,83.2,699.733333333333,773.266666666667,154.266666666667,20877.8666666667,233.933333333333,165.533333333333,114.333333333333,53.0666666666667,121.8,1195.66666666667,652.133333333333,16848.8,3922.73333333333,4.2875715142,1.45221378429915,0.2349138144,-1.45221378431548,20771.5333333333,906.885129492836,3467.56774507243,0.0942994218030044,43.3625908556475,281.089326591761,312.11478352561,43.4929660432362,3249.12016368974,58.9096968329695,34.2779951628002,34.5990641216672,38.4623501745848,49.7654498623292,246.571828615247,80.4699293140582,1938.88230689746,180.227026143087,0.362847359619118,0.0877472023416679,0.0213463913723465,0.0877472026721182,2080.65102677938,49,51,2.55,10.67,0.53,6.17,0.54,4.6185,1.5287,1.5549,1.0415,0.3968,0.0174,0.0096,55.4
"Kerguelen","KER1","CAT1.1B",34,42.4,43.5,42.9,42.9,0.55,726,970,850,847,122,0.05385,0.00845,14708.9166666667,48231.5,1.30583333333333,65.4166666666667,548.583333333333,668.416666666667,141.666666666667,20360.25,227.583333333333,176.666666666667,130.75,44.0833333333333,94.25,1037.83333333333,645.583333333333,18768.0833333333,4081.83333333333,4.5951370075,1.52420061550866,0.2179665355,-1.52420061572297,22849.9166666667,684.274593783059,4408.15971703716,0.103788099977645,24.9670995633466,142.183913124921,292.907201666123,37.4538099368793,4302.21820428401,66.2426096506873,40.6589659872397,49.2288256281548,34.7234747248846,55.8864514399103,152.632555405775,79.2550065333797,1247.94663772377,148.774285005131,0.193096268338041,0.0415815938192509,0.00896937602867196,0.0415815940784192,1372.68426206952,51.63,48.37,2.42,12.22,0.61,7.07,0.62,3.6289,1.3826,1.9927,1.2801,0.5517,0.0689,0.0405,58.8
"Kerguelen","KER1","CAT1.1B",35,43.7,44.9,44.3,44.3,0.6,744,995,880,873,126,0.05417,0.00852,16489.8333333333,49494.8333333333,1.3725,44.3333333333333,404.916666666667,559.833333333333,125.416666666667,17197.25,160.25,183.083333333333,123.75,26.25,126.75,937.583333333333,699.25,22781.8333333333,4604.58333333333,4.93949822808333,1.595816428025,0.20303433725,-1.5958164277938,27386.4166666667,1465.92055057771,5336.048586281,0.0852936105461599,11.4521401996096,55.5541641239894,112.257685165818,28.098716675106,3028.04296609963,56.9132114395562,23.2670595608053,42.4866289126784,36.866158416136,75.4057207861096,177.310440821296,99.4824105055763,2394.51193863017,314.833132810306,0.278780326952601,0.0560884590207981,0.0113280931372226,0.0560884587862557,2675.34427549507,58.47,41.53,2.08,15.94,0.8,9.22,0.8,4.2537,1.6696,1.8255,1.0279,0.4548,0.0557,0.0334,60
"Kerguelen","KER1","CAT1.1B",36,45.1,46.2,45.6,45.6,0.55,779,1017,901,897,119,0.05417,0.00784,15616.0833333333,49393.8333333333,1.42166666666667,77,524.666666666667,610.25,144.5,19037.3333333333,316,185.666666666667,122.25,17.9166666666667,137.833333333333,1089,685.583333333333,20472.4166666667,4455,4.59266136141667,1.52361779034916,0.218104391583333,-1.52361779029242,24927.4166666667,819.354120171751,3569.58833463859,0.101965531906472,54.6941911491023,226.431339516312,259.223709984603,34.1294327790279,3587.52906439499,95.4329845779464,34.9709836431533,31.0487153884461,26.520860857183,46.9135245731845,101.282682716157,94.5645122109609,1778.47321948469,287.757473641196,0.197571041031186,0.0427872329877676,0.00928985768977189,0.0427872330410472,2031.75380838299,45.01,54.99,2.75,10.36,0.52,5.99,0.53,3.454,1.3816,2.265,1.5777,0.71,0.0855,0.0508,59.5
"Kerguelen","KER1","CAT1.1B",37,46.4,47.5,46.9,46.9,0.55,841,1026,918,921,93,0.05652,0.00634,18227.8333333333,53273.9166666667,1.35916666666667,56.25,413.416666666667,527.166666666667,115.833333333333,16979.6666666667,171.75,199.916666666667,101.75,10.4166666666667,79,811.333333333333,748.833333333333,26607.0833333333,4886.16666666667,5.42109178675,1.68536233285774,0.186340422333333,-1.68536233239583,31493.25,1743.20899666695,3165.27093363796,0.0794822259528773,48.7724307370465,182.793703061095,204.238200208096,35.6595858165243,3077.21566394431,68.3375645401029,38.8200003122414,50.2704051740548,15.7217760582016,40.0703926064665,312.325393644435,55.0286426795311,4217.54337065232,377.508057309156,0.548886255693046,0.105082653118342,0.020300287244305,0.105082653141385,4553.72261551919,66.05,33.95,1.7,29.18,1.46,16.87,1.46,3.2835,1.3429,2.1247,1.0708,0.4915,0.0605,0.0346,57.1
