"Site","depth","SH20_age","Ti","Ca","Fe","Sr","Zr","Ti_convert","Ti_ppm"
"HER42PB",5.3,-7.65,-4.756029127,-3.845765103,-0.837418426,-3.098005444,-3.770917212,3.1537836939794,23.4245283623993
"HER42PB",5.4,-6.61,-5.58138601,-4.324625701,-1.284800193,-3.336509234,-3.611728043,4.66083347871387,105.724164284744
"HER42PB",5.5,-5.57,-4.931578278,-4.079507139,-1.111083141,-3.253721822,-3.875317595,3.42818048660121,30.8205133640544
"HER42PB",5.6,-4.52,-5.227022741,-4.348953222,-1.162600589,-3.605162308,-3.775701697,3.90528066637941,49.6640169760847
"HER42PB",5.7,-3.48,-5.32104997,-3.936517723,-1.060852839,-3.249562513,-3.760683951,3.97025556805526,52.9980737236723
"HER42PB",5.8,-2.43,-5.573883931,-4.079776707,-0.98973676,-3.610274205,-3.84191238,4.24896212663831,70.0326895517566
"HER42PB",5.9,-1.39,-5.384090232,-4.122959014,-0.922416895,-3.423581283,-3.931994361,3.98698742995254,53.8922902662701
"HER42PB",6,-0.34,-4.462058162,-4.102190645,-0.879508685,-3.453633536,-3.753049077,2.79513369681289,16.3648165307182
"HER42PB",6.1,0.7,-5.40461078,-3.82372477,-0.832576156,-3.621530845,-3.926378924,3.77207781015105,43.4702940820802
"HER42PB",6.2,1.74,-5.274540184,-3.980619144,-0.988837315,-3.854507684,-4.133277508,3.4725517707086,32.2188527615887
"HER42PB",6.3,2.79,-5.658644288,-4.141827865,-0.932448466,-3.819927835,-4.035834638,4.22961809943506,68.6909940345568
"HER42PB",6.4,3.83,-4.590006288,-4.406585226,-1.078707173,-3.493596643,-4.081162826,2.94911526492396,19.0890574962537
"HER42PB",6.5,4.88,-5.84067507,-4.379657163,-0.996578494,-3.500860636,-3.903008991,4.87999539709822,131.630058004208
"HER42PB",6.6,5.92,-5.351473789,-4.02253659,-1.00644062,-3.76389467,-3.853420507,3.79666370995339,44.5522968806377
"HER42PB",6.7,6.97,-5.84051245,-4.240003168,-1.016295984,-3.643287873,-3.818229322,4.7948765371877,120.889455509498
"HER42PB",6.8,8.01,-5.173190621,-4.418742915,-1.121605594,-3.713506937,-3.899305828,3.74850710479548,42.4576498412179
"HER42PB",6.9,9.05,-5.731851495,-4.124415585,-1.008276244,-3.536851612,-3.718282697,4.63671345097812,103.204602609077
"HER42PB",7,10.1,-5.436694952,-4.228186992,-0.882419416,-3.519326806,-3.788619247,4.15486702577338,63.7434877432424
"HER42PB",7.1,11.14,-5.842026582,-4.488231388,-0.740601528,-3.451558399,-3.69786485,5.03143953264754,153.153323294382
"HER42PB",7.2,12.19,-5.72620286,-4.447006634,-0.398073891,-3.246518154,-3.843245189,4.76774878216656,117.654078642446
"HER42PB",7.3,13.23,-5.664094326,-4.147988353,-0.51746368,-3.260813043,-3.808415339,4.53256535247801,92.9968249714012
"HER42PB",7.4,14.27,-4.545874553,-4.247072429,-0.592114955,-3.593809689,-3.967718781,2.7639887321969,15.8629901454408
"HER42PB",7.5,15.32,-5.333691455,-4.094379284,-0.529434561,-3.48824348,-3.86459119,3.84948379830523,46.968811592604
"HER42PB",7.6,16.36,-5.577571164,-4.270526174,-0.529181432,-3.707969208,-3.730241843,4.31110157013528,74.5225355415639
"HER42PB",7.7,17.41,-5.409644049,-4.126490447,-0.492294319,-3.458035879,-3.705623494,4.07428569463553,58.808458384491
"HER42PB",7.8,18.45,-5.240858868,-4.188021161,-0.383859845,-3.460348112,-4.028199073,3.66476625545221,39.0470080710758
"HER42PB",7.9,19.5,-5.149948551,-4.110597726,-0.395999229,-3.41220119,-3.686362515,3.68868863566775,39.99236799034
"HER42PB",8,20.54,-4.878033702,-3.955252451,-0.220138688,-3.699020988,-3.646083838,3.10764763044454,22.3683638049043
"HER42PB",8.1,21.58,-4.926848983,-4.023844088,-0.139780342,-3.366302763,-3.889284418,3.20844259435248,24.7405251711566
"HER42PB",8.2,22.63,-4.824600429,-4.168840781,-0.022611829,-3.338004198,-3.820534087,3.17913001458521,24.0258423247515
"HER42PB",8.3,23.67,-4.59243489,-3.63134463,-0.185449603,-3.311501044,-4.298409343,2.38671964048394,10.8777524139156
"HER42PB",8.4,24.72,-5.176443181,-3.921826644,-0.163084327,-3.251152319,-3.70910761,3.65095077270267,38.511264106716
"HER42PB",8.5,25.76,-4.962108253,-3.789137397,-0.08767458,-3.210622683,-3.722971536,3.27631652751816,26.478061640927
"HER42PB",8.6,26.81,-4.716050708,-3.76951656,0.06505833,-3.193247028,-3.655497981,2.96187225063974,19.3341362393927
"HER42PB",8.7,27.85,-4.909300401,-3.967592857,0.119777636,-3.302837206,-3.983157373,3.09741243208351,22.1405868241157
"HER42PB",8.8,28.89,-5.133095826,-3.933840012,-0.119640982,-3.616031234,-3.656853229,3.46630495380548,32.0182148142717
"HER42PB",8.9,29.94,-5.247191675,-4.040039217,-0.311847479,-3.540707973,-4.010018201,3.56350180318219,35.286547589204
"HER42PB",9,30.98,-4.844848842,-3.793037547,-0.059202459,-3.584529163,-3.773144006,2.93751679009408,18.8689325677582
"HER42PB",9.1,32.03,-4.903597489,-3.872040712,-0.27521465,-3.398012932,-3.995484903,3.04752018284464,21.0630470998994
"HER42PB",9.2,33.07,-4.992364488,-4.0431202,-0.245712365,-3.594713538,-3.995172378,3.17452483478907,23.91545337666
"HER42PB",9.3,34.12,-5.095264752,-4.057277085,-0.181961287,-3.447737988,-3.670032523,3.54695490022827,34.7074687043118
"HER42PB",9.4,35.16,-4.94056503,-4.0961428,-0.394974158,-3.691397894,-3.764619538,3.23128657751396,25.3122021406349
"HER42PB",9.5,36.2,-5.398600498,-4.17387675,-0.465636174,-3.231391817,-3.832002744,4.10524545242773,60.6576312833972
"HER42PB",9.6,37.25,-5.20047086,-3.991214028,-0.161928398,-3.275593992,-4.201593538,3.4571354610031,31.7259659585545
"HER42PB",9.7,38.29,-5.406092258,-4.021679365,-0.619540807,-3.30895114,-3.887912596,3.99721051179126,54.4460613608067
"HER42PB",9.8,39.34,-5.863892375,-4.536786885,-1.19332197,-3.459747081,-3.931205559,5.03291654252627,153.379699404568
"HER42PB",9.9,40.38,-5.705663421,-4.576653655,-1.263993037,-3.749226859,-3.6390351,4.81750443914145,123.656114046922
"HER42PB",10,41.43,-5.774551546,-4.480793437,-0.940436487,-3.671403342,-3.877431561,4.75163786362173,115.773750939775
"HER42PB",10.1,42.43,-5.410086831,-4.195433017,-0.886694638,-3.932456008,-3.827861482,3.90707893971095,49.753406802932
"HER42PB",10.2,43.43,-5.693125287,-4.446818119,-0.720375862,-3.952185067,-3.887942798,4.44257900084425,84.993858491966
"HER42PB",10.3,44.43,-5.920084494,-4.32899572,-1.0181824,-3.758853519,-4.036118831,4.82609498743596,124.722963717465
"HER42PB",10.4,45.43,-5.869417113,-4.389264302,-1.1027072,-3.720628152,-3.723112626,4.95465358266662,141.833464291131
"HER42PB",10.5,46.43,-5.010854362,-4.069527552,-0.88667755,-3.799863985,-3.742783275,3.34754028795351,28.4327112791966
"HER42PB",10.6,47.43,-4.992642678,-4.247474313,-0.656367746,-3.831313916,-3.776607001,3.35416062371659,28.6215698382688
"HER42PB",10.7,48.43,-4.895956132,-4.13963005,-0.925172133,-3.643193164,-3.749244049,3.29273864409292,26.9164774608833
"HER42PB",10.8,49.44,-4.989752083,-4.229836726,-1.135459083,-3.245117499,-3.908754341,3.57638573341764,35.7441183318105
"HER42PB",10.9,50.44,-4.86247755,-4.033496302,-0.881035534,-3.535272105,-3.964384177,3.11876660900359,22.6184650207829
"HER42PB",11,51.44,-4.585160597,-3.960555736,-0.642323873,-3.415524553,-3.713378985,2.8730180236275,17.6903275414455
"HER42PB",11.1,52.44,-4.17438727,-3.893614606,-0.493377685,-3.524536895,-3.7917803,2.25960287851107,9.57928427167869
"HER42PB",11.2,53.44,-4.940185709,-3.685393656,-0.336485797,-3.501946607,-3.701742794,3.11739273658807,22.5874114723008
"HER42PB",11.3,54.44,-5.083276376,-3.940941276,-0.279530119,-3.449554709,-3.751514893,3.43894260489281,31.1539986600164
"HER42PB",11.4,55.44,-5.024414709,-3.710472736,-0.325365916,-3.268834896,-3.133660118,3.6353467165659,37.9149963758191
"HER42PB",11.5,56.45,-4.283982458,-3.844031174,-0.32380745,-3.851765164,-3.755608364,2.21630731707703,9.17339381038383
"HER42PB",11.6,57.45,-4.194215902,-4.154083801,-0.377072135,-3.650739508,-3.673525304,2.41187108714774,11.1548132586446
"HER42PB",11.7,58.45,-5.322756542,-4.326622923,-0.322127857,-3.827374852,-3.818679145,3.81188218729853,45.2355004747034
"HER42PB",11.8,59.45,-5.339180651,-4.421600428,-0.149742528,-3.965873485,-3.82299053,3.80490871509523,44.9211493030088
"HER42PB",11.9,60.45,-5.53479794,-4.272117535,-0.198602442,-3.89032217,-3.876939071,4.04642982811837,57.1929036209396
"HER42PB",12,61.45,-5.196526462,-4.404939209,-0.578451398,-3.759801247,-4.167317638,3.54446442323633,34.6211380988704
"HER42PB",12.1,62.45,-5.152874038,-4.245511937,0.072812897,-3.700739919,-3.457258429,3.70151847040668,40.5087690491137
"HER42PB",12.2,63.46,-5.299441734,-4.217636564,-0.20155898,-3.590158487,-3.690003822,3.86649474778446,47.7746301110489
"HER42PB",12.3,64.46,-5.609346556,-4.139072475,0.029920189,-3.633367997,-3.554784611,4.34116715682042,76.7971213339611
"HER42PB",12.4,65.46,-5.213854573,-4.082641123,-0.415216604,-3.65601779,-3.834897002,3.59381625955011,36.3726187543224
"HER42PB",12.5,66.46,-4.668784277,-3.796643329,-0.558836717,-3.680095624,-3.833422581,2.70917181765135,15.0168336869433
"HER42PB",12.6,67.46,-5.057820837,-4.025319573,-0.861682719,-3.647819813,-4.023522627,3.30343063761369,27.2058122901967
"HER42PB",12.7,68.46,-5.242115308,-4.158381084,-0.588094683,-3.639026624,-3.635212252,3.80944544374625,45.1254073494194
"HER42PB",12.8,69.46,-5.173371765,-3.778135466,-0.69324896,-3.431750674,-4.175473452,3.32682366075937,27.8497408398582
"HER42PB",12.9,70.46,-4.379211021,-3.937378269,-0.537633743,-3.31086239,-3.972842979,2.51039258619202,12.309761754512
"HER42PB",13,71.47,-4.925124042,-4.016199826,-0.497698746,-3.400864326,-3.632535644,3.36935910506577,29.0598967477844
"HER42PB",13.1,72.47,-5.224276282,-4.253591478,-0.414822511,-3.585460492,-4.142365843,3.56828350316324,35.4556813242663
"HER42PB",13.2,73.47,-5.595374994,-4.473232208,-1.069132066,-3.499330968,-4.115395148,4.40523741935846,81.8785800956444
"HER42PB",13.3,74.47,-5.077848806,-4.097019553,-1.116682965,-3.190298272,-4.0448338,3.57967129127565,35.8617508390585
"HER42PB",13.4,75.47,-5.409119571,-4.164672659,-1.059402802,-3.48624709,-3.901826737,4.05661169640938,57.7782089269936
"HER42PB",13.5,76.47,-5.045410762,-4.298196361,-0.997145396,-3.536854075,-4.057034304,3.47528302852269,32.3069710370405
"HER42PB",13.6,77.47,-5.592175021,-4.156248036,-1.248944411,-3.512733479,-3.907744572,4.36005494331306,78.2614342474425
"HER42PB",13.7,78.48,-4.957718703,-4.266932799,-0.855075338,-3.666616605,-3.764654236,3.41645995527478,30.4613892455043
"HER42PB",13.8,79.48,-4.455952265,-3.510656836,-0.41919016,-3.255589573,-4.102887433,2.31501849546877,10.1251101856708
"HER42PB",13.9,80.48,-5.229245378,-4.118054307,-0.800691536,-3.314559069,-3.804156393,3.84264707446686,46.6487939812338
"HER42PB",14,81.48,-5.043037945,-4.289266143,-1.026564838,-3.328339522,-3.632050971,3.77682768512048,43.6772636946205
"HER42PB",14.1,82.48,-5.61781887,-4.379314082,-1.134053134,-3.391006335,-3.842713835,4.58789527468637,98.2873444472527
"HER42PB",14.2,83.48,-5.382592862,-4.310520128,-1.137163539,-3.350692265,-3.610064754,4.30873975545296,74.3467348090541
"HER42PB",14.3,84.48,-5.117166395,-4.052265164,-1.199304118,-3.294579462,-3.977069348,3.6161459686748,37.1939446080197
"HER42PB",14.4,85.49,-5.036818707,-4.086076746,-0.992231271,-3.164223823,-3.82004163,3.62638995307599,37.5769170290939
"HER42PB",14.5,86.49,-5.179291043,-4.060915266,-0.866524638,-3.373656228,-3.635430115,3.81104618302342,45.1976992061329
"HER42PB",14.6,87.49,-5.228043351,-4.290594394,-1.040105348,-3.487908247,-3.783717443,3.90342161848377,49.5717749575678
"HER42PB",14.7,88.49,-5.212450116,-4.453607676,-1.344340298,-3.621704337,-3.681307468,4.00522778929135,54.8843250367664
"HER42PB",14.8,89.49,-5.435572877,-4.36253743,-1.43003193,-3.533917737,-4.268641344,4.04242402871221,56.964258580407
"HER42PB",14.9,90.49,-5.218391425,-4.256044016,-1.285068225,-3.251769144,-3.984921659,3.89605620139052,49.207999482551
"HER42PB",15,91.49,-5.342781641,-4.237000863,-1.074544229,-3.431375699,-3.601432352,4.17147813676484,64.8111811292801
"HER42PB",15.1,92.49,-4.927465752,-3.924326258,-1.125584321,-3.434835741,-3.873748783,3.26994757960928,26.309960128727
"HER42PB",15.2,93.5,-4.253222555,-3.959416765,-1.095647256,-3.586212519,-3.797447437,2.43339903144625,11.3975569687315
"HER42PB",15.3,94.5,-5.454142684,-4.250957591,-1.44266634,-3.357139715,-3.779182482,4.34120908919664,76.8003416872632
"HER42PB",15.4,95.5,-5.942766566,-4.44986247,-1.576012211,-3.645194015,-3.591391309,5.28359762864038,197.077613565755
"HER42PB",15.5,96.5,-5.827244826,-4.565003113,-1.783414135,-3.59484379,-3.515810117,5.22163686414484,185.237144090297
"HER42PB",15.6,97.5,-5.850053257,-4.489961268,-1.707466026,-3.614001009,-3.681328018,5.11925443094479,167.210656044742
"HER42PB",15.7,98.5,-5.036430375,-4.567683817,-1.604715161,-3.355256289,-3.926161002,3.82796336136463,45.9688209557128
"HER42PB",15.8,99.5,-5.621467843,-4.48203356,-1.721119869,-3.502633899,-3.625796184,4.79391134366148,120.772830081761
"HER42PB",15.9,100.51,-5.308035097,-3.991213108,-1.790198759,-3.48869528,-3.718936869,4.00127982383583,54.6680707805245
"HER42PB",16,101.51,-5.558959501,-4.043254066,-1.659115624,-3.419925862,-3.76866309,4.41110616197092,82.3605172068854
"HER42PB",16.1,102.51,-5.344447696,-4.161094179,-1.416363882,-3.623139888,-3.878110627,3.95843270993395,52.3751744976405
"HER42PB",16.2,103.51,-4.897806924,-4.005592255,-1.553716131,-3.521473907,-3.830517107,3.31716364962517,27.582007269872
"HER42PB",16.3,104.51,-5.89352739,-4.215881228,-1.913955693,-3.586247453,-3.564243091,5.15408292616438,173.136954559415
"HER42PB",16.4,105.51,-5.860458698,-4.33490227,-1.903264549,-3.723778925,-3.808695544,4.97212494645722,144.333262194748
"HER42PB",16.5,106.51,-5.594258715,-4.645458705,-1.903858679,-3.477479503,-3.869940527,4.74243960822794,114.713717115581
"HER42PB",16.6,107.52,-5.795540253,-4.393414427,-2.118431935,-3.523195045,-3.732184849,5.03741416786484,154.071097486297
"HER42PB",16.7,108.52,-6.093275292,-4.717910001,-1.943262959,-3.833627956,-3.80381949,5.57156760355586,262.845814486258
"HER42PB",16.8,109.52,-6.2890859,-4.948461576,-2.019638232,-3.537930599,-3.986500807,6.11973397525857,454.743705330556
"HER42PB",16.9,110.52,-5.542317529,-4.469238542,-2.02165785,-3.733891007,-3.783301198,4.52025576334404,91.859089161761
"HER42PB",17,111.52,-5.757040504,-4.590605619,-2.050941736,-3.576325736,-3.500774946,5.16236299908291,174.576492683875
"HER42PB",17.1,112.52,-5.49255946,-4.458305041,-2.040380486,-3.746546013,-3.784122688,4.43052636452808,83.9756070599653
"HER42PB",17.2,113.52,-5.803550059,-4.657949261,-2.191796608,-3.656835337,-3.814405511,5.10304124652399,164.52149765899
"HER42PB",17.3,114.52,-5.896970701,-4.588637881,-2.199241631,-3.852868525,-3.543481278,5.29621870436679,199.580707694097
"HER42PB",17.4,115.53,-5.896258294,-4.610343119,-2.165838003,-3.92499021,-3.760829436,5.15961124537866,174.096761527167
"HER42PB",17.5,116.53,-5.645353905,-4.644980056,-2.057943911,-3.594835402,-3.719697613,4.87865213784071,131.45336341012
"HER42PB",17.6,117.53,-5.502779566,-4.268323745,-1.955399675,-3.872916749,-3.87447317,4.23743452873879,69.230016203204
"HER42PB",17.7,118.53,-5.714843191,-4.486419291,-1.921024102,-3.71256073,-3.760482287,4.82650336756706,124.77390849945
"HER42PB",17.8,119.53,-6.054214226,-4.548615916,-2.118902868,-3.586579163,-3.676445419,5.5981739113821,269.933035449147
"HER42PB",17.9,120.53,-5.971659322,-4.42106191,-1.88579215,-3.564363275,-3.767245641,5.30574317498329,201.490689624805
"HER42PB",18,121.53,-5.429962215,-4.318413135,-1.857133899,-3.687579019,-3.931106762,4.18021888626187,65.3801624672665
"HER42PB",18.1,122.54,-5.865422049,-4.657884179,-1.690851646,-3.399544517,-3.86008848,5.22772951032722,186.369173494614
"HER42PB",18.2,123.54,-5.316192367,-4.276420578,-1.681429738,-3.380538718,-3.865917676,4.11667594901305,61.3549559216351
"HER42PB",18.3,124.54,-4.505441016,-3.815599623,-1.12121858,-3.350159371,-3.800808885,2.74636603709489,15.5858903010296
"HER42PB",18.4,125.54,-5.451038454,-4.024611991,-1.621460464,-3.185331991,-3.9643528,4.215740412293,67.7443060234089
"HER42PB",18.5,126.54,-5.099656145,-4.397925221,-1.670128257,-3.083221731,-3.848536562,3.98879895932694,53.9900062140736
"HER42PB",18.6,127.54,-5.065388526,-3.918249196,-1.40722462,-3.294094887,-3.645146574,3.67222819571163,39.3394643010607
"HER42PB",18.7,128.54,-5.418003352,-4.090970455,-1.553604524,-3.478919168,-4.057841132,4.02060030901138,55.7345537411051
"HER42PB",18.8,129.55,-4.991148406,-4.120075281,-1.085673106,-3.429133173,-3.654763256,3.5705866908392,35.5374365251805
"HER42PB",18.9,130.55,-4.862054793,-3.902375228,-0.921747795,-3.41433762,-3.794072771,3.19263410673775,24.3524900903554
"HER42PB",19,131.55,-5.247989629,-4.539143538,-1.73286097,-3.674638106,-3.760933919,4.09249123985873,59.8889036386828
"HER42PB",19.1,132.55,-5.050061663,-3.914699832,-1.182543897,-3.437420331,-3.767940169,3.49617861272318,32.9891464766955
"HER42PB",19.2,133.55,-5.415152777,-4.107706482,-1.500346762,-3.367988894,-3.585855388,4.30783068563857,74.2791791476998
"HER42PB",19.3,134.55,-4.782331392,-4.028065397,-1.493521962,-3.523583965,-3.720813228,3.22402749950301,25.129124183183
"HER42PB",19.4,135.55,-5.687928292,-4.471532968,-1.776738967,-3.493021213,-3.825788026,4.80878145504809,122.582154606432
"HER42PB",19.5,136.55,-5.466260085,-4.511379356,-1.76516052,-3.485824067,-3.802582404,4.47595071369171,87.8781076278605
"HER42PB",19.6,137.56,-5.446809208,-4.459749405,-1.530130391,-3.506869226,-3.827420965,4.36466429711069,78.6230015422315
"HER42PB",19.7,138.56,-5.457491726,-4.453624805,-1.684341228,-3.554878383,-3.925557375,4.32874613354523,75.8491222499684
"HER42PB",19.8,139.56,-5.22974387,-4.490686988,-1.812787645,-3.484930629,-3.945831616,4.03217381881635,56.3833453011334
"HER42PB",19.9,140.56,-5.357964135,-4.224083707,-1.618647522,-3.373256016,-3.760910282,4.20250467285355,66.8535678332848
"HER42PB",20,141.56,-4.953168856,-4.123223374,-1.318756645,-3.353199715,-3.805184839,3.50431377404334,33.2586130961819
"HER42PB",20.1,142.59,-5.271790036,-4.043821726,-1.384791841,-3.304677679,-3.737999742,3.98454389081146,53.7607631069272
"HER42PB",20.2,143.63,-5.31822892,-4.385773252,-1.694974998,-3.467734777,-3.946860209,4.10138631097933,60.4239960100939
"HER42PB",20.3,144.66,-5.102572789,-4.096599355,-1.345688606,-3.273454104,-3.696415285,3.79235764093363,44.3608640725221
"HER42PB",20.4,145.69,-4.926333087,-3.925856836,-1.177389392,-3.326464625,-3.769485167,3.37454148244803,29.2108870057406
"HER42PB",20.5,146.73,-5.008297347,-4.187994991,-1.318711927,-3.183201457,-3.737141217,3.71918953543383,41.2309643279973
"HER42PB",20.6,147.76,-4.975146646,-4.149471249,-1.169197423,-3.261204199,-3.650898371,3.6457489589966,38.3114558185422
"HER42PB",20.7,148.79,-5.03953936,-4.19304439,-1.293743407,-3.310572123,-3.664544555,3.74782369254226,42.4286436757867
"HER42PB",20.8,149.82,-5.11430494,-4.179552145,-1.136889741,-3.087465165,-3.474283604,4.01579010208964,55.4671027678726
"HER42PB",20.9,150.86,-4.873259121,-4.475957324,-1.356412868,-3.222726081,-3.596398601,3.74789346577953,42.4316041628892
"HER42PB",21,151.89,-5.501369522,-4.46527759,-1.395276067,-3.225501817,-3.79003162,4.57130184947541,96.6698775190811
"HER42PB",21.1,152.92,-4.684942088,-4.247978313,-1.497102957,-3.295652218,-3.99781298,3.16452686295899,23.6775386616213
"HER42PB",21.2,153.96,-5.312477205,-4.143620871,-1.378306905,-3.407640591,-3.631046231,4.11122892468683,61.0216625368525
"HER42PB",21.3,154.99,-5.123697916,-4.355246352,-1.447185117,-3.337540702,-3.868543555,3.85665791214494,47.3069827827802
"HER42PB",21.4,156.02,-5.629236863,-4.364747375,-1.726800951,-3.583617787,-4.003420058,4.5172522628094,91.583604254981
"HER42PB",21.5,157.05,-5.547480119,-4.671328555,-1.624209135,-3.64341708,-3.719499386,4.65125401151412,104.716218619908
"HER42PB",21.6,158.09,-5.84236519,-4.700735517,-1.766132378,-3.938127738,-3.809312851,5.02513134632052,152.190244428569
"HER42PB",21.7,159.12,-5.357589384,-4.261343961,-1.463022825,-3.800565215,-3.809574285,4.00069835278046,54.6362921197938
"HER42PB",21.8,160.15,-5.232224896,-4.110671038,-1.234024194,-3.602736187,-3.612711332,3.88316660556078,48.5777985008007
"HER42PB",21.9,161.19,-5.376141772,-4.224248116,-1.33847286,-3.469367052,-3.722901237,4.17353306505802,64.9445003929461
"HER42PB",22,162.22,-5.056953269,-4.291485427,-1.454479315,-3.254143964,-3.747120074,3.82590651504076,45.8743673269167
"HER42PB",22.1,163.25,-4.77371942,-4.285942191,-1.441816341,-3.472137584,-3.931861283,3.25272631569934,25.8607484601477
"HER42PB",22.2,164.28,-5.113149658,-4.205079759,-1.422517355,-3.455757352,-3.809093395,3.74189350881027,42.1777785964788
