"Site","depth","SH20_age","Ti","Ca","Sr","Ti_convert_PLS","Ti_ppm_PLS","Ti_lower_RMSE_PLS","Ti_upper_RMSE_PLS"
"HER42PB",6.6,5.92,-5.351473789,-4.02253659,-3.76389467,4.08384901471404,59.373560313784,31.9373673558572,110.379156336066
"HER42PB",6.7,6.97,-5.84051245,-4.240003168,-3.643287873,4.5642296322354,95.9886189883619,51.6328104700338,178.448836920089
"HER42PB",6.8,8.01,-5.173190621,-4.418742915,-3.713506937,4.23085969043966,68.7763331220064,36.9951709935843,127.859498163409
"HER42PB",6.9,9.05,-5.731851495,-4.124415585,-3.536851612,4.45996492834923,86.4844758898043,46.5204791909745,160.780041392722
"HER42PB",7,10.1,-5.436694952,-4.228186992,-3.519326806,4.3408731605006,76.7745465815256,41.2974543684946,142.728676450711
"HER42PB",7.1,11.14,-5.842026582,-4.488231388,-3.451558399,4.77780672398326,118.843407594385,63.926528005136,220.937316156297
"HER42PB",7.2,12.19,-5.72620286,-4.447006634,-3.246518154,4.74648544634655,115.178770375755,61.9552993225574,214.124526720521
"HER42PB",7.3,13.23,-5.664094326,-4.147988353,-3.260813043,4.52367397942682,92.1736206397075,49.5807017017698,171.356516753966
"HER42PB",7.4,14.27,-4.545874553,-4.247072429,-3.593809689,3.82667602814732,45.9096818395773,24.6950724590573,85.348965470971
"HER42PB",7.5,15.32,-5.333691455,-4.094379284,-3.48824348,4.20927949180467,67.3080263504456,36.2053606384936,125.129824183427
"HER42PB",7.6,16.36,-5.577571164,-4.270526174,-3.707969208,4.38983882978982,80.6274231944961,43.3699380651926,149.891414675589
"HER42PB",7.7,17.41,-5.409644049,-4.126490447,-3.458035879,4.28462172567304,72.5750882340061,39.0385424347729,134.921621138246
"HER42PB",7.8,18.45,-5.240858868,-4.188021161,-3.460348112,4.21912768347716,67.9741634340101,36.5636794698846,126.368214620171
"HER42PB",7.9,19.5,-5.149948551,-4.110597726,-3.41220119,4.13627761203723,62.5694795465911,33.6564700345307,116.32056976607
"HER42PB",8,20.54,-4.878033702,-3.955252451,-3.699020988,3.79351329196089,44.4121593846892,23.8895468258859,82.5649777112462
"HER42PB",8.1,21.58,-4.926848983,-4.023844088,-3.366302763,3.97394296179528,53.1938592362515,28.6132718759922,98.8907061278891
"HER42PB",8.2,22.63,-4.824600429,-4.168840781,-3.338004198,4.01374060797576,55.3535396804269,29.7749759636765,102.905686939613
"HER42PB",8.3,23.67,-4.59243489,-3.63134463,-3.311501044,3.58023112296987,35.88183300458,19.3010369600954,66.7065682756047
"HER42PB",8.4,24.72,-5.176443181,-3.921826644,-3.251152319,4.0940097324128,59.9799135743967,32.2635281373442,111.50640491261
"HER42PB",8.5,25.76,-4.962108253,-3.789137397,-3.210622683,3.9067430009763,49.7366955135476,26.7536443374411,92.4636228771796
"HER42PB",8.6,26.81,-4.716050708,-3.76951656,-3.193247028,3.76718693188549,43.2582052386901,23.2688284913643,80.4197048926256
"HER42PB",8.7,27.85,-4.909300401,-3.967592857,-3.302837206,3.95231381914868,52.0556750131157,28.0010362704328,96.774750580659
"HER42PB",8.8,28.89,-5.133095826,-3.933840012,-3.616031234,3.95235923287296,52.0580391088687,28.0023079306487,96.779145582295
"HER42PB",8.9,29.94,-5.247191675,-4.040039217,-3.540707973,4.10764596219876,60.8034154281064,32.7064943512812,113.037346284044
"HER42PB",9,30.98,-4.844848842,-3.793037547,-3.584529163,3.71774830319363,41.1715837338056,22.1464232122816,76.5405452113697
"HER42PB",9.1,32.03,-4.903597489,-3.872040712,-3.398012932,3.86010208072509,47.4701969136521,25.5344821714223,88.2500604434768
"HER42PB",9.2,33.07,-4.992364488,-4.0431202,-3.594713538,3.94449009995042,51.6499950614738,27.7828187746987,96.0205662169787
"HER42PB",9.3,34.12,-5.095264752,-4.057277085,-3.447737988,4.06103918988103,58.0345887109204,31.2171271052522,107.889924511312
"HER42PB",9.4,35.16,-4.94056503,-4.0961428,-3.691397894,3.91434770191228,50.116370034304,26.9578733676858,93.1694615208774
"HER42PB",9.5,36.2,-5.398600498,-4.17387675,-3.231391817,4.3828763016327,80.0680022422433,43.069022432641,148.851416191077
"HER42PB",9.6,37.25,-5.20047086,-3.991214028,-3.275593992,4.14100449117001,62.8659380235126,33.8159366933123,116.87170458767
"HER42PB",9.7,38.29,-5.406092258,-4.021679365,-3.30895114,4.27066616483405,71.5692966910451,38.4975215860787,133.051791851013
"HER42PB",9.8,39.34,-5.863892375,-4.536786885,-3.459747081,4.81850818315392,123.780295443742,66.5821073573984,230.115298963087
"HER42PB",9.9,40.38,-5.705663421,-4.576653655,-3.749226859,4.63984367318331,103.528162090184,55.6883725159281,192.46531836975
"HER42PB",10,41.43,-5.774551546,-4.480793437,-3.671403342,4.65420345342141,105.025528945667,56.493814451317,195.249016860465
"HER42PB",10.1,42.43,-5.410086831,-4.195433017,-3.932456008,4.16509024496352,64.3984938209601,34.640306955728,119.720821518947
"HER42PB",10.2,43.43,-5.693125287,-4.446818119,-3.952185067,4.48574265306296,88.7428314823086,47.7352611881596,164.978465467176
"HER42PB",10.3,44.43,-5.920084494,-4.32899572,-3.758853519,4.63142882122386,102.660643073668,55.2217292260157,190.852546343913
"HER42PB",10.4,45.43,-5.869417113,-4.389264302,-3.720628152,4.64607969220703,104.175782867494,56.0367313235006,193.669285836876
"HER42PB",10.5,46.43,-5.010854362,-4.069527552,-3.799863985,3.90104986757304,49.4543423706366,26.6017650160467,91.9387107523441
"HER42PB",10.6,47.43,-4.992642678,-4.247474313,-3.831313916,3.98595720579059,53.8367977164859,28.9591120500014,100.085968912354
"HER42PB",10.7,48.43,-4.895956132,-4.13963005,-3.643193164,3.93189663176976,51.003621079862,27.4351306254466,94.8189166209154
"HER42PB",10.8,49.44,-4.989752083,-4.229836726,-3.245117499,4.17252570073439,64.8791105614554,34.8988333657571,120.614318052698
"HER42PB",10.9,50.44,-4.86247755,-4.033496302,-3.535272105,3.88702161518119,48.765427805382,26.2311940509394,90.6579755547485
"HER42PB",11,51.44,-4.585160597,-3.960555736,-3.415524553,3.73695209064594,41.9698746484066,22.5758283222618,78.0246178726474
"HER42PB",11.1,52.44,-4.17438727,-3.893614606,-3.524536895,3.45674134729084,31.7134647839394,17.0588485780357,58.9573114504995
"HER42PB",11.2,53.44,-4.940185709,-3.685393656,-3.501946607,3.73413217157769,41.8516897128867,22.5122559900371,77.8049046971972
"HER42PB",11.3,54.44,-5.083276376,-3.940941276,-3.449554709,3.98439763475512,53.7529008446954,28.9139834574053,99.9299993885708
"HER42PB",11.4,55.44,-5.024414709,-3.710472736,-3.268834896,3.87519334193748,48.192014927959,25.9227520842448,89.591965207589
"HER42PB",11.5,56.45,-4.283982458,-3.844031174,-3.851765164,3.36898935910958,29.049153954649,15.6257010077109,54.0041912400909
"HER42PB",11.6,57.45,-4.194215902,-4.154083801,-3.650739508,3.57826870082597,35.81148674803,19.2631973185837,66.5757901917513
"HER42PB",11.7,58.45,-5.322756542,-4.326622923,-3.827374852,4.22585627789031,68.4330761978614,36.810531190515,127.221362105989
"HER42PB",11.8,59.45,-5.339180651,-4.421600428,-3.965873485,4.24525320556349,69.7734249267731,37.5315122048584,129.713154094064
"HER42PB",11.9,60.45,-5.53479794,-4.272117535,-3.89032217,4.30207896711058,73.8531725262783,39.7260310633531,137.297659650369
"HER42PB",12,61.45,-5.196526462,-4.404939209,-3.759801247,4.22057231887051,68.0724322805773,36.6165388274146,126.550902542554
"HER42PB",12.1,62.45,-5.152874038,-4.245511937,-3.700739919,4.12039408960888,61.5835069030421,33.1261098817383,114.487585050479
"HER42PB",12.2,63.46,-5.299441734,-4.217636564,-3.590158487,4.22750453572959,68.5459645611776,36.8712544671785,127.431228622956
"HER42PB",12.3,64.46,-5.609346556,-4.139072475,-3.633367997,4.35710313668884,78.0307622444733,41.9731797400861,145.064059815284
"HER42PB",12.4,65.46,-5.213854573,-4.082641123,-3.65601779,4.07426978967905,58.8075230459579,31.6328927704672,109.326857707734
"HER42PB",12.5,66.46,-4.668784277,-3.796643329,-3.680095624,3.59336987299849,36.3563861297455,19.5563017178121,67.5887921698024
"HER42PB",12.6,67.46,-5.057820837,-4.025319573,-3.647819813,3.95286352274628,52.0842980713245,28.0164327721759,96.827962633299
"HER42PB",12.7,68.46,-5.242115308,-4.158381084,-3.639026624,4.14168779683727,62.9089093548473,33.8390512107398,116.95159097606
"HER42PB",12.8,69.46,-5.173371765,-3.778135466,-3.431750674,3.94558010416812,51.7063244680032,27.8131186748522,96.1252861013306
"HER42PB",12.9,70.46,-4.379211021,-3.937378269,-3.31086239,3.65451037153541,38.648593030411,20.7892925213835,71.850147940048
"HER42PB",13,71.47,-4.925124042,-4.016199826,-3.400864326,3.95672981356306,52.2860609002093,28.1249621167325,97.2030523317202
"HER42PB",13.1,72.47,-5.224276282,-4.253591478,-3.585460492,4.20594396642968,67.0838927301065,36.0847979211538,124.713145786699
"HER42PB",13.2,73.47,-5.595374994,-4.473232208,-3.499330968,4.59233882340293,98.7250608373464,53.1047577158632,183.536053200489
"HER42PB",13.3,74.47,-5.077848806,-4.097019553,-3.190298272,4.16196444301912,64.1975111633934,34.5321972696498,119.347182207726
"HER42PB",13.4,75.47,-5.409119571,-4.164672659,-3.48624709,4.29744168007883,73.5114870262503,39.5422365380309,136.662444968513
"HER42PB",13.5,76.47,-5.045410762,-4.298196361,-3.536854075,4.14566934633132,63.1598835926826,33.9740516450786,117.418167756835
"HER42PB",13.6,77.47,-5.592175021,-4.156248036,-3.512733479,4.397302574741,81.2314570906637,43.6948512476823,151.014351408791
"HER42PB",13.7,78.48,-4.957718703,-4.266932799,-3.666616605,4.03382770966544,56.4766743567298,30.3791163345355,104.993664439479
"HER42PB",13.8,79.48,-4.455952265,-3.510656836,-3.255589573,3.45782646095574,31.7478961755461,17.0773694145243,59.0213215576404
"HER42PB",13.9,80.48,-5.229245378,-4.118054307,-3.314559069,4.22009692398121,68.040078685145,36.5991356490108,126.490755188254
"HER42PB",14,81.48,-5.043037945,-4.289266143,-3.328339522,4.20968545339792,67.3353563711554,36.2200616081952,125.18063239861
"HER42PB",14.1,82.48,-5.61781887,-4.379314082,-3.391006335,4.5874742298212,98.2459697764694,52.8470519773615,182.645393000423
"HER42PB",14.2,83.48,-5.382592862,-4.310520128,-3.350692265,4.41395034723052,82.5950992151075,44.4283619086586,153.549447273768
"HER42PB",14.3,84.48,-5.117166395,-4.052265164,-3.294579462,4.12253930634125,61.7157586761287,33.1972488438994,114.733449355401
"HER42PB",14.4,85.49,-5.036818707,-4.086076746,-3.164223823,4.14097819740375,62.864285062964,33.8150475566665,116.868631630787
"HER42PB",14.5,86.49,-5.179291043,-4.060915266,-3.373656228,4.13684520870112,62.6050038552293,33.6755787571515,116.386611674222
"HER42PB",14.6,87.49,-5.228043351,-4.290594394,-3.487908247,4.26322270743743,71.038551420619,38.2120307618061,132.065103249734
"HER42PB",14.7,88.49,-5.212450116,-4.453607676,-3.621704337,4.30563706315229,74.1164172544007,39.8676318624648,137.787048038845
"HER42PB",14.8,89.49,-5.435572877,-4.36253743,-3.533917737,4.41511848248405,82.6916378363751,44.4802905684047,153.728918599271
"HER42PB",14.9,90.49,-5.218391425,-4.256044016,-3.251769144,4.31704033084744,74.9664238163126,40.3248551059288,139.367263317971
"HER42PB",15,91.49,-5.342781641,-4.237000863,-3.431375699,4.31881975593807,75.0999397073399,40.3966740441404,139.615477697085
"HER42PB",15.1,92.49,-4.927465752,-3.924326258,-3.434835741,3.89188765416784,49.0033005579585,26.3591471237016,91.1001958562762
"HER42PB",15.2,93.5,-4.253222555,-3.959416765,-3.586212519,3.51270379736399,33.5388274945927,18.0407213028601,62.3507747183988
"HER42PB",15.3,94.5,-5.454142684,-4.250957591,-3.357139715,4.42011008926529,83.1054338709143,44.702873750138,154.498191267884
"HER42PB",15.4,95.5,-5.942766566,-4.44986247,-3.645194015,4.75720978097658,116.420633225585,62.6233042363778,216.433227309216
"HER42PB",15.5,96.5,-5.827244826,-4.565003113,-3.59484379,4.76505081872926,117.337080057601,63.1162660695831,218.136959199475
"HER42PB",15.6,97.5,-5.850053257,-4.489961268,-3.614001009,4.72913436053215,113.197531674091,60.8895800377398,210.441280251314
"HER42PB",15.7,98.5,-5.036430375,-4.567683817,-3.355256289,4.36235677674475,78.4417865240225,42.1942719794392,145.828179618282
"HER42PB",15.8,99.5,-5.621467843,-4.48203356,-3.502633899,4.61303859961597,100.78994509458,54.2154704088881,187.374801980932
"HER42PB",15.9,100.51,-5.308035097,-3.991213108,-3.48869528,4.13240516860346,62.3276513116477,33.5263892858678,115.870995975814
"HER42PB",16,101.51,-5.558959501,-4.043254066,-3.419925862,4.34060230759314,76.7537547882515,41.2862703475891,142.690023208625
"HER42PB",16.1,102.51,-5.344447696,-4.161094179,-3.623139888,4.20969888205294,67.3362606004981,36.2205479981732,125.182313417425
"HER42PB",16.2,103.51,-4.897806924,-4.005592255,-3.521473907,3.89447485546528,49.1302461067749,26.4274318384014,91.3361955589201
"HER42PB",16.3,104.51,-5.89352739,-4.215881228,-3.586247453,4.60473882667684,99.9568733710796,53.7673565089198,185.826069623946
"HER42PB",16.4,105.51,-5.860458698,-4.33490227,-3.723778925,4.60669103191295,100.152200299753,53.8724239470616,186.18919458197
"HER42PB",16.5,106.51,-5.594258715,-4.645458705,-3.477479503,4.70143598102625,110.105167917751,59.2261804241369,204.692382918812
"HER42PB",16.6,107.52,-5.795540253,-4.393414427,-3.523195045,4.66631228889659,106.304996594654,57.1820471951453,197.627627119106
"HER42PB",16.7,108.52,-6.093275292,-4.717910001,-3.833627956,4.95669919625684,142.123897709229,76.449232742611,264.217201081272
"HER42PB",16.8,109.52,-6.2890859,-4.948461576,-3.537930599,5.33412750966026,207.291809784098,111.503414044016,385.368419182252
"HER42PB",16.9,110.52,-5.542317529,-4.469238542,-3.733891007,4.47700977033816,87.9712248213092,47.3202096861723,163.544000499701
"HER42PB",17,111.52,-5.757040504,-4.590605619,-3.576325736,4.74022432281651,114.459874762006,61.5686013852016,212.788054881542
"HER42PB",17.1,112.52,-5.49255946,-4.458305041,-3.746546013,4.43517016029905,84.3664794923443,45.3811971831822,156.842553826894
"HER42PB",17.2,113.52,-5.803550059,-4.657949261,-3.656835337,4.78359321808461,119.533087762117,64.2975107920616,222.219474656708
"HER42PB",17.3,114.52,-5.896970701,-4.588637881,-3.852868525,4.73832061419571,114.242183787522,61.451504202796,212.383353765785
"HER42PB",17.4,115.53,-5.896258294,-4.610343119,-3.92499021,4.72630173467784,112.877339126167,60.7173466905463,209.846022309595
"HER42PB",17.5,116.53,-5.645353905,-4.644980056,-3.594835402,4.69393145780199,109.281973830946,58.7833797597249,203.162013705274
"HER42PB",17.6,117.53,-5.502779566,-4.268323745,-3.872916749,4.28573697651163,72.6560728126853,39.082104488754,135.072176527271
"HER42PB",17.7,118.53,-5.714843191,-4.486419291,-3.71256073,4.60457834730567,99.9408336419546,53.7587286496732,185.796250765866
"HER42PB",17.8,119.53,-6.054214226,-4.548615916,-3.586579163,4.9124814710477,135.976417647206,73.1424691256741,252.78865175304
"HER42PB",17.9,120.53,-5.971659322,-4.42106191,-3.564363275,4.78719718523396,119.964658299568,64.5296549774816,223.021791236201
"HER42PB",18,121.53,-5.429962215,-4.318413135,-3.687579019,4.33336314778007,76.200128403773,40.9884716451778,141.66079718746
"HER42PB",18.1,122.54,-5.865422049,-4.657884179,-3.399544517,4.9119360812189,135.902277711486,73.1025888430986,252.650820982705
"HER42PB",18.2,123.54,-5.316192367,-4.276420578,-3.380538718,4.34351680346045,76.977779590485,41.4067745310664,143.106499305699
"HER42PB",18.3,124.54,-4.505441016,-3.815599623,-3.350159371,3.63209455787166,37.7918910781976,20.3284677903463,70.257485512243
"HER42PB",18.4,125.54,-5.451038454,-4.024611991,-3.185331991,4.34185228914333,76.8497555527371,41.3379096911895,142.868494624783
"HER42PB",18.5,126.54,-5.099656145,-4.397925221,-3.083221731,4.38963382505385,80.6108958850385,43.3610479337812,149.860689375223
"HER42PB",18.6,127.54,-5.065388526,-3.918249196,-3.294094887,4.01339406896245,55.3343608427021,29.7646595605058,102.870032282618
"HER42PB",18.7,128.54,-5.418003352,-4.090970455,-3.478919168,4.26153276667212,70.9186018590385,38.1475092274375,131.842109524241
"HER42PB",18.8,129.55,-4.991148406,-4.120075281,-3.429133173,4.04568159400024,57.1501259449894,30.7413696785654,106.245652997221
"HER42PB",18.9,130.55,-4.862054793,-3.902375228,-3.41433762,3.84981906560927,46.9845613394804,25.2732561029261,87.3472335845087
"HER42PB",19,131.55,-5.247989629,-4.539143538,-3.674638106,4.35947213889428,78.2158364263391,42.0727321688624,145.408124276737
"HER42PB",19.1,132.55,-5.050061663,-3.914699832,-3.437420331,3.95399646601616,52.1433400655902,28.0481917883157,96.9377253876463
"HER42PB",19.2,133.55,-5.415152777,-4.107706482,-3.367988894,4.30733751690812,74.2425560106554,39.9354825989715,138.021547863735
"HER42PB",19.3,134.55,-4.782331392,-4.028065397,-3.523583965,3.84433074292355,46.7274012399141,25.1349282592578,86.869156900486
"HER42PB",19.4,135.55,-5.687928292,-4.471532968,-3.493021213,4.6526994575266,104.86768970582,56.4089118488868,194.95558385697
"HER42PB",19.5,136.55,-5.466260085,-4.511379356,-3.485824067,4.53880596470021,93.5789967587291,50.3366613098703,173.969198721034
"HER42PB",19.6,137.56,-5.446809208,-4.459749405,-3.506869226,4.48898791056666,89.0312926342697,47.8904260414947,165.514732762264
"HER42PB",19.7,138.56,-5.457491726,-4.453624805,-3.554878383,4.4756532018111,87.8519667356017,47.2560601005105,163.322292271037
"HER42PB",19.8,139.56,-5.22974387,-4.490686988,-3.484930629,4.38419942280105,80.1740120273473,43.1260456839382,149.0484950016
"HER42PB",19.9,140.56,-5.357964135,-4.224083707,-3.373256016,4.33999564326697,76.7072051447529,41.2612310362047,142.603484514466
"HER42PB",20,141.56,-4.953168856,-4.123223374,-3.353199715,4.05207574349391,57.516723183607,30.938564366226,106.927180156783
"HER42PB",20.1,142.59,-5.271790036,-4.043821726,-3.304677679,4.20445677359853,66.9842001951385,36.0311727537378,124.527811138674
"HER42PB",20.2,143.63,-5.31822892,-4.385773252,-3.467734777,4.38020075019485,79.8540625147168,42.9539430667765,148.453688877668
"HER42PB",20.3,144.66,-5.102572789,-4.096599355,-3.273454104,4.1476759274358,63.2867462592095,34.0422917769352,117.654013376127
"HER42PB",20.4,145.69,-4.926333087,-3.925856836,-3.326464625,3.92890036539724,50.8510293620192,27.3530506942036,94.5352390885198
"HER42PB",20.5,146.73,-5.008297347,-4.187994991,-3.183201457,4.17904817860953,65.3036661968761,35.1272041964732,121.403593491257
"HER42PB",20.6,147.76,-4.975146646,-4.149471249,-3.261204199,4.1111166914336,61.0148142614581,32.8202069560783,113.43034991651
"HER42PB",20.7,148.79,-5.03953936,-4.19304439,-3.310572123,4.15651598525235,63.8486848806509,34.3445616777054,118.698692364882
"HER42PB",20.8,149.82,-5.11430494,-4.179552145,-3.087465165,4.26676928047224,71.2909421280069,38.3477931229724,132.534313335862
"HER42PB",20.9,150.86,-4.873259121,-4.475957324,-3.222726081,4.26191564688988,70.9457603876614,38.1621179505946,131.892598924925
"HER42PB",21,151.89,-5.501369522,-4.46527759,-3.225501817,4.62138475717239,101.634674073488,54.6698548111866,188.945205903683
"HER42PB",21.1,152.92,-4.684942088,-4.247978313,-3.295652218,4.00051110508623,54.6260625578342,29.3836619851238,101.553261539802
"HER42PB",21.2,153.96,-5.312477205,-4.143620871,-3.407640591,4.25314953888107,70.3265601426301,37.8290467049444,130.741467002089
"HER42PB",21.3,154.99,-5.123697916,-4.355246352,-3.337540702,4.29187864732185,73.1036756017881,39.3228725112464,135.904298063755
"HER42PB",21.4,156.02,-5.629236863,-4.364747375,-3.583617787,4.52081320601556,91.9103096127334,49.4390652401381,170.867005111784
"HER42PB",21.5,157.05,-5.547480119,-4.671328555,-3.64341708,4.63106751184277,102.623557520339,55.2017807012177,190.783601984385
"HER42PB",21.6,158.09,-5.84236519,-4.700735517,-3.938127738,4.73946878085753,114.373428185124,61.5221012920974,212.627345296772
"HER42PB",21.7,159.12,-5.357589384,-4.261343961,-3.800565215,4.21709746187618,67.836300812288,36.4895224011269,126.111919397255
