"Site","depth","SH20_age","Ti","Ca","Fe","Sr","Ti_convert","Ti_ppm"
"HER42PB",9.5,36.2,-5.398600498,-4.17387675,-0.465636174,-3.231391817,3.55218088368044,34.889324134275
"HER42PB",9.6,37.25,-5.20047086,-3.991214028,-0.161928398,-3.275593992,3.30975700545037,27.3784718441029
"HER42PB",9.7,38.29,-5.406092258,-4.021679365,-0.619540807,-3.30895114,3.48220868901822,32.5314947401173
"HER42PB",9.8,39.34,-5.863892375,-4.536786885,-1.19332197,-3.459747081,3.99092048464194,54.1046689659724
"HER42PB",9.9,40.38,-5.705663421,-4.576653655,-1.263993037,-3.749226859,3.83814333557745,46.4391723884207
"HER42PB",10,41.43,-5.774551546,-4.480793437,-0.940436487,-3.671403342,3.80454077960655,44.9046242582499
"HER42PB",10.1,42.43,-5.410086831,-4.195433017,-0.886694638,-3.932456008,3.39024082926381,29.6730975601772
"HER42PB",10.2,43.43,-5.693125287,-4.446818119,-0.720375862,-3.952185067,3.61430545895174,37.1255517494969
"HER42PB",10.3,44.43,-5.920084494,-4.32899572,-1.0181824,-3.758853519,3.79162011941174,44.3281590423533
"HER42PB",10.4,45.43,-5.869417113,-4.389264302,-1.1027072,-3.720628152,3.81975728365319,45.5931407771972
"HER42PB",10.5,46.43,-5.010854362,-4.069527552,-0.88667755,-3.799863985,3.19193361794363,24.3354374172387
"HER42PB",10.6,47.43,-4.992642678,-4.247474313,-0.656367746,-3.831313916,3.21925870558739,25.0095738506842
"HER42PB",10.7,48.43,-4.895956132,-4.13963005,-0.925172133,-3.643193164,3.23428495292588,25.3882115205375
"HER42PB",10.8,49.44,-4.989752083,-4.229836726,-1.135459083,-3.245117499,3.48998467418456,32.7854452386987
"HER42PB",10.9,50.44,-4.86247755,-4.033496302,-0.881035534,-3.535272105,3.20073804935364,24.5506430984499
"HER42PB",11,51.44,-4.585160597,-3.960555736,-0.642323873,-3.415524553,3.0524398130635,21.1669248133719
"HER42PB",11.1,52.44,-4.17438727,-3.893614606,-0.493377685,-3.524536895,2.795145477197,16.3650093156783
"HER42PB",11.2,53.44,-4.940185709,-3.685393656,-0.336485797,-3.501946607,2.99788800951646,20.0431612246366
"HER42PB",11.3,54.44,-5.083276376,-3.940941276,-0.279530119,-3.449554709,3.19048842386213,24.3002933882008
"HER42PB",11.4,55.44,-5.024414709,-3.710472736,-0.325365916,-3.268834896,3.12665498532488,22.7975935725125
"HER42PB",11.5,56.45,-4.283982458,-3.844031174,-0.32380745,-3.851765164,2.67380322598836,14.4949922250978
"HER42PB",11.6,57.45,-4.194215902,-4.154083801,-0.377072135,-3.650739508,2.86182761804566,17.493469118477
"HER42PB",11.7,58.45,-5.322756542,-4.326622923,-0.322127857,-3.827374852,3.35669661469059,28.6942459951294
"HER42PB",11.8,59.45,-5.339180651,-4.421600428,-0.149742528,-3.965873485,3.33319144191407,28.027647729655
"HER42PB",11.9,60.45,-5.53479794,-4.272117535,-0.198602442,-3.89032217,3.39241031034915,29.7375426650189
"HER42PB",12,61.45,-5.196526462,-4.404939209,-0.578451398,-3.759801247,3.39814252302182,29.9084940807764
"HER42PB",12.1,62.45,-5.152874038,-4.245511937,0.072812897,-3.700739919,3.22093563427885,25.0515483068842
"HER42PB",12.2,63.46,-5.299441734,-4.217636564,-0.20155898,-3.590158487,3.35837691086567,28.7425013572183
"HER42PB",12.3,64.46,-5.609346556,-4.139072475,0.029920189,-3.633367997,3.42071638267261,30.5913222663316
"HER42PB",12.4,65.46,-5.213854573,-4.082641123,-0.415216604,-3.65601779,3.26620909549002,26.2117843891731
"HER42PB",12.5,66.46,-4.668784277,-3.796643329,-0.558836717,-3.680095624,2.90559336584193,18.276084839964
"HER42PB",12.6,67.46,-5.057820837,-4.025319573,-0.861682719,-3.647819813,3.24150835912813,25.5722648307225
"HER42PB",12.7,68.46,-5.242115308,-4.158381084,-0.588094683,-3.639026624,3.34804914011129,28.4471830073553
"HER42PB",12.8,69.46,-5.173371765,-3.778135466,-0.69324896,-3.431750674,3.22769574648117,25.2214732931491
"HER42PB",12.9,70.46,-4.379211021,-3.937378269,-0.537633743,-3.31086239,2.97750993548197,19.6388536968468
"HER42PB",13,71.47,-4.925124042,-4.016199826,-0.497698746,-3.400864326,3.20624695551775,24.6862635046092
"HER42PB",13.1,72.47,-5.224276282,-4.253591478,-0.414822511,-3.585460492,3.37529406535479,29.2328788943142
"HER42PB",13.2,73.47,-5.595374994,-4.473232208,-1.069132066,-3.499330968,3.79052761913744,44.2797569608985
"HER42PB",13.3,74.47,-5.077848806,-4.097019553,-1.116682965,-3.190298272,3.4838867680985,32.5861309900442
"HER42PB",13.4,75.47,-5.409119571,-4.164672659,-1.059402802,-3.48624709,3.55830833594813,35.1037631139282
"HER42PB",13.5,76.47,-5.045410762,-4.298196361,-0.997145396,-3.536854075,3.42327263133902,30.6696213263763
"HER42PB",13.6,77.47,-5.592175021,-4.156248036,-1.248944411,-3.512733479,3.6649848118541,39.0555429773099
"HER42PB",13.7,78.48,-4.957718703,-4.266932799,-0.855075338,-3.666616605,3.30166030932517,27.1576916782951
"HER42PB",13.8,79.48,-4.455952265,-3.510656836,-0.41919016,-3.255589573,2.80996570480174,16.6093485881162
"HER42PB",13.9,80.48,-5.229245378,-4.118054307,-0.800691536,-3.314559069,3.47000995473513,32.1370623591044
"HER42PB",14,81.48,-5.043037945,-4.289266143,-1.026564838,-3.328339522,3.49536296098267,32.9622497926083
"HER42PB",14.1,82.48,-5.61781887,-4.379314082,-1.134053134,-3.391006335,3.80600162636037,44.9702709710478
"HER42PB",14.2,83.48,-5.382592862,-4.310520128,-1.137163539,-3.350692265,3.67311092940292,39.3742059031318
"HER42PB",14.3,84.48,-5.117166395,-4.052265164,-1.199304118,-3.294579462,3.45770827995516,31.7441443991083
"HER42PB",14.4,85.49,-5.036818707,-4.086076746,-0.992231271,-3.164223823,3.44956620050973,31.4867304180958
"HER42PB",14.5,86.49,-5.179291043,-4.060915266,-0.866524638,-3.373656228,3.4099977170011,30.2651751639597
"HER42PB",14.6,87.49,-5.228043351,-4.290594394,-1.040105348,-3.487908247,3.5274533030067,34.0371747734736
"HER42PB",14.7,88.49,-5.212450116,-4.453607676,-1.344340298,-3.621704337,3.59780955940747,36.5181559209794
"HER42PB",14.8,89.49,-5.435572877,-4.36253743,-1.43003193,-3.533917737,3.70551295989824,40.6709045100085
"HER42PB",14.9,90.49,-5.218391425,-4.256044016,-1.285068225,-3.251769144,3.62797482167126,37.6365187227512
"HER42PB",15,91.49,-5.342781641,-4.237000863,-1.074544229,-3.431375699,3.58174572616497,35.936220921154
"HER42PB",15.1,92.49,-4.927465752,-3.924326258,-1.125584321,-3.434835741,3.25217730135515,25.8465544350098
"HER42PB",15.2,93.5,-4.253222555,-3.959416765,-1.095647256,-3.586212519,2.93046435672519,18.7363288172464
"HER42PB",15.3,94.5,-5.454142684,-4.250957591,-1.44266634,-3.357139715,3.72610983198618,41.5172843955078
"HER42PB",15.4,95.5,-5.942766566,-4.44986247,-1.576012211,-3.645194015,3.98806464853727,53.9503753224528
"HER42PB",15.5,96.5,-5.827244826,-4.565003113,-1.783414135,-3.59484379,4.03144374716,56.3421964414746
"HER42PB",15.6,97.5,-5.850053257,-4.489961268,-1.707466026,-3.614001009,3.9896286516011,54.034819893322
"HER42PB",15.7,98.5,-5.036430375,-4.567683817,-1.604715161,-3.355256289,3.70449335832797,40.6294575252016
"HER42PB",15.8,99.5,-5.621467843,-4.48203356,-1.721119869,-3.502633899,3.90991913720863,49.8949171679997
"HER42PB",15.9,100.51,-5.308035097,-3.991213108,-1.790198759,-3.48869528,3.54415443210262,34.6104075162993
"HER42PB",16,101.51,-5.558959501,-4.043254066,-1.659115624,-3.419925862,3.69317466780324,40.1721780536314
"HER42PB",16.1,102.51,-5.344447696,-4.161094179,-1.416363882,-3.623139888,3.53453084584293,34.2789288391814
"HER42PB",16.2,103.51,-4.897806924,-4.005592255,-1.553716131,-3.521473907,3.31469251642878,27.5139326015123
"HER42PB",16.3,104.51,-5.89352739,-4.215881228,-1.913955693,-3.586247453,3.92705999250414,50.7575305687078
"HER42PB",16.4,105.51,-5.860458698,-4.33490227,-1.903264549,-3.723778925,3.91557082752664,50.1777061534342
"HER42PB",16.5,106.51,-5.594258715,-4.645458705,-1.903858679,-3.477479503,4.01025272599234,55.1608093723267
"HER42PB",16.6,107.52,-5.795540253,-4.393414427,-2.118431935,-3.523195045,4.01308707711343,55.3173762521519
"HER42PB",16.7,108.52,-6.093275292,-4.717910001,-1.943262959,-3.833627956,4.18667840393041,65.8038537292701
"HER42PB",16.8,109.52,-6.2890859,-4.948461576,-2.019638232,-3.537930599,4.51814844081508,91.6657162547842
"HER42PB",16.9,110.52,-5.542317529,-4.469238542,-2.02165785,-3.733891007,3.83163497029618,46.1379107150877
"HER42PB",17,111.52,-5.757040504,-4.590605619,-2.050941736,-3.576325736,4.05596158088163,57.7406586235448
"HER42PB",17.1,112.52,-5.49255946,-4.458305041,-2.040380486,-3.746546013,3.80062006528197,44.7289107410216
"HER42PB",17.2,113.52,-5.803550059,-4.657949261,-2.191796608,-3.656835337,4.10563535307056,60.6812863440894
"HER42PB",17.3,114.52,-5.896970701,-4.588637881,-2.199241631,-3.852868525,4.05499944735482,57.6851311167448
"HER42PB",17.4,115.53,-5.896258294,-4.610343119,-2.165838003,-3.92499021,4.03431500164652,56.5042016936425
"HER42PB",17.5,116.53,-5.645353905,-4.644980056,-2.057943911,-3.594835402,4.01917402283442,55.6551169807683
"HER42PB",17.6,117.53,-5.502779566,-4.268323745,-1.955399675,-3.872916749,3.65954078542446,38.8435012731354
"HER42PB",17.7,118.53,-5.714843191,-4.486419291,-1.921024102,-3.71256073,3.9177155782193,50.2854403136227
"HER42PB",17.8,119.53,-6.054214226,-4.548615916,-2.118902868,-3.586579163,4.20043596952829,66.7154105876503
"HER42PB",17.9,120.53,-5.971659322,-4.42106191,-1.88579215,-3.564363275,4.06731823344892,58.4001368672612
"HER42PB",18,121.53,-5.429962215,-4.318413135,-1.857133899,-3.687579019,3.69640558852608,40.3021810778288
"HER42PB",18.1,122.54,-5.865422049,-4.657884179,-1.690851646,-3.399544517,4.14805752977197,63.3109012379356
"HER42PB",18.2,123.54,-5.316192367,-4.276420578,-1.681429738,-3.380538718,3.70143615601998,40.5054347318663
"HER42PB",18.3,124.54,-4.505441016,-3.815599623,-1.12121858,-3.350159371,3.05069028271341,21.1299250115684
"HER42PB",18.4,125.54,-5.451038454,-4.024611991,-1.621460464,-3.185331991,3.70729100673325,40.7432836106963
"HER42PB",18.5,126.54,-5.099656145,-4.397925221,-1.670128257,-3.083221731,3.75918311113248,42.913356213704
"HER42PB",18.6,127.54,-5.065388526,-3.918249196,-1.40722462,-3.294094887,3.40478682906182,30.1078769154218
"HER42PB",18.7,128.54,-5.418003352,-4.090970455,-1.553604524,-3.478919168,3.6091566543778,36.9348907980333
"HER42PB",18.8,129.55,-4.991148406,-4.120075281,-1.085673106,-3.429133173,3.36741589710771,29.0034821555579
"HER42PB",18.9,130.55,-4.862054793,-3.902375228,-0.921747795,-3.41433762,3.18801697673774,24.2403106505984
"HER42PB",19,131.55,-5.247989629,-4.539143538,-1.73286097,-3.674638106,3.69745080597352,40.3443276429866
"HER42PB",19.1,132.55,-5.050061663,-3.914699832,-1.182543897,-3.437420331,3.31062169581186,27.4021559830664
"HER42PB",19.2,133.55,-5.415152777,-4.107706482,-1.500346762,-3.367988894,3.6457926776402,38.3131307800384
"HER42PB",19.3,134.55,-4.782331392,-4.028065397,-1.493521962,-3.523583965,3.26464333857889,26.1707752201858
"HER42PB",19.4,135.55,-5.687928292,-4.471532968,-1.776738967,-3.493021213,3.95070837214871,51.9721694356602
"HER42PB",19.5,136.55,-5.466260085,-4.511379356,-1.76516052,-3.485824067,3.8597262288794,47.4523585050362
"HER42PB",19.6,137.56,-5.446809208,-4.459749405,-1.530130391,-3.506869226,3.78158728462727,43.8856454909205
"HER42PB",19.7,138.56,-5.457491726,-4.453624805,-1.684341228,-3.554878383,3.79164960602023,44.329466148695
"HER42PB",19.8,139.56,-5.22974387,-4.490686988,-1.812787645,-3.484930629,3.74510576318185,42.3134821907017
"HER42PB",19.9,140.56,-5.357964135,-4.224083707,-1.618647522,-3.373256016,3.68950410804885,40.0249939628727
"HER42PB",20,141.56,-4.953168856,-4.123223374,-1.318756645,-3.353199715,3.41537987597597,30.4285062908633
"HER42PB",20.1,142.59,-5.271790036,-4.043821726,-1.384791841,-3.304677679,3.55140856619085,34.8623889016603
"HER42PB",20.2,143.63,-5.31822892,-4.385773252,-1.694974998,-3.467734777,3.7251500334796,41.4774552849658
"HER42PB",20.3,144.66,-5.102572789,-4.096599355,-1.345688606,-3.273454104,3.50228543285234,33.1912216508106
"HER42PB",20.4,145.69,-4.926333087,-3.925856836,-1.177389392,-3.326464625,3.29836891883134,27.0684520518628
"HER42PB",20.5,146.73,-5.008297347,-4.187994991,-1.318711927,-3.183201457,3.5294167441716,34.1040704148977
"HER42PB",20.6,147.76,-4.975146646,-4.149471249,-1.169197423,-3.261204199,3.44573848469593,31.3664385306002
"HER42PB",20.7,148.79,-5.03953936,-4.19304439,-1.293743407,-3.310572123,3.49748151161773,33.0321560116254
"HER42PB",20.8,149.82,-5.11430494,-4.179552145,-1.136889741,-3.087465165,3.57802033425655,35.802593476362
"HER42PB",20.9,150.86,-4.873259121,-4.475957324,-1.356412868,-3.222726081,3.59604132421994,36.4536402889113
"HER42PB",21,151.89,-5.501369522,-4.46527759,-1.395276067,-3.225501817,3.8874554717969,48.7865895991132
"HER42PB",21.1,152.92,-4.684942088,-4.247978313,-1.497102957,-3.295652218,3.40560226388712,30.1324379393706
"HER42PB",21.2,153.96,-5.312477205,-4.143620871,-1.378306905,-3.407640591,3.58024569285082,35.8823558024237
"HER42PB",21.3,154.99,-5.123697916,-4.355246352,-1.447185117,-3.337540702,3.6262979713673,37.5734607990158
"HER42PB",21.4,156.02,-5.629236863,-4.364747375,-1.726800951,-3.583617787,3.83181353948711,46.1461502601177
"HER42PB",21.5,157.05,-5.547480119,-4.671328555,-1.624209135,-3.64341708,3.89691024282226,49.250043103824
"HER42PB",21.6,158.09,-5.84236519,-4.700735517,-1.766132378,-3.938127738,3.98024247211723,53.5300121894214
"HER42PB",21.7,159.12,-5.357589384,-4.261343961,-1.463022825,-3.800565215,3.53311636403321,34.2304761936531
"HER42PB",21.8,160.15,-5.232224896,-4.110671038,-1.234024194,-3.602736187,3.43625609959162,31.0704156008992
"HER42PB",21.9,161.19,-5.376141772,-4.224248116,-1.33847286,-3.469367052,3.62036156713504,37.3510703003596
"HER42PB",22,162.22,-5.056953269,-4.291485427,-1.454479315,-3.254143964,3.59639916350657,36.4666871677509
"HER42PB",22.1,163.25,-4.77371942,-4.285942191,-1.441816341,-3.472137584,3.3908983499885,29.6926146525319
"HER42PB",22.2,164.28,-5.113149658,-4.205079759,-1.422517355,-3.455757352,3.506351169997,33.3264431347878
"HER42PB",22.3,165.32,-5.014251935,-4.119940109,-1.500437819,-3.328457028,3.47856048184613,32.4130293322551
"HER42PB",22.4,166.35,-5.678950379,-4.065310779,-1.509921569,-3.3280765,3.77192663703499,43.4637230389629
"HER42PB",22.5,167.38,-5.543394057,-4.468451512,-1.682849035,-3.516862998,3.85369933854055,47.1672284309252
"HER42PB",22.6,168.42,-5.225711762,-4.253851179,-1.583012245,-3.322441895,3.65298594095435,38.589720817982
"HER42PB",22.7,169.45,-4.908009319,-4.219612742,-1.313232244,-3.469770217,3.39884910041701,29.9296342143088
"HER42PB",22.8,170.48,-5.316325877,-4.157381664,-1.348430525,-3.273943208,3.63033751792485,37.7255475171193
"HER42PB",22.9,171.51,-4.832905917,-3.995440977,-1.432012995,-3.372911364,3.31405974617835,27.4965281105927
"HER42PB",23,172.55,-5.342228702,-4.241168431,-1.578637466,-3.272020836,3.7188926168034,41.2187239038326
"HER42PB",23.1,173.58,-5.149844979,-4.162341619,-1.432939334,-3.287242499,3.56363132411149,35.2911182316303
"HER42PB",23.2,174.61,-5.334682548,-4.19773411,-1.424039805,-3.459173721,3.60531627813277,36.7933189393987
"HER42PB",23.3,175.65,-5.143376144,-4.169033401,-1.296780944,-3.438628052,3.48943171677374,32.7673212951331
"HER42PB",23.4,176.68,-5.161760054,-4.202718155,-1.533137114,-3.46120045,3.54321683517726,34.57797211267
"HER42PB",23.5,177.71,-4.798338058,-3.831495047,-1.35260542,-3.249987838,3.25288928874918,25.8649634086475
"HER42PB",23.6,178.74,-5.103867307,-4.177680948,-1.375581224,-3.229942438,3.56058224633065,35.1836767491268
"HER42PB",23.7,179.78,-5.230691834,-4.499323441,-1.555542573,-3.469704024,3.71408782383797,41.0211514965287
"HER42PB",23.8,180.81,-5.315069126,-4.151918316,-1.501919785,-3.1419421,3.69753194130805,40.3476011263021
"HER42PB",23.9,181.84,-4.317947778,-3.988701281,-1.303297442,-3.099491508,3.17212432116531,23.8581128558968
"HER42PB",24,182.88,-5.022973826,-4.203014203,-1.588986622,-3.428960384,3.50023261217652,33.1231559120308
"HER42PB",24.1,183.91,-5.392772772,-4.178328668,-1.360997077,-3.279147764,3.67679493952216,39.5195283965252
"HER42PB",24.2,184.94,-5.121648375,-4.172752169,-1.438786994,-3.393792708,3.51933968391454,33.7621274259742
"HER42PB",24.3,185.97,-5.576018603,-4.133968442,-1.390403145,-3.237393574,3.76493167357433,43.1607567388727
"HER42PB",24.4,187.01,-5.216363111,-4.11561635,-1.410840872,-3.3376813,3.55156417465723,34.8678142066325
"HER42PB",24.5,188.04,-4.748476564,-4.097888998,-1.312743573,-3.260265109,3.34575497001011,28.3819951352622
"HER42PB",24.6,189.07,-4.997799645,-3.901000594,-1.399148198,-3.169575487,3.40840749899973,30.2170851845088
"HER42PB",24.7,190.11,-5.203010312,-4.09609922,-1.579336268,-3.406056026,3.53914557316306,34.4374823077363
