Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,cps_acf_sum,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,PCA sum,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,dry_mass_pc,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd,dry_mass_err
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,55771.41667,1.278333333,0.044293654,0.694876669,0.071912343,0.074096328,3.692781296,0.116194929,0.39624319,0.279006884,0.216204722,0.082149888,0.805592071,1.622069108,77.10220559,11.69299911,95.75653252,0.151652695,0.027542849,0.113771657,0.026273786,0.034413981,0.618670174,0.061305478,0.04775892,0.067185,0.101711425,0.095074647,0.153563649,0.257807691,0.637942491,0.258309141,0.002941087,7766.606331,9084.977882,1442.000824,88.46094721,6242.966621,4.068857773,5.960197779,36.59073739,261.6355831,30.36236272,168.0404108,30.42377281,22.9846784,2010.436754,46.04204392,11.02828725,0.148073757,15.13819392,0.02443965,0.068926753,0.331067449,2.462160119,0.256345549,1.955006557,3.299014819,2.29846784
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,52971.5,1.321666667,0.033023258,0.449509762,0.078431554,0.073825864,3.768880905,0.178988071,0.417727674,0.359492821,0.019250861,0.06948878,0.759629955,1.635662715,77.75991512,11.65554457,96.18140045,0.149898092,0.020657853,0.076213496,0.027334741,0.022431989,0.414669371,0.071408531,0.057672097,0.082953075,0.038693229,0.099277862,0.200895124,0.237792848,0.468679568,0.145151285,0.00220137,1973.319538,6626.492173,461.9149499,46.49996193,3694.801697,2.041238975,6.674238754,34.06414422,140.4650062,7.795499709,114.9998151,21.97235957,23.15568582,728.4065428,12.55357407,4.1315028,0.203261185,28.74082309,0.011991471,0.048794576,0.025144385,0.492872097,0.115748702,1.529219743,0.521915705,2.315568582
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,52810.63636,1.295454545,0.023591099,0.411368671,0.053546424,0.081460515,3.173289662,0.139382284,0.403174298,0.325247156,0.137624526,0.101928867,0.747342864,1.654200587,77.94196953,11.61911645,95.6822947,0.149104333,0.022468797,0.04954705,0.029661223,0.027229345,0.52828933,0.096607219,0.079734454,0.094008161,0.082234106,0.074567455,0.187452316,0.17642979,0.74504148,0.313901322,0.004918526,14359.67839,9905.624178,2197.326275,125.5077224,6284.597012,2.439569014,6.367819135,39.61078518,67.51751759,50.21714125,209.897137,39.24997232,24.17673458,3663.807136,61.39912548,24.940646,1.234445563,38.94604963,0.01043611,0.01977015,0.154761353,0.138761249,0.70380336,2.629036009,1.135258391,2.417673458
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,50780.45455,1.240909091,0.0070415,0.439601024,0.046309717,0.042094797,2.167188344,0.107459944,0.425487372,0.253444199,0.072480673,0.095274715,0.744892358,1.786921439,79.29078732,11.88552277,96.40331777,0.149911105,0.00955459,0.044037852,0.035169483,0.029747629,0.196187361,0.069727816,0.035734257,0.067094722,0.079220959,0.133495168,0.156746238,0.097476451,0.542045069,0.297464807,0.004174895,3095.570446,7180.738417,574.7925663,57.22472424,3753.765384,2.601276107,5.912256586,37.01157435,65.03458094,13.30255749,130.9618352,13.33706426,16.6231038,982.5430133,69.86799065,2.379383359,0.585720892,11.81590071,0.027240957,0.047824043,0.426171368,0.286572998,0.023181323,0.711514938,0.180364254,1.66231038
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,50973,1.319090909,0.052652785,0.476498276,0.200509004,0.104571032,6.185250767,0.118570911,0.39519331,0.196781493,0.00974752,0.211958841,1.31042605,1.641482451,75.01305671,11.72657083,96.65836512,0.156443694,0.033821649,0.08113819,0.145709913,0.047744563,1.278265653,0.077898129,0.057249174,0.138423405,0.019264578,0.166290897,0.649380266,0.194773165,1.765688735,0.276022332,0.006363537,3134.001598,6732.62029,606.0238476,60.2997145,11390.75321,5.745017677,7.120078834,25.20300712,71.97280393,10.28410137,119.867266,13.96054981,15.49312409,945.8757012,14.01324671,2.682720915,0.569052976,93.133272,0.069473871,0.066671523,0.083140624,0.774294779,0.050822268,2.07053159,0.385854347,1.549312409
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,48751.45455,1.288181818,0.079679624,0.430408623,0.162060765,0.113078277,6.167487902,0.187606754,0.429740332,0.192395553,0.022248877,0.376840112,1.415760349,1.766199395,74.18777724,12.10903038,96.35180293,0.163261797,0.047700675,0.081141662,0.042077701,0.03571832,0.579031527,0.085617022,0.054851774,0.080431479,0.06525419,0.234007261,0.296159387,0.206768593,0.901473312,0.260276283,0.004797626,3044.618396,6605.365982,562.7226914,54.01867077,7073.372392,3.633220643,5.857915852,18.81424853,41.79884834,9.694363956,112.4064678,13.08141258,27.34117399,864.5444411,65.89419971,3.077677491,0.421691157,64.24483976,0.018650539,0.041156676,0.085012501,0.244174097,0.203712654,0.932757371,0.324463031,2.734117399
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,55387.63636,1.455454545,0.035072796,0.458114536,0.112171097,0.091123769,2.9010372,0.116277637,0.38997338,0.186072919,0.044218803,0.10711192,0.986338805,1.650211815,78.42160194,11.63576857,96.25636773,0.148378059,0.032788203,0.093925866,0.136726938,0.016479322,0.984239946,0.053303386,0.033567272,0.073721109,0.054208629,0.13032754,0.240538557,0.181988359,1.058951996,0.251195794,0.002752184,1424.582603,7089.603048,441.0920959,47.40786167,1987.252608,1.389287804,4.568507031,19.39416739,45.72842227,6.266500548,127.1397723,11.39582517,16.82974775,617.0473108,60.94161611,6.868091078,0.811856875,27.50554815,0.01419095,0.022190259,0.073912797,0.254790732,0.095875453,0.326624311,0.228978244,1.682974775
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,59158.63636,1.378181818,0.014503756,0.344380365,0.051981964,0.055795805,11.87379362,0.227837807,0.380187383,0.226970927,0.002603879,0.054459871,0.371847574,1.464958768,71.62275358,10.74396415,96.52947583,0.149992787,0.015608514,0.053746921,0.036980631,0.02163951,1.247557354,0.085598336,0.049165843,0.077979597,0.008636091,0.075854802,0.148268635,0.140349347,1.02296919,0.301533844,0.002882752,1716.680373,5586.311354,354.6954517,38.81328375,15892.74003,1.543818014,5.784125479,42.10225675,35.80217711,6.037782671,94.40874214,8.138802933,13.84436494,574.2556523,64.02588147,1.783713254,0.081961578,5.384076861,0.018208205,0.017909738,0.101834918,0.124414396,0.042295483,1.478332239,0.19067742,1.384436494
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,54955.9,1.243,0.014295445,0.34180936,0.030193293,0.047552262,2.659322344,0.089636749,0.417349279,0.307464727,0.075564054,0.088378174,0.262018961,1.720274025,80.29331383,11.76823725,97.12272133,0.146557429,0.017747545,0.039107362,0.022855442,0.035640008,0.970336889,0.06821703,0.050302142,0.072935029,0.056293152,0.117492291,0.106599426,0.096010231,0.871861008,0.356120857,0.003832888,683.2265993,5350.125775,192.9637106,32.12024806,4238.013215,0.741821487,6.534750001,62.86286744,87.02811474,2.592646444,91.74775016,5.71655892,12.21081609,330.288126,88.24884284,2.274240107,0.26750503,41.30378848,0.012050585,0.055133377,0.567434644,1.036590908,0.02182641,0.40610632,0.108668636,1.221081609
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,64274.27273,1.433636364,0.01070358,0.350210518,0.063764088,0.070850222,24.24364799,0.279843591,0.30886799,0.250588167,0.138563258,0.024609755,0.410835675,1.249210385,60.6898201,9.556552278,96.63489126,0.157428366,0.01320022,0.041577461,0.04044899,0.032464775,1.751503539,0.099090975,0.064578533,0.058892021,0.078475631,0.035023514,0.147888876,0.11688972,1.473054585,0.357036907,0.002657515,1641.390095,5647.265231,401.5251511,37.52718028,3019.385269,1.001920559,9.469595678,77.32937965,126.1466188,6.954876946,100.7977844,10.71344504,16.79692387,595.6836327,93.13022455,5.219646629,0.316767608,15.63993365,0.002420104,0.030083547,0.189230748,1.544773235,0.093655521,1.025597866,0.348935486,1.679692387
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.972727,23972.81818,57889.27273,56954.27273,1.315454545,0.014309574,0.355368317,0.042709978,0.052679577,4.696272534,0.112193627,0.409866727,0.29189964,0.347581769,0.040522313,0.693548898,1.692504335,77.0627443,11.48889219,96.08472013,0.149073162,0.012927011,0.049214029,0.036078473,0.030921372,0.7331043,0.109905595,0.071691658,0.069206357,0.08507225,0.059761045,0.157278885,0.137388664,0.507476762,0.311106258,0.003382222,5412.77206,5488.24581,523.0275133,51.81193098,36760.73258,3.769043144,7.155451754,40.6484082,36.99629166,9.787053209,91.25190224,9.674570314,14.8081316,1133.053064,18.21293292,1.869875762,0.049962394,176.9107347,0.04959872,0.030710634,0.139015902,0.295665893,0.059603308,0.699750267,0.181126451,1.48081316
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,58460.58333,1.445,0.005751915,0.279848857,0.037659449,0.063610885,12.71692066,0.410734001,0.384895993,0.331957832,0.574120411,0.039753089,0.35606647,1.522393632,70.72256203,10.97483442,96.6738964,0.155222517,0.013480181,0.035819885,0.023453231,0.031675528,2.640670008,0.122053598,0.076381557,0.076832771,0.146022991,0.063643309,0.158999774,0.192817258,2.339060795,0.371953098,0.003991243,5594.694254,6436.237221,1149.476822,82.80022216,6074.810846,1.250579343,6.317256008,67.58862806,145.146567,20.81297886,121.0153008,58.14267286,16.33050513,1512.473246,74.4489504,20.0568356,1.100044802,90.83067827,0.003346293,0.021906999,0.371106986,1.516565475,0.274237825,1.039947828,6.463462839,1.633050513
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,54643.72727,1.340909091,0.041510773,0.546882315,0.142140066,0.083574789,10.19313919,0.17785967,0.402196726,0.280998178,0.197498547,0.034160811,0.624922102,1.542528693,72.32167307,11.10454418,96.55940441,0.153574041,0.054789287,0.073481393,0.113202929,0.03131752,4.81596172,0.100136136,0.058948364,0.113366105,0.13460977,0.056710759,0.123664365,0.228986479,3.874069441,0.599810081,0.003237462,2804.420041,5642.915643,253.7523195,42.83579617,49049.46764,16.76515491,16.20702482,58.21751812,148.0981288,4.260143181,85.39705279,5.057282645,15.40632226,585.0799774,47.45052762,4.53576382,0.699855742,602.4649613,0.107585917,0.031666011,0.419583377,0.616201008,0.051289903,1.57965392,0.115798204,1.540632226
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,57089.76471,1.348823529,0.025863756,0.388364061,0.09343199,0.092109411,9.652740901,0.163932491,0.391418476,0.224019204,0.120451108,0.084400211,0.538117127,1.415154292,73.49789501,11.20282716,96.88063995,0.152447822,0.018483026,0.055430758,0.06608403,0.026277773,0.651150857,0.10086487,0.062381843,0.078054339,0.08331571,0.084800459,0.186284945,0.177557445,0.674799268,0.304643781,0.004793828,21023.43508,6500.001765,1574.554031,219.4284939,51904.82693,14.16367715,12.29132094,34.00992075,148.2023206,43.16608535,121.2110164,16.90685979,18.59519446,4080.69295,157.0216455,8.965107785,1.571294805,633.5042142,0.137185591,0.371333453,0.690963856,1.199008089,0.550658986,1.417347214,0.392208159,1.859519446
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,23704.54545,59517.81818,58566.54545,1.359090909,0.043478043,0.399776839,0.100671193,0.058573928,11.67358588,0.237474012,0.409003355,0.271152668,0.183688553,0.052065326,0.564678345,1.518684392,71.14773511,11.12859843,96.59230413,0.156416456,0.044861385,0.075182603,0.065765447,0.025832067,1.372288803,0.077749076,0.045259431,0.058462944,0.080957452,0.054801502,0.195910058,0.193837202,1.278571796,0.264396023,0.00248921,1243.638909,6176.904031,227.5458294,41.17278862,34127.39087,6.771422937,8.534630865,31.39605337,72.11422012,2.564526013,95.32051892,5.156965844,14.38022471,437.7130837,61.73924486,2.628673775,0.168930879,180.3909133,0.061270999,0.135962996,0.356175262,0.027502016,0.044583218,1.284724348,0.162421667,1.438022471
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.454545,21510,58730.81818,57866,1.32,0.013867981,0.386310238,0.073421296,0.061427804,20.36816648,0.369922149,0.321552343,0.278091406,0.034965808,0.031829325,0.708292936,1.275025959,63.91181241,10.08367458,96.8681317,0.157757844,0.015639994,0.084189084,0.032720174,0.038016712,2.610892245,0.10010368,0.068238767,0.102250569,0.043795261,0.091037627,0.135716963,0.119821635,2.226179795,0.507364408,0.005194461,11337.75217,6093.055388,915.5577505,122.3868181,29114.97389,5.562421054,5.623618255,28.97367916,93.7163573,24.03856275,119.1548845,15.8979202,20.19056256,2616.583382,99.46457719,17.12303214,1.392426748,241.7735926,0.040340228,0.058556283,0.196486418,0.254401542,0.33159449,2.957478603,0.224859279,2.019056256
Bird Island,BI10,BI10.5,194,190.3,191.3,190.8,2903.109091,21500.09091,61427.81818,60598.36364,1.414545455,0.008282745,0.303655542,0.054449172,0.045212047,27.0211925,0.393057422,0.29545336,0.235336333,0.013045814,0.020381933,0.33597677,1.156502674,58.73670652,9.541209548,97.19490478,0.162441652,0.00849416,0.063162699,0.031391524,0.023318133,2.18156715,0.078789443,0.061504552,0.071173662,0.020694502,0.038396489,0.117554704,0.146026238,1.757435819,0.379358895,0.004380893,21256.47654,9697.311696,2196.956371,243.6402038,24845.10488,3.933228837,4.972003175,26.9304948,75.23867924,58.90663431,121.5336821,34.80855314,35.50400774,4637.824269,71.12002695,20.5861252,1.438405031,215.0112593,0.026102701,0.041494084,0.044764677,0.271229161,0.829134942,2.37450858,1.065068086,3.550400774
Bird Island,BI10,BI10.5,197,194,195,194.5,2954.418182,21368,63253.63636,62430.36364,1.329090909,0.009675766,0.339386918,0.059930359,0.042138294,30.11890548,0.31722389,0.313744934,0.230031859,0.057993414,0.059116282,0.403788751,1.028706752,55.97667292,8.998138827,96.9676683,0.160814896,0.011954827,0.068030034,0.024452285,0.030788302,3.061334876,0.127911478,0.03450425,0.087020908,0.046223079,0.064618631,0.148950742,0.188094393,2.652561857,0.389317973,0.003733565,4642.258304,7288.66125,660.9863166,67.78989286,27055.53366,5.752426608,6.761396788,46.72905914,130.7729603,12.67353344,118.8967341,12.27077458,15.3832195,1389.963814,112.260405,4.425975943,0.637151851,347.4235335,0.069152067,0.051811841,0.124522427,0.867339372,0.313961187,1.10170535,0.312493156,1.53832195
Bird Island,BI10,BI10.5,202,199.9,200.8,200.3,3041.911111,20677.77778,62829.77778,62055.22222,1.47,0.014731869,0.422019336,0.081236203,0.074978909,34.48172289,0.320334554,0.305388384,0.222455428,0.035965777,0.090266611,0.489609348,1.000365098,51.45896336,8.712562857,96.721458,0.169655698,0.009743915,0.065081331,0.028434875,0.025745155,6.324569465,0.066705118,0.029186323,0.060855461,0.022462084,0.085383421,0.069567273,0.198167379,5.38705897,0.737964311,0.004830661,2367.746797,5866.599826,234.8825033,42.2400533,70333.76898,6.816523388,10.88241106,68.09335946,90.27805952,2.553601126,85.79649547,5.275218799,16.86311015,501.3815099,19.40433341,3.049548028,0.50833131,854.1412459,0.051952222,0.042866217,0.816242088,0.945061034,0.066508029,1.323999276,0.119640341,1.686311015
Bird Island,BI10,BI10.6,218,209.5,210.5,210,3183,22777.27273,67689.90909,66835.81818,1.406363636,0.02468108,0.41399511,0.070907516,0.062124854,31.86470853,0.260749192,0.293822243,0.196403717,0.857845071,0.085356976,0.521477935,1.050901854,53.88144657,8.683013363,96.54857574,0.161179198,0.011290973,0.092161608,0.022254669,0.026656128,2.474642663,0.106512365,0.035161892,0.030536696,0.141218898,0.088518846,0.17825946,0.098936228,2.048953392,0.3832194,0.004940452,21467.56946,6764.508083,1293.229498,160.5283798,107255.388,11.84941346,9.702568502,34.46389212,255.5835815,25.70637949,111.2286921,16.62081972,20.94043551,3376.49462,155.9717551,27.32451171,4.267333565,1659.164889,0.182590959,0.102763012,0.171217055,0.192255063,0.437908223,1.368956728,0.226326755,2.094043551
Bird Island,BI10,BI10.6,228,221.4,222.4,221.9,3362.6,22133.63636,59188.27273,58322.09091,1.385454545,0.01986551,0.41198975,0.065005443,0.064748772,18.71209454,0.217682993,0.335675625,0.252892017,1.093759693,0.067710314,0.618068336,1.306874023,64.34868647,9.966703657,95.49417099,0.15488026,0.016166833,0.037438238,0.015140246,0.026123556,1.510614759,0.086244495,0.04641384,0.061460189,0.269568205,0.049951247,0.12542023,0.085285503,1.472353194,0.279477936,0.002108052,3810.216932,8457.047616,430.4165299,73.63658302,46161.88967,10.70451145,8.361148745,60.20244341,399.0691035,6.149324503,136.1592518,8.204676276,15.01857475,970.2818044,112.1937561,8.811078548,0.458479319,524.1315649,0.097700279,0.023794572,0.548086843,1.143493468,0.106149158,2.420949669,0.204151273,1.501857475
Bird Island,BI10,BI10.6,239,234.2,235.2,234.7,3550.090909,21143.36364,63280.36364,62452.36364,1.398181818,0.011968603,0.458570467,0.061095798,0.057516145,32.61009152,0.331798253,0.309899323,0.230226701,0.077953916,0.072212849,0.586648218,1.059288583,53.5252579,8.708408154,97.06687678,0.162813335,0.015958622,0.085223647,0.019994769,0.016384027,2.367429826,0.08884257,0.039839026,0.052481122,0.043591676,0.050111652,0.12275327,0.088698488,2.226196419,0.259727042,0.004598313,2179.747422,7198.222186,389.6638198,51.31483509,28337.51625,6.228678054,7.693387104,73.19734621,48.4428199,4.534790413,116.7915838,9.348601732,18.8198384,564.4911449,31.09232618,1.204776961,0.280653345,150.1728069,0.076630039,0.131022298,0.669512032,0.895210879,0.043240663,1.35786783,0.169618079,1.88198384
