Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_average_age,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.97,2329.89,23972.81818,57889.27273,1.315454545,0.00019479,0.0046132,0.000564224,0.000689248,0.060988348,0.001467033,0.005321989,0.003789236,0.004511608,0.000542948,0.009002764,0.021962523,0.149073162,0.149073162,0.000156591,0.000650247,0.000460657,0.000395028,0.009799351,0.001415238,0.000949257,0.000901908,0.001109438,0.00076302,0.002053908,0.001772478,0.003382222,0.003382222,5412.77206,5488.24581,523.0275133,51.81193098,36760.73258,3.769043144,7.155451754,40.6484082,36.99629166,9.787053209,91.25190224,9.674570314,1133.053064,18.21293292,1.869875762,0.049962394,176.9107347,0.04959872,0.030710634,0.139015902,0.295665893,0.059603308,0.699750267,0.181126451
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.41,2472.55,23105.16667,59388.66667,1.445,0.000101282,0.003965063,0.000538629,0.000903399,0.181083286,0.005837303,0.005440666,0.004703009,0.008134496,0.000580257,0.005072724,0.021533896,0.155222516,0.155222517,0.000178608,0.000550062,0.000321031,0.000442572,0.042767824,0.001749852,0.001062166,0.001136408,0.002124321,0.000880744,0.002299475,0.002664822,0.003991243,0.003991243,5594.694254,6436.237221,1149.476822,82.80022216,6074.810846,1.250579343,6.317256008,67.58862806,145.146567,20.81297886,121.0153008,58.14267286,1512.473246,74.4489504,20.0568356,1.100044802,90.83067827,0.003346293,0.021906999,0.371106986,1.516565475,0.274237825,1.039947828,6.463462839
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.27,2559.59,22003.36364,55622.63636,1.340909091,0.000570851,0.007572546,0.001947127,0.001159238,0.144729321,0.002469963,0.0055719,0.003884697,0.002709919,0.000476604,0.008642812,0.021326762,0.153574041,0.153574041,0.0007396,0.000997328,0.001525936,0.000453742,0.078035509,0.001364548,0.000851149,0.001513336,0.001763617,0.000745553,0.001682112,0.002881048,0.003237462,0.003237462,2804.420041,5642.915643,253.7523195,42.83579617,49049.46764,16.76515491,16.20702482,58.21751812,148.0981288,4.260143181,85.39705279,5.057282645,585.0799774,47.45052762,4.53576382,0.699855742,602.4649613,0.107585917,0.031666011,0.419583377,0.616201008,0.051289903,1.57965392,0.115798204
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.01,2585.58,23517.94118,58045.35294,1.348823529,0.000355181,0.005282863,0.001271983,0.001252616,0.131410262,0.002238132,0.005323645,0.0030483,0.001641567,0.001157351,0.007326955,0.019254472,0.152447822,0.152447822,0.000243073,0.000744354,0.000900645,0.000355356,0.009920883,0.001374977,0.000832249,0.001063677,0.00114328,0.001139392,0.002556675,0.002410477,0.004793828,0.004793828,21023.43508,6500.001765,1574.554031,219.4284939,51904.82693,14.16367715,12.29132094,34.00992075,148.2023206,43.16608535,121.2110164,16.90685979,4080.69295,157.0216455,8.965107785,1.571294805,633.5042142,0.137185591,0.371333453,0.690963856,1.199008089,0.550658986,1.417347214,0.392208159
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,2624.44,23704.54545,59517.81818,1.359090909,0.000619888,0.005632073,0.001427066,0.000821637,0.164416048,0.003341181,0.005750023,0.003811709,0.002585813,0.000748195,0.007975256,0.021359281,0.156416456,0.156416456,0.000634768,0.001126554,0.000933964,0.000359086,0.022182123,0.001096744,0.000639508,0.000818597,0.001144991,0.00076458,0.002890333,0.002795751,0.00248921,0.00248921,1243.638909,6176.904031,227.5458294,41.17278862,34127.39087,6.771422937,8.534630865,31.39605337,72.11422012,2.564526013,95.32051892,5.156965844,437.7130837,61.73924486,2.628673775,0.168930879,180.3909133,0.061270999,0.135962996,0.356175262,0.027502016,0.044583218,1.284724348,0.162421667
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.45,2730.21,21510,58730.81818,1.32,0.00022752,0.006048684,0.001145774,0.000976098,0.320331638,0.005819822,0.005043017,0.00435467,0.000570115,0.000497721,0.011095954,0.020003553,0.157757844,0.157757844,0.000232309,0.001320585,0.000501603,0.00058603,0.052115538,0.001703055,0.001112797,0.001580264,0.000663074,0.001347426,0.0021459,0.002334104,0.00519446,0.005194461,11337.75217,6093.055388,915.5577505,122.3868181,29114.97389,5.562421054,5.623618255,28.97367916,93.7163573,24.03856275,119.1548845,15.8979202,2616.583382,99.46457719,17.12303214,1.392426748,241.7735926,0.040340228,0.058556283,0.196486418,0.254401542,0.33159449,2.957478603,0.224859279
Bird Island,BI10,BI10.5,194,190.3,191.3,190.8,2903.11,2777.33,21500.09091,61427.81818,1.414545455,0.00015311,0.005176662,0.000927187,0.000773961,0.4614354,0.006695101,0.005033778,0.004001621,0.000243303,0.000378043,0.005741485,0.019675842,0.162441652,0.162441652,0.000133681,0.00109175,0.000512035,0.000405534,0.051440518,0.001313182,0.001040301,0.001207637,0.000332261,0.000663907,0.002075426,0.002295957,0.004380893,0.004380893,21256.47654,9697.311696,2196.956371,243.6402038,24845.10488,3.933228837,4.972003175,26.9304948,75.23867924,58.90663431,121.5336821,34.80855314,4637.824269,71.12002695,20.5861252,1.438405031,215.0112593,0.026102701,0.041494084,0.044764677,0.271229161,0.829134942,2.37450858,1.065068086
Bird Island,BI10,BI10.5,197,194,195,194.5,2954.42,2856.27,21368,63253.63636,1.329090909,0.000186476,0.006110838,0.001065365,0.000760319,0.541551596,0.005654447,0.005616695,0.004107668,0.001038824,0.001070809,0.007226812,0.018407758,0.160814896,0.160814896,0.000210807,0.001455578,0.000416191,0.000553944,0.081382061,0.002177985,0.000672926,0.001526407,0.000812506,0.001163745,0.002640483,0.00337625,0.003733565,0.003733565,4642.258304,7288.66125,660.9863166,67.78989286,27055.53366,5.752426608,6.761396788,46.72905914,130.7729603,12.67353344,118.8967341,12.27077458,1389.963814,112.260405,4.425975943,0.637151851,347.4235335,0.069152067,0.051811841,0.124522427,0.867339372,0.313961187,1.10170535,0.312493156
Bird Island,BI10,BI10.5,202,199.9,200.8,200.3,3041.91,2979.47,20677.77778,62829.77778,1.47,0.000289493,0.008353405,0.00160211,0.001444744,0.68864449,0.006340513,0.00596139,0.004344151,0.00069031,0.001847152,0.009573677,0.019365859,0.169655698,0.169655698,0.000174827,0.001800909,0.000587959,0.000417864,0.201655044,0.001774103,0.000568358,0.001148994,0.000379567,0.001726573,0.001518646,0.002361003,0.004830661,0.004830661,2367.746797,5866.599826,234.8825033,42.2400533,70333.76898,6.816523388,10.88241106,68.09335946,90.27805952,2.553601126,85.79649547,5.275218799,501.3815099,19.40433341,3.049548028,0.50833131,854.1412459,0.051952222,0.042866217,0.816242088,0.945061034,0.066508029,1.323999276,0.119640341
Bird Island,BI10,BI10.6,218,209.5,210.5,210,3183,3168.68,22777.27273,67689.90909,1.406363636,0.000461798,0.007734895,0.001319559,0.001160253,0.593663476,0.004831292,0.005455814,0.00365339,0.015961902,0.00157992,0.009694557,0.019490954,0.161179198,0.161179198,0.000216831,0.001922133,0.000426044,0.000510281,0.067190517,0.001942404,0.000658275,0.000609836,0.00280591,0.001598119,0.003345264,0.001566639,0.004940452,0.004940452,21467.56946,6764.508083,1293.229498,160.5283798,107255.388,11.84941346,9.702568502,34.46389212,255.5835815,25.70637949,111.2286921,16.62081972,3376.49462,155.9717551,27.32451171,4.267333565,1659.164889,0.182590959,0.102763012,0.171217055,0.192255063,0.437908223,1.368956728,0.226326755
