"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,331.363636363636,116.187153099878,95.32051892,1.284724348,119.267039882258,24.1955724509803,214.338507313536
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,409.818181818182,79.4919092509649,119.1548845,2.957478603,133.603025372856,38.5512785141165,228.654772231595
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,203.909090909091,73.9735825081556,121.5336821,2.37450858,95.9772928859459,0.85832112776319,191.096264644129
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,252.181818181818,92.715498361189,118.8967341,1.10170535,104.798159972281,9.69943166225057,199.896888282311
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,303.333333333333,45.453272709454,85.79649547,1.323999276,114.145067468661,19.0647945688162,209.225340368506
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,347.363636363636,113.030325777884,111.2286921,1.368956728,122.190717108614,27.1238606817028,217.257573535526
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,360.272727272727,72.5190883962159,136.1592518,2.420949669,124.549593052606,29.4862368557438,219.612949249468
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,367.090909090909,81.4241420531461,116.7915838,1.35786783,125.795478234292,30.7338914461692,220.857065022414
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,193.416666666667,53.556186864966,95.07661499,0.69914278,94.0600140230184,-1.06372076939014,189.183748815427
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,309.4,84.4290629266171,101.292967,0.811859205,115.253628416988,20.1753398371732,210.331916996803
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,179.909090909091,62.3561617572066,119.6977813,1.823339563,91.591777046412,-3.53828028366736,186.721834376491
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,298,113.489206535247,99.83622626,1.333664845,113.170508393209,18.0884552066325,208.252561579786
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,230.916666666667,85.6880795075778,110.4667193,1.25507819,100.91238252229,5.80507469719272,196.019690347387
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,320.909090909091,67.937404344668,95.05242503,0.168162163,117.356682603674,22.2820392691991,212.431325938148
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,541.9,71.3168984182571,109.9097917,0.96047458,157.738313112472,62.7033634715512,252.773262753394
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,412,90.1927229477372,92.99111859,0.763475857,134.001708630995,38.9504064483847,229.053010813606
