"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.00369590584670087,0.00143381642167663,49.70613596,0.602315252,28.2372120682317,-9.99048927123467,66.464913407698
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.00651403840104775,0.00188809222766944,80.36054861,0.943852418,61.9670023698465,23.5622980154918,100.371706724201
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.00622264068090211,0.00139832469334739,78.52750915,0.406648955,58.4793083720178,20.110225370131,96.8483913739047
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.00417893319910796,0.00129059427370343,51.06064778,0.387827921,34.0184913347108,-4.21292481797769,72.2499074873992
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.00330658544840117,0.0013528547368021,50.54112884,0.613078987,23.5774967633093,-14.6552475216719,61.8102410482906
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.00377024882975564,0.00097223435671229,35.29243706,0.37314492,29.1270116715066,-9.10054239976514,67.3545657427783
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.00541326687792053,0.00165767828952554,54.25753022,0.451401204,48.7920391880046,10.5010145261736,87.0830638498355
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.00617621901010761,0.0014989586666756,93.06939632,0.991321257,57.9236946132066,19.5599195718427,96.2874696545704
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.00471638764975269,0.00122801768280244,61.1989585,0.484100081,40.4512000761623,2.20267581906018,78.6997243332644
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.00475073207107786,0.00139634472420308,84.15061701,1.054966543,40.8622631141807,2.61218138560869,79.1123448427526
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.00591417237922067,0.00133787114809919,69.48540749,0.847400448,54.7872992383944,16.4515933293339,93.1230051474549
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.00402408611480323,0.00155288539017441,96.04739856,0.836309314,32.1651506625842,-6.06387204809099,70.3941733732594
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.00560413999976656,0.00166181021568792,74.97636554,0.220258,51.0765699011361,12.7699106059379,89.3832291963342
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.00483840447899048,0.00131841938533159,55.15725169,0.118938531,41.9116005307507,3.6572902749823,80.1659107865191
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.00484695633575589,0.00104114794512255,94.26813549,0.602079612,42.0139563744962,3.75921421818532,80.268698530807
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.0029767126039971,0.00078203175712485,19.4548787,0.169805204,19.6292999864103,-18.613329521584,57.8719294944047
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.00459437948739056,0.00121742433229232,71.22393581,1.506837827,38.9909033540609,0.747461230033245,77.2343454780885
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.0063386308971088,0.00083166480207623,87.44578681,0.43151217,59.8675772324219,21.4847908223091,98.2503636425347
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.00528399280129642,0.00142573670287769,55.06983208,0.437392273,47.2447778680073,8.96336771576676,85.5261880202478
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.00546769431093493,0.00101011249112253,79.709217,0.911979751,49.443472669868,11.148164588258,87.738780751478
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.00529496445336256,0.00102218856732277,49.32777324,0.323555772,47.3760958654103,9.09390029827629,85.6582914325444
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.00447535035422318,0.00117807736241732,49.65090616,0.322927713,37.5662621691294,-0.672900054970313,75.8054243932291
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.00505472637025509,0.00088903770359399,67.64965696,0.958600155,44.5007236075731,6.23442716821953,82.7670200469267
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.00391661462254658,0.00104172219745923,30.41424683,0.119474831,30.8788410844109,-7.34918756262563,69.1068697314474
