"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.5593615671636,-0.02796807835818,-1.08875874826682,-0.0544379374133409,-0.798721804400909,-1.84819531857476,0.250751709772947,-0.945410485348749,-2.44692377408896,0.55610280339146
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.935864416896952,-0.0467932208448476,-0.501829499903645,-0.0250914749951823,-0.869118797105638,-1.91762145724233,0.179383863031059,-0.997433549007439,-2.43525912942968,0.440392031414799
"Bird Island","BI10","BI10.3",95,93,94,93.5,-3.28180980875907,-0.164090490437954,-0.530321057526555,-0.0265160528763277,-1.3077542569795,-2.35344917558119,-0.262059338377817,-1.3215831976677,-2.36348418551246,-0.279682209822948
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-2.62907499707807,-0.131453749853903,-0.874900624940047,-0.0437450312470024,-1.18570851998555,-2.2316220987195,-0.139794941251598,-1.23139194231765,-2.38325044487297,-0.0795334397623326
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-1.67215352178579,-0.0836076760892897,-0.462279231238962,-0.0231139615619481,-1.00678718071054,-2.05380600007413,0.0402316386530461,-1.09916987053053,-2.41253992390329,0.214200182842231
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-4.10800715272108,-0.205400357636054,-0.857796409816268,-0.0428898204908134,-1.46223332250783,-2.50827447242542,-0.416192172590236,-1.43574253816145,-2.33882480727112,-0.532660269051787
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.823584702431988,-0.0411792351215994,0.333205891113354,0.0166602945556677,-0.848125186444584,-1.89690238256442,0.200652009675249,-0.981919364354316,-2.43873472098825,0.474895992279613
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-0.470683163868639,-0.0235341581934319,0.334532170981399,0.0167266085490699,-0.782141072238474,-1.83186407792856,0.267581933451615,-0.93315739822595,-2.44967518822834,0.583360391776442
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.463340348341315,0.0231670174170658,-1.18926388153614,-0.0594631940768072,-0.607501102257751,-1.66033225101449,0.445330046498991,-0.804099239253648,-2.47873493098287,0.870536452475571
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.884796990036864,0.0442398495018432,-0.0828511002206056,-0.00414255501103028,-0.528698829839857,-1.58321837261606,0.525820712936351,-0.74586471137203,-2.49188856905498,1.00015914631092
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.388260048178224,-0.0194130024089112,0.093235247557558,0.0046617623778779,-0.766729928662619,-1.8166919361107,0.283232078785466,-0.92176863185261,-2.45223381114984,0.608696547444619
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.764827665636003,-0.0382413832818002,-0.619586956009441,-0.0309793478004721,-0.83713903137668,-1.88606497502354,0.211786912270184,-0.97380064475419,-2.44055457432989,0.492953284821514
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.43293025548521,-0.0216465127742605,-0.251623598370358,-0.0125811799185179,-0.7750821848544,-1.82491381257099,0.274749442862186,-0.927940911929704,-2.45084698223014,0.594965158370728
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.85829911176481,-0.0929149555882405,-0.629099535708045,-0.0314549767854023,-1.04159193650203,-2.08832276090328,0.00513888789921313,-1.12489042984136,-2.40681877392653,0.157037914243812
