"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-1.22493568255779,-0.0612467841278895,-2.75642304857421,-0.13782115242871,-3.14115618829112,-4.58404086998647,-1.69827150659577,-3.14264478527348,-4.59061628521408,-1.69467328533288
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-0.237835938461829,-0.0118917969230915,-3.36836263878996,-0.168418131939498,-2.5762763528719,-4.02222917588447,-1.13032352985934,-2.56981644423219,-3.98785763335871,-1.15177525510567
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-1.51403337152115,-0.0757016685760577,-2.91775016307538,-0.145887508153769,-3.30659585731997,-4.75040435765236,-1.86278735698758,-3.31041237974229,-4.76903750924646,-1.85178725023811
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-0.281206743334203,-0.0140603371667101,-2.34028931716696,-0.117014465858348,-2.60109582351288,-4.04671205939614,-1.15547958762962,-2.59498515322362,-4.01412631187797,-1.17584399456927
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.437980137323669,-0.0218990068661834,-2.45661290726915,-0.122830645363458,-2.69081130517982,-4.13536514128701,-1.24625746907263,-2.68596303437042,-4.10924775712038,-1.26267831162045
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-0.176185758187633,-0.00880928790938165,-2.3706731366696,-0.11853365683348,-2.540996287311,-3.98745934728275,-1.09453322733926,-2.53403994778126,-3.95055228862158,-1.11752760694093
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-0.71412608398414,-0.035706304199207,-2.33982081379574,-0.116991040689787,-2.84883918213375,-4.29211064720422,-1.40556771706327,-2.84621454436921,-4.27743024386904,-1.41499884486937
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-1.20735586066462,-0.060367793033231,-2.27474446952592,-0.113737223476296,-3.13109592137573,-4.57395105676433,-1.68824078598713,-3.1324429588916,-4.57979358506013,-1.68509233272307
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-0.600939850152119,-0.030046992507606,-2.23857123925707,-0.111928561962854,-2.78406698305136,-4.22777308628654,-1.34036087981619,-2.78053092633313,-4.20839893719108,-1.35266291547518
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-0.096834085658962,-0.0048417042829481,-2.93302844769589,-0.146651422384794,-2.49558632749049,-3.94276100459547,-1.04841165038552,-2.48799101786781,-3.90259573249809,-1.07338630323754
