Site,Site_Section,ID_Sample_No.,Core_section,Sample_ID,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3
HER42PB,HER42PB1A,HER42PB1A_1,A,1,2.1,1.5,1,0,1,0.5,0,1,0.5,4.1761,1.8575,2.3186,0.7099,NA,76.6,23.4,NA,NA,2.5,1.19,0.28
HER42PB,HER42PB1A,HER42PB1A_2,A,2,2.2,2.5,1.1,1.21,2.31,1.76,1.21,2.31,1.76,6.6902,2.3847,4.3055,1.2371,NA,77.7,22.3,NA,NA,4.8,1.16,0.26
HER42PB,HER42PB1A,HER42PB1A_3,A,3,2.4,2.3,1.2,2.52,3.72,3.12,2.52,3.72,3.12,7.2317,2.3962,4.8355,1.2486,NA,79.5,20.5,NA,NA,5.1,1.19,0.25
HER42PB,HER42PB1A,HER42PB1A_4,A,4,2.5,2.6,1.2,3.92,5.12,4.52,3.92,5.12,4.52,7.6345,2.6223,5.0122,1.4747,NA,77.3,22.7,NA,NA,5.9,1.1,0.25
HER42PB,HER42PB1A,HER42PB1A_5,A,5,2.7,2.3,1.2,5.33,6.53,5.93,5.33,6.53,5.93,8.4731,3.2295,5.2436,2.0819,NA,71.6,28.4,NA,NA,5.8,1.27,0.36
HER42PB,HER42PB1A,HER42PB1A_6,A,6,2.1,2.7,1.2,6.74,7.94,7.34,6.74,7.94,7.34,7.9727,3.2161,4.7566,2.0685,NA,69.7,30.3,NA,NA,5.4,1.26,0.38
HER42PB,HER42PB1A,HER42PB1A_7,A,7,2.2,2.6,1.2,8.15,9.3,8.72,8.15,9.3,8.72,8.6255,6.4113,2.2142,5.2637,NA,29.6,70.4,NA,NA,5.2,1.44,1.01
HER42PB,HER42PB1A,HER42PB1A_8,A,8,2.8,2.1,1.2,9.5,10.7,10.1,9.5,10.7,10.1,7.7589,3.2228,4.5361,2.0752,NA,68.6,31.4,NA,NA,5.7,1.17,0.37
HER42PB,HER42PB1A,HER42PB1A_9,A,9,2.8,2.2,1.2,10.91,12.11,11.51,10.91,12.11,11.51,8.0985,2.8334,5.2651,1.6858,NA,75.7,24.3,NA,NA,5.8,1.2,0.29
HER42PB,HER42PB1A,HER42PB1A_10,A,10,2.7,2.3,1.1,12.32,13.42,12.87,12.32,13.42,12.87,8.2046,3.1004,5.1042,1.9528,NA,72.3,27.7,NA,NA,5.4,1.31,0.36
HER42PB,HER42PB1A,HER42PB1A_11,A,11,2.7,2.2,1.1,13.63,14.73,14.18,13.63,14.73,14.18,7.7239,3.2141,4.5098,2.0665,NA,68.6,31.4,NA,NA,5.2,1.27,0.4
HER42PB,HER42PB1A,HER42PB1A_12,A,12,2.5,2.1,1.2,14.94,16.14,15.54,14.94,16.14,15.54,8.1105,3.1547,4.9558,2.0071,NA,71.2,28.8,NA,NA,5,1.4,0.4
HER42PB,HER42PB1A,HER42PB1A_13,A,13,2.5,2.2,1.2,16.34,17.54,16.94,16.34,17.54,16.94,7.5396,2.9431,4.5965,1.7955,NA,71.9,28.1,NA,NA,5.2,1.23,0.35
HER42PB,HER42PB1A,HER42PB1A_14,A,14,2.6,2.2,1.2,17.75,18.95,18.35,17.75,18.95,18.35,7.9927,2.8803,5.1124,1.7327,NA,74.7,25.3,NA,NA,5.3,1.29,0.33
HER42PB,HER42PB1A,HER42PB1A_15,A,15,2.5,2.1,1.2,19.16,20.31,19.73,19.16,20.31,19.73,7.6837,3.0596,4.6241,1.912,NA,70.7,29.3,NA,NA,4.7,1.4,0.41
HER42PB,HER42PB1A,HER42PB1A_16,A,16,2.1,2.2,1.1,20.52,21.64,21.08,20.52,21.64,21.08,8.4329,3.5419,4.891,2.3943,NA,67.1,32.9,NA,NA,4,1.84,0.6
HER42PB,HER42PB1A,HER42PB1A_17,A,17,2.5,2.1,1.2,21.84,23.04,22.44,21.84,23.04,22.44,8.4495,3.5275,4.922,2.3799,NA,67.4,32.6,NA,NA,5,1.47,0.48
HER42PB,HER42PB1A,HER42PB1A_18,A,18,2.4,2.2,1.2,23.25,24.45,23.85,23.25,24.45,23.85,8.3395,3.5202,4.8193,2.3726,NA,67,33,NA,NA,4.9,1.48,0.49
HER42PB,HER42PB1A,HER42PB1A_19,A,19,2.5,2.1,1.2,24.66,25.86,25.26,24.66,25.86,25.26,8.0766,3.242,4.8346,2.0944,NA,69.8,30.2,NA,NA,4.8,1.45,0.44
HER42PB,HER42PB1A,HER42PB1A_20,A,20,2.3,2.1,1.3,26.07,27.32,26.69,26.07,27.32,26.69,7.701,3.2106,4.4904,2.063,NA,68.5,31.5,NA,NA,4.7,1.38,0.43
HER42PB,HER42PB1A,HER42PB1A_21,A,21,2.3,2.1,1.2,27.53,28.73,28.13,27.53,28.73,28.13,7.5656,3.2391,4.3265,2.0915,NA,67.4,32.6,NA,NA,4.5,1.44,0.47
HER42PB,HER42PB1A,HER42PB1A_22,A,22,2.4,2.1,1.1,28.93,30.03,29.48,28.93,30.03,29.48,7.7953,3.5581,4.2372,2.4105,NA,63.7,36.3,NA,NA,4.3,1.56,0.56
HER42PB,HER42PB1A,HER42PB1A_23,A,23,2.4,2.1,1.2,30.24,31.44,30.84,30.24,31.44,30.84,8.1833,3.7684,4.4149,2.6208,NA,62.8,37.2,NA,NA,4.7,1.51,0.56
HER42PB,HER42PB1A,HER42PB1A_24,A,24,2.3,2.2,1.2,31.65,32.85,32.25,31.65,32.85,32.25,8.2321,3.9808,4.2513,2.8332,NA,60,40,NA,NA,4.8,1.49,0.59
HER42PB,HER42PB1A,HER42PB1A_25,A,25,2.3,2.1,1.1,33.06,34.11,33.58,33.06,34.11,33.58,8.753,4.2258,4.5272,3.0782,NA,59.5,40.5,NA,NA,4,1.91,0.77
HER42PB,HER42PB1A,HER42PB1A_26,A,26,2.2,2.2,1.2,34.31,35.51,34.91,34.31,35.51,34.91,8.7449,4.265,4.4799,3.1174,NA,59,41,NA,NA,4.6,1.67,0.68
HER42PB,HER42PB1A,HER42PB1A_27,A,27,2.3,2.1,1.2,35.72,36.92,36.32,35.72,36.92,36.32,8.3165,4.0226,4.2939,2.875,NA,59.9,40.1,NA,NA,4.5,1.61,0.65
HER42PB,HER42PB1A,HER42PB1A_28,A,28,2.2,2.1,1.1,37.13,38.23,37.68,37.13,38.23,37.68,7.3726,3.4396,3.933,2.292,NA,63.2,36.8,NA,NA,3.9,1.6,0.59
HER42PB,HER42PB1A,HER42PB1A_29,A,29,2.3,2.1,1.2,38.44,39.59,39.01,38.44,39.59,39.01,7.7604,3.9721,3.7883,2.8245,NA,57.3,42.7,NA,NA,4.3,1.55,0.66
HER42PB,HER42PB1A,HER42PB1A_30,A,30,2.1,2.1,1.2,39.8,40.95,40.37,39.8,40.95,40.37,7.3094,3.5679,3.7415,2.4203,NA,60.7,39.3,NA,NA,3.9,1.59,0.62
HER42PB,HER42PB1A,HER42PB1A_31,A,31,2.1,2.1,1.1,41.15,42.25,41.7,41.15,42.25,41.7,7.6669,3.8449,3.822,2.6973,NA,58.6,41.4,NA,NA,3.6,1.8,0.74
HER42PB,HER42PB1A,HER42PB1A_32,A,32,2.1,2.2,1.2,42.46,43.66,43.06,42.46,43.66,43.06,7.3429,2.8962,4.4467,1.7486,NA,71.8,28.2,NA,NA,4.2,1.49,0.42
HER42PB,HER42PB1A,HER42PB1A_33,A,33,2.1,2.3,1.2,43.87,45.02,44.44,43.87,45.02,44.44,7.2577,2.778,4.4797,1.6304,NA,73.3,26.7,NA,NA,4.2,1.46,0.39
HER42PB,HER42PB1A,HER42PB1A_34,A,34,2,2.1,1.2,45.23,46.38,45.8,45.23,46.38,45.8,6.682,2.4898,4.1922,1.3422,NA,75.7,24.3,NA,NA,3.7,1.5,0.36
HER42PB,HER42PB1A,HER42PB1A_35,A,35,2.1,2.1,1.1,46.58,47.68,47.13,46.58,47.68,47.13,6.7618,2.7192,4.0426,1.5716,NA,72,28,NA,NA,3.6,1.55,0.43
HER42PB,HER42PB1A,HER42PB1A_36,A,36,1.9,2,1,47.89,48.89,48.39,47.89,48.89,48.39,6.4701,2.6206,3.8495,1.473,NA,72.3,27.7,NA,NA,2.9,1.83,0.51
HER42PB,HER42PB1A,HER42PB1A_37,A,37,2,2,0.9,49.1,50,49.55,49.1,50,49.55,5.1421,2.1851,2.957,1.0375,NA,74,26,NA,NA,2.8,1.41,0.37
HER42PB,HER42PB1B,HER42PB1B_38,B,38,1.6,2.2,1.6,40,41.6,40.8,40,41.6,40.8,4.7108,2.2652,2.4456,1.1176,NA,68.6,31.4,NA,NA,4.3,0.83,0.26
HER42PB,HER42PB1B,HER42PB1B_39,B,39,1.9,2,1.1,41.81,42.91,42.36,41.81,42.91,42.36,6.031,2.3666,3.6644,1.219,NA,75,25,NA,NA,3.3,1.49,0.37
HER42PB,HER42PB1B,HER42PB1B_40,B,40,1.7,2.3,1.1,43.11,44.21,43.66,43.11,44.21,43.66,6.0227,2.4511,3.5716,1.3035,NA,73.3,26.7,NA,NA,3.5,1.41,0.38
HER42PB,HER42PB1B,HER42PB1B_41,B,41,2.1,2.1,1.1,44.42,45.52,44.97,44.42,45.52,44.97,6.5585,2.7039,3.8546,1.5563,NA,71.2,28.8,NA,NA,3.7,1.46,0.42
HER42PB,HER42PB1B,HER42PB1B_42,B,42,2.1,2,1.2,45.72,46.87,46.3,45.72,46.87,46.3,7.1204,2.9192,4.2012,1.7716,NA,70.3,29.7,NA,NA,3.7,1.61,0.48
HER42PB,HER42PB1B,HER42PB1B_43,B,43,2.1,2.2,1.1,47.08,48.18,47.63,47.08,48.18,47.63,7.0745,2.8174,4.2571,1.6698,NA,71.8,28.2,NA,NA,4,1.48,0.42
HER42PB,HER42PB1B,HER42PB1B_44,B,44,2.2,2.3,1.2,48.38,49.58,48.98,48.38,49.58,48.98,7.6652,2.8266,4.8386,1.679,NA,74.2,25.8,NA,NA,4.7,1.4,0.36
HER42PB,HER42PB1B,HER42PB1B_45,B,45,2.1,2.1,1.2,49.79,50.99,50.39,49.79,50.99,50.39,7.3351,2.5991,4.736,1.4515,NA,76.5,23.5,NA,NA,4,1.56,0.37
HER42PB,HER42PB1B,HER42PB1B_46,B,46,2.3,2.1,1.2,51.19,52.39,51.79,51.19,52.39,51.79,7.751,2.8612,4.8898,1.7136,NA,74.1,25.9,NA,NA,4.6,1.45,0.38
HER42PB,HER42PB1B,HER42PB1B_47,B,47,2.2,2.2,1.2,52.6,53.75,53.18,52.6,53.75,53.18,7.5294,2.766,4.7634,1.6184,NA,74.6,25.4,NA,NA,4.3,1.49,0.38
HER42PB,HER42PB1B,HER42PB1B_48,B,48,2.1,2.1,1.2,53.96,55.11,54.53,53.96,55.11,54.53,7.2276,2.6249,4.6027,1.4773,NA,75.7,24.3,NA,NA,4,1.53,0.37
HER42PB,HER42PB1B,HER42PB1B_49,B,49,2.2,2.1,1.2,55.31,56.46,55.89,55.31,56.46,55.89,7.8671,2.9532,4.9139,1.8056,NA,73.1,26.9,NA,NA,4.1,1.65,0.44
HER42PB,HER42PB1B,HER42PB1B_50,B,50,2.2,2.1,1.2,56.67,57.82,57.24,56.67,57.82,57.24,7.9596,3.2601,4.6995,2.1125,NA,69,31,NA,NA,4,1.71,0.53
HER42PB,HER42PB1B,HER42PB1B_51,B,51,2.2,2.1,1.1,58.02,59.12,58.57,58.02,59.12,58.57,7.7332,2.9452,4.788,1.7976,NA,72.7,27.3,NA,NA,3.9,1.69,0.46
HER42PB,HER42PB1B,HER42PB1B_52,B,52,2.2,2.1,1.1,59.33,60.43,59.88,59.33,60.43,59.88,7.8707,2.8452,5.0255,1.6976,NA,74.8,25.2,NA,NA,3.9,1.72,0.44
HER42PB,HER42PB1B,HER42PB1B_53,B,53,2.1,2.1,1.1,60.63,61.73,61.18,60.63,61.73,61.18,7.6072,2.7906,4.8166,1.643,NA,74.6,25.4,NA,NA,3.7,1.74,0.44
HER42PB,HER42PB1B,HER42PB1B_54,B,54,2.2,2.2,1.2,61.94,63.14,62.54,61.94,63.14,62.54,8.2725,3.0913,5.1812,1.9437,NA,72.7,27.3,NA,NA,4.5,1.6,0.44
HER42PB,HER42PB1B,HER42PB1B_55,B,55,2.2,2,1.1,63.34,64.44,63.89,63.34,64.44,63.89,6.9412,2.4824,4.4588,1.3348,NA,77,23,NA,NA,3.8,1.52,0.35
HER42PB,HER42PB1B,HER42PB1B_56,B,56,2,2.3,1.1,64.65,65.75,65.2,64.65,65.75,65.2,7.1786,2.3474,4.8312,1.1998,NA,80.1,19.9,NA,NA,3.8,1.58,0.32
HER42PB,HER42PB1B,HER42PB1B_57,B,57,2.1,2.1,1.1,65.96,67.06,66.51,65.96,67.06,66.51,7.5427,2.7458,4.7969,1.5982,NA,75,25,NA,NA,3.6,1.76,0.44
HER42PB,HER42PB1B,HER42PB1B_58,B,58,2.1,2.2,1.1,67.26,68.31,67.79,67.26,68.31,67.79,7.1545,2.704,4.4505,1.5564,NA,74.1,25.9,NA,NA,3.8,1.58,0.41
HER42PB,HER42PB1B,HER42PB1B_59,B,59,2.2,2.2,1.2,68.52,69.67,69.09,68.52,69.67,69.09,8.0565,2.9897,5.0668,1.8421,NA,73.3,26.7,NA,NA,4.3,1.62,0.43
HER42PB,HER42PB1B,HER42PB1B_60,B,60,2.2,2.1,1.1,69.87,70.92,70.4,69.87,70.92,70.4,7.754,3.1857,4.5683,2.0381,NA,69.1,30.9,NA,NA,3.7,1.77,0.55
HER42PB,HER42PB1B,HER42PB1B_61,B,61,2.2,2.2,1.1,71.13,72.23,71.68,71.13,72.23,71.68,7.8203,3.1071,4.7132,1.9595,NA,70.6,29.4,NA,NA,4.1,1.63,0.48
HER42PB,HER42PB1B,HER42PB1B_62,B,62,2.1,2.1,1.1,72.43,73.48,72.96,72.43,73.48,72.96,7.4977,2.9865,4.5112,1.8389,NA,71,29,NA,NA,3.6,1.75,0.51
HER42PB,HER42PB1B,HER42PB1B_63,B,63,2.2,2.1,1.2,73.69,74.84,74.26,73.69,74.84,74.26,7.2075,2.7871,4.4204,1.6395,NA,72.9,27.1,NA,NA,4.1,1.49,0.4
HER42PB,HER42PB1B,HER42PB1B_64,B,64,2.2,2,1,75.04,76.04,75.54,75.04,76.04,75.54,7.2623,2.9707,4.2916,1.8231,NA,70.2,29.8,NA,NA,3.5,1.77,0.53
HER42PB,HER42PB1B,HER42PB1B_65,B,65,2.2,2.1,1.1,76.25,77.35,76.8,76.25,77.35,76.8,7.1291,3.0757,4.0534,1.9281,NA,67.8,32.2,NA,NA,3.8,1.57,0.51
HER42PB,HER42PB1B,HER42PB1B_66,B,66,2.1,2,1.1,77.56,78.61,78.08,77.56,78.61,78.08,7.4965,3.3537,4.1428,2.2061,NA,65.3,34.7,NA,NA,3.5,1.83,0.64
HER42PB,HER42PB1B,HER42PB1B_67,B,67,2.1,1.9,1.1,78.81,79.91,79.36,78.81,79.91,79.36,6.7795,3.0251,3.7544,1.8775,NA,66.7,33.3,NA,NA,3.5,1.63,0.54
HER42PB,HER42PB1B,HER42PB1B_68,B,68,2.2,2,1.2,80.12,81.27,80.69,80.12,81.27,80.69,7.9915,3.8703,4.1212,2.7227,NA,60.2,39.8,NA,NA,3.9,1.76,0.7
HER42PB,HER42PB1B,HER42PB1B_69,B,69,2.1,2.1,1.1,81.47,82.52,82,81.47,82.52,82,7.7294,4.0376,3.6918,2.89,NA,56.1,43.9,NA,NA,3.6,1.81,0.8
HER42PB,HER42PB1B,HER42PB1B_70,B,70,2.2,2.1,1.1,82.73,83.83,83.28,82.73,83.83,83.28,8.0513,4.4399,3.6114,3.2923,NA,52.3,47.7,NA,NA,3.8,1.81,0.86
HER42PB,HER42PB1B,HER42PB1B_71,B,71,2.2,2.2,1.1,84.03,85.13,84.58,84.03,85.13,84.58,7.7963,4.0457,3.7506,2.8981,NA,56.4,43.6,NA,NA,4.1,1.63,0.71
HER42PB,HER42PB1B,HER42PB1B_72,B,72,2.2,2.1,1.1,85.34,86.44,85.89,85.34,86.44,85.89,8.0437,4.1009,3.9428,2.9533,NA,57.2,42.8,NA,NA,3.9,1.77,0.76
HER42PB,HER42PB1B,HER42PB1B_73,B,73,2.2,2,1.2,86.64,87.79,87.22,86.64,87.79,87.22,7.2826,3.2148,4.0678,2.0672,NA,66.3,33.7,NA,NA,4,1.54,0.52
HER42PB,HER42PB1B,HER42PB1B_74,B,74,2.3,2.2,2,88,90,89,88,90,89,12.615,4.812,7.803,3.6644,NA,68,32,NA,NA,7.8,1.48,0.47
HER42PB,HER42PB1C,HER42PB1C_75,C,75,2,2.2,1.1,80,81.1,80.55,80,81.1,80.55,5.4436,2.4018,3.0418,1.2542,NA,70.8,29.2,NA,NA,3.6,1.18,0.35
HER42PB,HER42PB1C,HER42PB1C_76,C,76,2.1,2.3,1.1,81.26,82.36,81.81,81.26,82.36,81.81,6.7858,2.9463,3.8395,1.7987,NA,68.1,31.9,NA,NA,4,1.41,0.45
HER42PB,HER42PB1C,HER42PB1C_77,C,77,2.3,2.1,1.2,82.52,83.72,83.12,82.52,83.72,83.12,7.3739,3.5878,3.7861,2.4402,NA,60.8,39.2,NA,NA,4.5,1.4,0.55
HER42PB,HER42PB1C,HER42PB1C_78,C,78,2.3,2.3,1.2,83.88,85.03,84.45,83.88,85.03,84.45,7.8095,3.9562,3.8533,2.8086,NA,57.8,42.2,NA,NA,4.7,1.43,0.6
HER42PB,HER42PB1C,HER42PB1C_79,C,79,2.5,2.4,1.2,85.18,86.38,85.78,85.18,86.38,85.78,8.7439,4.6198,4.1241,3.4722,NA,54.3,45.7,NA,NA,5.4,1.4,0.64
HER42PB,HER42PB1C,HER42PB1C_80,C,80,2.4,2.1,1.3,86.54,87.79,87.17,86.54,87.79,87.17,7.8846,4.6198,3.2648,3.4722,NA,48.5,51.5,NA,NA,5,1.36,0.7
HER42PB,HER42PB1C,HER42PB1C_81,C,81,2.5,2.4,1.3,87.95,89.25,88.6,87.95,89.25,88.6,8.0081,3.4167,4.5914,2.2691,NA,66.9,33.1,NA,NA,6,1.14,0.38
HER42PB,HER42PB1C,HER42PB1C_82,C,82,2.4,2.3,1.2,89.41,90.61,90.01,89.41,90.61,90.01,7.3806,2.8392,4.5414,1.6916,NA,72.9,27.1,NA,NA,5.1,1.22,0.33
HER42PB,HER42PB1C,HER42PB1C_83,C,83,2.4,2.2,1.2,90.77,91.97,91.37,90.77,91.97,91.37,7.3727,2.6994,4.6733,1.5518,NA,75.1,24.9,NA,NA,5,1.25,0.31
HER42PB,HER42PB1C,HER42PB1C_84,C,84,2.4,2.3,1.2,92.13,93.33,92.73,92.13,93.33,92.73,7.4288,2.777,4.6518,1.6294,NA,74.1,25.9,NA,NA,5.1,1.23,0.32
HER42PB,HER42PB1C,HER42PB1C_85,C,85,2.3,2.2,1.2,93.48,94.63,94.06,93.48,94.63,94.06,6.8537,2.4742,4.3795,1.3266,NA,76.8,23.2,NA,NA,4.6,1.25,0.29
HER42PB,HER42PB1C,HER42PB1C_86,C,86,2.4,2.2,1.3,94.79,96.04,95.42,94.79,96.04,95.42,7.0295,2.4859,4.5436,1.3383,NA,77.2,22.8,NA,NA,5,1.18,0.27
HER42PB,HER42PB1C,HER42PB1C_87,C,87,2.3,2.2,1.2,96.2,97.4,96.8,96.2,97.4,96.8,6.9388,2.635,4.3038,1.4874,NA,74.3,25.7,NA,NA,4.7,1.24,0.32
HER42PB,HER42PB1C,HER42PB1C_88,C,88,2.2,2.3,1.1,97.56,98.66,98.11,97.56,98.66,98.11,7.1141,2.8217,4.2924,1.6741,NA,71.9,28.1,NA,NA,4.4,1.36,0.38
HER42PB,HER42PB1C,HER42PB1C_89,C,89,2.3,2.3,1.2,98.82,100.02,99.42,98.82,100.02,99.42,7.1264,2.7218,4.4046,1.5742,NA,73.7,26.3,NA,NA,5,1.2,0.32
HER42PB,HER42PB1C,HER42PB1C_90,C,90,2.1,2.3,1.3,100.18,101.43,100.8,100.18,101.43,100.8,7.3873,2.9595,4.4278,1.8119,NA,71,29,NA,NA,4.6,1.34,0.39
HER42PB,HER42PB1C,HER42PB1C_91,C,91,2.3,2.1,1.5,101.58,103.08,102.33,101.58,103.08,102.33,6.661,2.4255,4.2355,1.2779,NA,76.8,23.2,NA,NA,5.7,0.97,0.22
HER42PB,HER42PB1C,HER42PB1C_92,C,92,2.1,2.4,1.1,103.24,104.34,103.79,103.24,104.34,103.79,7.3065,2.4868,4.8197,1.3392,NA,78.3,21.7,NA,NA,4.4,1.41,0.31
HER42PB,HER42PB1C,HER42PB1C_93,C,93,2.2,2.4,1.2,104.5,105.65,105.08,104.5,105.65,105.08,7.4754,2.5409,4.9345,1.3933,NA,78,22,NA,NA,4.8,1.33,0.29
HER42PB,HER42PB1C,HER42PB1C_94,C,94,2.1,2.4,1.2,105.81,107.01,106.41,105.81,107.01,106.41,7.5871,2.5179,5.0692,1.3703,NA,78.7,21.3,NA,NA,4.7,1.38,0.29
HER42PB,HER42PB1C,HER42PB1C_95,C,95,2.1,2.4,1.2,107.17,108.37,107.77,107.17,108.37,107.77,7.2235,2.6516,4.5719,1.504,NA,75.2,24.8,NA,NA,4.8,1.27,0.32
HER42PB,HER42PB1C,HER42PB1C_96,C,96,2.4,2.1,1.2,108.53,109.68,109.1,108.53,109.68,109.1,7.7635,3.3344,4.4291,2.1868,NA,66.9,33.1,NA,NA,4.5,1.48,0.49
HER42PB,HER42PB1C,HER42PB1C_97,C,97,1.8,2.2,1.2,109.83,110.98,110.41,109.83,110.98,110.41,7.1325,3.3128,3.8197,2.1652,NA,63.8,36.2,NA,NA,3.6,1.66,0.6
HER42PB,HER42PB1C,HER42PB1C_98,C,98,1.9,2.5,1.2,111.14,112.34,111.74,111.14,112.34,111.74,7.3088,3.7817,3.5271,2.6341,NA,57.2,42.8,NA,NA,4.6,1.35,0.58
HER42PB,HER42PB1C,HER42PB1C_99,C,99,2.1,2.3,1.2,112.5,113.7,113.1,112.5,113.7,113.1,7.0774,2.8175,4.2599,1.6699,NA,71.8,28.2,NA,NA,4.6,1.3,0.37
HER42PB,HER42PB1C,HER42PB1C_100,C,100,2,2.3,1.2,113.86,115.01,114.43,113.86,115.01,114.43,6.8664,2.8379,4.0285,1.6903,NA,70.4,29.6,NA,NA,4.2,1.37,0.41
HER42PB,HER42PB1C,HER42PB1C_101,C,101,2.1,2.2,1.2,115.17,116.37,115.77,115.17,116.37,115.77,7.2331,2.9012,4.3319,1.7536,NA,71.2,28.8,NA,NA,4.4,1.4,0.4
HER42PB,HER42PB1C,HER42PB1C_102,C,102,2.4,2.2,1.2,116.53,117.73,117.13,116.53,117.73,117.13,7.6485,3.165,4.4835,2.0174,NA,69,31,NA,NA,5,1.3,0.4
HER42PB,HER42PB1C,HER42PB1C_103,C,103,2.1,2.2,1.2,117.88,119.08,118.48,117.88,119.08,118.48,6.8315,2.5009,4.3306,1.3533,NA,76.2,23.8,NA,NA,4.4,1.31,0.31
HER42PB,HER42PB1C,HER42PB1C_104,C,104,1.9,2.5,1.1,119.24,120.34,119.79,119.24,120.34,119.79,6.5251,2.3934,4.1317,1.2458,NA,76.8,23.2,NA,NA,4.2,1.29,0.3
HER42PB,HER42PB1C,HER42PB1C_105,C,105,2,2.1,1.1,120.5,121.6,121.05,120.5,121.6,121.05,6.4771,2.21,4.2671,1.0624,NA,80.1,19.9,NA,NA,3.6,1.47,0.29
HER42PB,HER42PB1C,HER42PB1C_106,C,106,2.1,2.1,1.2,121.76,122.96,122.36,121.76,122.96,122.36,6.8175,2.3096,4.5079,1.162,NA,79.5,20.5,NA,NA,4.2,1.36,0.28
HER42PB,HER42PB1C,HER42PB1C_107,C,107,2.2,2,1.1,123.12,124.22,123.67,123.12,124.22,123.67,7.238,2.5993,4.6387,1.4517,NA,76.2,23.8,NA,NA,3.8,1.6,0.38
HER42PB,HER42PB1C,HER42PB1C_108,C,108,1.9,2.2,1.1,124.38,125.43,124.9,124.38,125.43,124.9,6.1371,2.2655,3.8716,1.1179,NA,77.6,22.4,NA,NA,3.4,1.48,0.33
HER42PB,HER42PB1C,HER42PB1C_109,C,109,2.1,2.1,1.1,125.58,126.68,126.13,125.58,126.68,126.13,7.1982,2.686,4.5122,1.5384,NA,74.6,25.4,NA,NA,3.8,1.59,0.4
HER42PB,HER42PB1C,HER42PB1C_110,C,110,2,2.2,1.2,126.84,128.04,127.44,126.84,128.04,127.44,6.6044,2.3267,4.2777,1.1791,NA,78.4,21.6,NA,NA,4.1,1.35,0.29
HER42PB,HER42PB1C,HER42PB1C_111,C,111,2,2.1,0.8,128.2,129,128.6,128.2,129,128.6,4.8872,1.8438,3.0434,0.6962,NA,81.4,18.6,NA,NA,2.6,1.42,0.26
HER42PB,HER42PB1D,HER42PB1D_112,D,112,2.2,2.1,1,120,121,120.5,120,121,120.5,6.0964,2.1713,3.9251,1.0237,NA,79.3,20.7,NA,NA,3.6,1.36,0.28
HER42PB,HER42PB1D,HER42PB1D_113,D,113,2.1,2.2,1.2,121.06,122.26,121.66,121.06,122.26,121.66,7.6996,2.4546,5.245,1.307,NA,80.1,19.9,NA,NA,4.4,1.5,0.3
HER42PB,HER42PB1D,HER42PB1D_114,D,114,2.2,2.1,1.2,122.33,123.53,122.93,122.33,123.53,122.93,7.0956,2.324,4.7716,1.1764,NA,80.2,19.8,NA,NA,4.4,1.37,0.27
HER42PB,HER42PB1D,HER42PB1D_115,D,115,2.3,2.1,1.1,123.59,124.69,124.14,123.59,124.69,124.14,7.6641,2.3947,5.2694,1.2471,NA,80.9,19.1,NA,NA,4.2,1.56,0.3
HER42PB,HER42PB1D,HER42PB1D_116,D,116,2,2.2,1.2,124.75,125.95,125.35,124.75,125.95,125.35,6.9789,2.1328,4.8461,0.9852,NA,83.1,16.9,NA,NA,4.2,1.4,0.24
HER42PB,HER42PB1D,HER42PB1D_117,D,117,2.1,2.4,1.2,126.01,127.21,126.61,126.01,127.21,126.61,7.2245,2.3769,4.8476,1.2293,NA,79.8,20.2,NA,NA,4.7,1.3,0.26
HER42PB,HER42PB1D,HER42PB1D_118,D,118,2.1,2.2,1.1,127.28,128.38,127.83,127.28,128.38,127.83,7.8432,2.7561,5.0871,1.6085,NA,76,24,NA,NA,4,1.68,0.4
HER42PB,HER42PB1D,HER42PB1D_119,D,119,2.2,2.3,1.2,128.44,129.64,129.04,128.44,129.64,129.04,7.6075,2.3254,5.2821,1.1778,NA,81.8,18.2,NA,NA,4.7,1.39,0.25
HER42PB,HER42PB1D,HER42PB1D_120,D,120,2.3,1.9,1.2,129.7,130.85,130.28,129.7,130.85,130.28,6.8475,1.9464,4.9011,0.7988,NA,86,14,NA,NA,3.9,1.47,0.21
HER42PB,HER42PB1D,HER42PB1D_121,D,121,2.4,2,1.3,130.92,132.22,131.57,130.92,132.22,131.57,7.1476,2.0746,5.073,0.927,NA,84.6,15.4,NA,NA,4.9,1.21,0.19
HER42PB,HER42PB1D,HER42PB1D_122,D,122,2.4,1.9,1.2,132.28,133.43,132.85,132.28,133.43,132.85,7.3305,2.2288,5.1017,1.0812,NA,82.5,17.5,NA,NA,4.1,1.52,0.27
HER42PB,HER42PB1D,HER42PB1D_123,D,123,2.3,1.9,1.1,133.49,134.59,134.04,133.49,134.59,134.04,6.4367,1.8723,4.5644,0.7247,NA,86.3,13.7,NA,NA,3.7,1.42,0.19
HER42PB,HER42PB1D,HER42PB1D_124,D,124,2.1,2.1,1.1,134.65,135.7,135.18,134.65,135.7,135.18,4.9929,2.0202,2.9727,0.8726,NA,77.3,22.7,NA,NA,3.5,1.08,0.25
