"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,3.22556173378658,0.161278086689329,4.23268632605027,0.211634316302513,4.08393510754186,3.07319679785342,5.0946734172303,4.08182983341315,3.06041842800056,5.10324123882573
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,3.56940295020382,0.178470147510191,4.16109758192109,0.208054879096055,4.34489129459124,3.33504089674449,5.35474169243799,4.34421464620057,3.33049099154982,5.35793830085132
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,3.36118156445307,0.168059078222654,4.21806225104214,0.210903112552107,4.18686294809506,3.17658520089429,5.19714069529583,4.1853211607487,3.16704965717141,5.20359266432598
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,3.5546174739441,0.177730873697205,4.30995319020873,0.215497659510436,4.33366994786426,3.32380038911811,5.34353950661042,4.33293186730396,3.31889625857574,5.34696747603217
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2.91968165810479,0.145984082905239,5.22200842792697,0.261100421396349,3.85178929594888,2.83948572883051,4.86409286306725,3.8484131208112,2.81941266133701,4.87741358028539
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3.12865677149133,0.156432838574566,4.35212386715512,0.217606193357756,4.01038967942178,2.99923435449454,5.02154500434902,4.00788177490245,2.9841417501662,5.0316217996387
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,2.72302464646893,0.136151232323446,4.30075669307204,0.215037834653602,3.70253766041852,2.68884373357572,4.71623158726131,3.69834439513872,2.66409926870765,4.73258952156979
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,2.65039344288614,0.132519672144307,4.38715675797442,0.219357837898721,3.647414652929,2.63313150977229,4.66169779608571,3.64291961228933,2.60666619507079,4.67917302950787
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,2.71848714954532,0.135924357477266,4.22512142824753,0.211256071412377,3.69909395489574,2.68536441217813,4.71282349761335,3.69488183677172,2.66051236627928,4.72925130726416
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,2.83593157546937,0.141796578773468,4.14074893577784,0.207037446788892,3.7882276832448,2.77536866065643,4.80108670583318,3.78450353492095,2.75330416472122,4.81570290512067
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,3.6894640245235,0.184473201226175,4.1850879428486,0.20925439714243,4.43601091222748,3.42625276305453,5.44576906140044,4.43583310554839,3.42457998941632,5.44708622168046
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,3.32446075360401,0.166223037680201,4.42591346474246,0.221295673237123,4.15899391341568,3.14860564451863,5.16938218231273,4.15729955478642,3.13819165226656,5.17640745730629
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,2.73219237316287,0.136609618658143,4.20961172670887,0.210480586335443,3.7094954504906,2.69587299730143,4.72311790367978,3.70534027619492,2.67134592262168,4.73933462976817
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,3.42708435671015,0.171354217835507,4.36105066359568,0.218052533179784,4.23687946898371,3.22677364867351,5.24698528929392,4.23561150112359,3.21881532224019,5.25240768000699
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,3.19505734289591,0.159752867144796,4.42608805617884,0.221304402808942,4.06078398674826,3.04992230510301,5.07164566839351,4.05855196993756,3.03641516236131,5.0806887775138
