Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Volume,Volume_err,Wet_density,Dry_density,Dry_density_err,DMAR,DMAR_err,DMAR_err_pc,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd
Isla Hermite,HER42PB,HER42PB1C,97,109.8,111.0,110.4,110.4,0.6,789,1301,1046,1047,256,0.0862,0.02155,15614.42857,46797.71429,1.338571429,154,770.4285714,329.8571429,215.5714286,12676,68.71428571,138.4285714,105.8571429,14.14285714,182.5714286,1239.571429,592.7142857,22641,4695.714286,4.824056798,1.56978657,0.208906456,-1.569786571,27336.71429,844.5537001,1625.387719,0.088586788,85.73602899,216.4461882,95.00952333,51.07464192,2521.4903,59.37371552,24.87875361,37.44519805,20.49738659,94.60418797,321.2428246,128.1856912,2113.112396,147.1798382,0.450093841,0.095115603,0.020176243,0.095115603,2139.494934,63.82,36.18,1.81,24.06,1.2,13.96,1.21,3.611,3.6471,1.0578,0.5996,0.6356,0.0517,0.0677,131,7175.3422,23770.8588,2339.38198,436.78518,17175.5766,7.2536503,6.6532882,28.9478943,36.659792,24.826568,254.965373,15.9139461,1291.561596,3090.211644,327.5134772,52.4142216,3091.603788,0.507755521,3.592775628,4.052705202,3.29938128,3.97225088,5.09930746,0.795697305
Isla Hermite,HER42PB,HER42PB1C,104,119.2,120.3,119.8,119.8,0.6,902,1374,1164,1156,236,0.1045,0.02184,19923.14286,53143.85714,1.332857143,48.28571429,308.4285714,120.1428571,82,8038,132,196.8571429,103.1428571,0.375,50,588.5714286,686,33030.71429,5503.285714,6.007350031,1.79248797,0.166627611,-1.79248797,38534,266.5854638,1971.996317,0.097590007,12.10666876,44.79158084,17.68642202,19.42506971,1560.039636,64.57037504,40.36677087,45.23799499,1.060660172,67.04973279,77.93984249,90.43782395,175.157752,169.7711345,0.204639124,0.033985188,0.005648475,0.033985188,165.9116231,76.83,23.17,1.16,39.8,1.99,23.09,1.99,4.1793,4.5304,0.9886,0.2981,0.338,0.0311,0.0418,134.3,6260.84885,19931.45628,1783.788743,323.6804956,29105.71327,7.23671292,8.016836814,31.06311504,39.88560708,19.90308814,231.5407717,9.931686372,1126.952793,2591.089316,249.730424,38.84165947,5239.028389,0.506569904,4.32909188,4.348836106,3.589704637,3.184494102,4.630815434,0.496584319
Isla Hermite,HER42PB,HER42PB1D,118,127.3,128.4,127.8,127.8,0.6,995,1422,1241,1230,213,0.1098,0.01951,21380.66667,54446,1.331666667,40.16666667,284.6666667,75.83333333,47.5,5676.833333,107.5,211.8333333,126.5,0.375,44.33333333,390.3333333,850.8333333,37027.33333,6032.5,6.138307073,1.814292024,0.162994885,-1.814292024,43059.83333,425.0480757,483.2278965,0.12937027,14.07716828,45.58362279,22.13970792,35.88175024,1368.654437,43.9670331,43.23617313,57.17604393,1.060660172,54.62844192,119.652274,86.99061252,1350.880996,173.5531619,0.152856875,0.024800093,0.004025975,0.024800094,1482.445603,75.98,24.02,1.2,31.86,1.59,18.48,1.6,3.9915,4.8816,1.2745,0.403,0.513,0.0442,0.0642,145.1,5656.960644,21097.44306,2617.070294,421.6584628,12943.05626,5.413025996,7.99757167,27.88986141,25.82803284,18.26896274,237.9234012,19.67739493,1018.252916,2742.667598,366.3898412,50.59901554,2329.750127,0.37891182,4.318688702,3.904580597,2.324522956,2.923034038,4.758468024,0.983869747
Isla Hermite,HER42PB,HER42PB1D,121,130.9,132.2,131.6,131.6,0.7,1038,1449,1273,1266,206,0.1008,0.0169,20689.75,51304.5,1.2575,32.5,305.625,56.5,34.375,2484.875,61.625,182.5,99.625,3.125,78.125,623,822.625,36857.25,6022.75,6.122857,1.811566618,0.16347409,-1.811566617,42880,579.7407672,1766.652525,0.066062741,13.59621796,56.63148418,21.04417123,18.7688001,798.9765663,40.21349276,27.73857551,26.46797256,8.838834765,55.39839477,125.4728201,101.2266728,992.9735646,177.2453908,0.198226321,0.032568467,0.005355176,0.032568468,1066.200732,84.55,15.45,0.77,54.74,2.74,31.75,2.74,4.9392,6.1938,1.0271,0.1877,0.2447,0.0189,0.0278,147.2,3648.143898,15108.07419,1282.645911,195.5844371,7988.703067,3.181449904,6.481861022,25.96709783,17.02060447,10.8681745,200.4648971,7.802635527,656.6659016,1964.049645,179.5704275,23.47013245,1437.966552,0.222701493,3.500204952,3.635393696,1.531854402,1.73890792,4.009297942,0.390131776
Isla Hermite,HER42PB,HER42PB1D,131,143.2,144.4,143.8,143.8,0.6,1244,1514,1395,1392,135,0.0907,0.00917,21521.14286,52980.28571,1.387142857,20.28571429,236.4285714,27.42857143,14.42857143,2204.142857,112.5714286,175,138.1428571,0.375,37.28571429,261.7142857,949,38842.85714,5957.142857,6.522793948,1.875052635,0.153384976,-1.875052634,44800,562.8440958,1568.404467,0.112947523,10.49943309,42.66480651,16.06089602,16.00892608,357.9117343,47.73139129,30.18829795,40.93258104,1.060660172,47.84249954,87.39320013,100.1415665,947.583493,175.3448303,0.158190211,0.024115505,0.003678249,0.024115506,1062.857783,80.13,19.87,0.99,47.58,2.38,27.6,2.38,4.173,5.646,1.2803,0.3175,0.4455,0.0288,0.0433,150.4,5049.87496,16222.83208,1694.217096,259.3390696,12805.9724,4.0172756,6.76410592,22.2037868,20.90723648,15.70363184,201.5309088,6.75540424,908.9774928,2108.96817,237.1903934,31.12068835,2305.075032,0.281209292,3.652617197,3.108530152,1.881651283,2.512581094,4.030618176,0.337770212
Isla Hermite,HER42PB,HER42PB1D,137,150.7,151.9,151.3,151.3,0.6,1378,1586,1481,1480,104,0.0631,0.0047,20867.71429,51355.57143,1.295714286,22.85714286,229.4285714,37.57142857,28.71428571,1634.714286,95,217.4285714,106.5714286,1.285714286,38.85714286,484.7142857,841.8571429,37733.42857,6034.142857,6.257159985,1.833412205,0.159917826,-1.833412205,43767.57143,265.469844,805.9443441,0.082433234,7.289914756,24.61610004,9.449111825,13.30055495,295.7469156,51.77193577,28.17124505,52.417736,3.401680257,56.04589956,65.49736454,144.3507633,309.7977067,167.8018957,0.1686635,0.027137737,0.004368759,0.027137737,381.8864828,84.05,15.95,0.8,67.1,3.36,38.92,3.36,4.5358,6.4091,1.1773,0.2233,0.3268,0.0141,0.0217,153.7,3309.7982,14715.29986,1150.276453,172.5557713,6997.205183,2.856953727,5.489630722,20.00182283,15.64215778,9.202783759,193.3528611,5.180678081,595.763676,1912.988982,161.0387034,20.70669256,1259.496933,0.199986761,2.96440059,2.800255196,1.4077942,1.472445401,3.867057222,0.259033904
Isla Hermite,HER42PB,HER42PB1D,144,159.2,160.3,159.8,159.8,0.6,1424,1936,1589,1615,256,0.0689,0.01115,19183.42857,49310.71429,1.33,59.14285714,388.4285714,158.5714286,100.7142857,5211.142857,91.42857143,197.1428571,75.28571429,0.375,79.14285714,813.8571429,673.4285714,32768.14286,5741.285714,5.708824831,1.741875274,0.175215551,-1.741875274,38509.42857,280.5369002,1133.014668,0.072341781,16.39541167,57.37263326,50.93413113,27.54822611,966.9945585,46.10805115,33.39375476,31.05755027,1.060660172,57.98111351,138.8205419,71.52355589,394.7971752,111.9162102,0.102783856,0.017906976,0.003120845,0.017906976,456.0810809,69.44,30.56,1.53,24.03,1.2,13.94,1.21,3.808,5.6435,1.1573,0.5094,0.7804,0.0351,0.0594,169.4,5997.873908,19331.44723,2133.687133,334.5877951,14513.69839,5.301363572,7.080750354,29.54255159,29.06945023,21.18442756,222.8833073,11.73028539,1079.617303,2513.08814,298.7161986,40.15053541,2612.46571,0.37109545,3.823605191,4.135957223,2.616250521,3.38950841,4.457666146,0.58651427
Isla Hermite,HER42PB,HER42PB1D,147,162.9,164.1,163.5,163.5,0.6,1458,1990,1644,1669,266,0.0705,0.0115,18606.14286,49611.14286,1.322857143,89.42857143,467.1428571,171.7142857,117.2857143,6882.714286,85,181.1428571,130.7142857,40,173.8571429,800.1428571,678.7142857,31443.71429,5520.428571,5.695543186,1.739281964,0.175717168,-1.739281963,36964.14286,415.1848699,1138.357359,0.054072262,37.90275778,74.63115652,51.36378194,46.99898682,2096.148191,41.09744518,20.61899263,23.31461834,40.14141668,46.11373104,135.6999491,79.32783094,1561.818461,208.2593392,0.174361334,0.030635187,0.005386952,0.030635186,1731.55185,79.71,20.29,1.01,33.48,1.67,19.42,1.68,3.3117,4.9924,1.3497,0.3435,0.535,0.0242,0.0417,172.1,4295.763522,16304.49768,1670.874143,264.1328625,10760.96847,4.125981149,7.101215107,30.53387748,22.37893368,15.49870515,201.1247375,9.839292734,773.237434,2119.584698,233.92238,31.6959435,1936.974325,0.28881868,3.834656158,4.274742847,2.014104031,2.479792824,4.02249475,0.491964637
Isla Hermite,HER42PB,HER42PB1E,158,169.3,170.5,169.9,169.9,0.6,1498,2157,1732,1760,330,0.077,0.01467,20354,50269.42857,1.242857143,36,206.7142857,49.85714286,36.14285714,2647.857143,105.7142857,179.5714286,124.5714286,4.571428571,69.14285714,436.7142857,848.7142857,36280.42857,5934,6.114751441,1.810335568,0.163658532,-1.810335569,42214.42857,308.9136881,803.8890589,0.073419862,15.22060008,21.85340771,19.29100457,16.56732297,462.7531482,52.12073895,43.55018998,52.45269978,12.09486314,66.1725738,94.67966041,102.3225526,1054.580463,95.44282756,0.180821826,0.029203158,0.004719461,0.029203159,1081.078606,85.37,14.63,0.73,60.28,3.01,34.97,3.02,3.7938,6.1498,1.2763,0.2188,0.3656,0.0168,0.0314,186.2,1024.567593,5436.594439,410.3823586,66.61077661,3223.639501,1.260301438,2.834914669,7.835581975,7.99662512,4.023302013,74.85729626,2.834914669,184.4221667,706.7572771,57.4535302,7.993293193,580.2551102,0.088221101,1.530853921,1.096981477,0.719696261,0.643728322,1.497145925,0.141745733
Isla Hermite,HER42PB,HER42PB1E,162,175.6,176.8,176.2,176.2,0.6,1556,2241,1819,1842,342,0.0767,0.01452,20130.28571,50336.71429,1.331428571,43,275.4285714,69.42857143,55.42857143,2936,56.28571429,198.4285714,99.14285714,3.142857143,81.28571429,556.2857143,775.8571429,35854.42857,5720,6.272573001,1.835869638,0.159525364,-1.835869639,41574.42857,365.2723707,933.9697915,0.05429198,11.37248141,14.81954951,25.42215007,17.25163898,391.1500138,40.57385975,42.00340122,28.04418283,5.398412465,80.84906572,84.25302029,95.03583284,674.8310547,199.455091,0.170518561,0.027203717,0.004342709,0.027203718,815.786912,83.11,16.89,0.84,49.45,2.47,28.68,2.47,3.768,6.2549,1.2538,0.2548,0.4357,0.0195,0.0371,189.9,3756.973168,14110.24974,1400.001342,211.0280805,11941.27554,5.526713106,27.22539319,42.45588235,30.50864809,12.28390196,180.6386068,7.531822497,676.2551702,1834.332466,196.0001879,25.32336966,2149.429597,0.386869917,14.70171232,5.943823529,2.745778328,1.965424314,3.612772136,0.376591125
Isla Hermite,HER42PB,HER42PB1E,166,181.9,183.1,182.5,182.5,0.6,1629,2326,1912,1929,349,0.0665,0.01225,20612.14286,53111.42857,1.301428571,33.42857143,250,63,48.42857143,4452.428571,140.1428571,219.2857143,133.5714286,0.375,17.14285714,527.4285714,821.5714286,36370.42857,5935.857143,6.128914634,1.812788072,0.163235185,-1.812788072,42306.28571,121.1822712,911.5572495,0.082750342,12.10863525,27.73685875,29.13760457,22.82438128,1065.806245,47.75433164,24.14342068,44.44793637,1.060660172,20.03687078,106.8048956,97.59586252,470.6038168,96.63924077,0.143369314,0.023024356,0.003699382,0.023024356,459.6377974,84.81,15.19,0.76,63.1,3.15,36.6,3.16,4.5358,7.7245,1.0927,0.1957,0.343,0.013,0.0252,193.7,3191.150345,13479.76097,914.3215586,153.4316483,10687.50441,2.678001972,5.932120552,20.43760841,16.5256,7.299756414,178.3340179,6.704264966,574.4070621,1752.368926,128.0050182,18.4117978,1923.750794,0.187460138,3.203345098,2.861265177,1.487304,1.167961026,3.566680358,0.335213248
Isla Hermite,HER42PB,HER42PB1E,174,194.9,196.1,195.5,195.5,0.6,1770,2504,2112,2118,367,0.0712,0.01256,20043,50000.28571,1.278571429,24.57142857,246.8571429,56.28571429,42.42857143,2014.428571,76.57142857,206.5714286,130.2857143,24.28571429,85.57142857,438.4285714,810.2857143,36906.14286,5769,6.398423738,1.85597617,0.156312151,-1.85597617,42675.14286,262.3985518,644.6972712,0.071514234,12.73914103,40.15979985,19.58497967,22.05188686,260.228654,27.51882473,34.88006662,28.13487922,28.94658463,63.86667661,75.7184635,64.42234158,478.2337046,115.1289133,0.084716617,0.013288981,0.002084787,0.013288981,569.1989777,84.28,15.72,0.79,63.26,3.16,36.7,3.16,4.5593,8.1338,0.9731,0.1815,0.3328,0.0129,0.026,201,3125.582355,14253.70812,982.7018051,143.7066162,6996.743289,4.257107492,4.605044162,16.48459618,37.24969056,8.233526579,188.1781856,5.05239131,562.6048239,1852.982056,137.5782527,17.24479394,1259.413792,0.297997524,2.486723847,2.307843465,3.35247215,1.317364253,3.763563712,0.252619566
Isla Hermite,HER42PB,HER42PB1E,179,202.5,203.6,203.0,203.0,0.6,1850,2609,2223,2225,379,0.0698,0.01209,19380.66667,48564.83333,1.321666667,30,293.3333333,68,52.66666667,3135.166667,73,180.6666667,118,0.375,54.66666667,590.3333333,753.6666667,34223.66667,5583.833333,6.137149797,1.812464221,0.16356794,-1.81246422,39807.5,709.8238279,1145.621127,0.099079093,5.830951895,33.23652609,21.93627133,12.29091806,619.8149455,15.16575089,45.73692892,36.42526596,1.060660172,67.04227522,179.4844469,112.9772839,1706.899841,189.8034949,0.409725127,0.067830305,0.011277194,0.067830305,1670.723885,86.18,13.82,0.69,58.1,2.91,33.7,2.91,3.1172,5.6983,1.2611,0.2022,0.3797,0.0141,0.0289,205.1,5457.248831,19005.72883,2108.785455,365.7716364,13791.08364,5.441252987,7.643347532,26.97965714,33.08473766,19.53359169,225.088187,10.66656208,982.3047896,2470.744748,295.2299637,43.89259637,2482.395055,0.380887709,4.127407667,3.777152,2.977626389,3.12537467,4.50176374,0.533328104
