"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP","RMSEP_ppm_cv","RMSEP_overall_boot","RMSEP_ppm_boot_sd","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"KER1","Mn","PLS_kfold",0.741703580445502,0.862785089993714,0.560081316123184,2249,0.652472643614871,0.567888873609633,0.583845224423336,110.834481748237,115.218080815767,17.1968720536606,2,0.788011170470769,"Acceptable 2","High confidence",FALSE,3
"KER1","Mn","RF",0.983201429228747,0.972002382047911,1,2249,0.695402031688882,0.531658011483224,0.538666849894129,102.927338779937,105.166193483709,9.77922319009077,3,0.748523536669993,"Acceptable 3","Moderate confidence",FALSE,1
"KER1","Mn","Bayes",0.714889530794879,1,0.287223826987197,2249,0.675458563365959,0.54878715622519,0.563291283780317,110.897640094422,119.634213222486,19.8309945023845,4,0.63518529884232,"Acceptable 4","Moderate confidence",FALSE,4
"KER1","Mn","OLS",0.510420150867051,0.846226501621134,0.00671062473592704,2469,0.642325781154841,0.576119639333299,0.578466614037536,113.752740131634,115.115244867551,12.088046368308,5,0.49552099433582,"Unstable","Low confidence",FALSE,5
"KER1","Mn","OLS_weighted",0.122006013593692,0.203343355989487,0,2469,0.621575234052913,0.592595892589243,NA,NA,115.115244867551,12.088046368308,6,0.124699404865295,"Unstable","Low confidence",FALSE,6
"KER1","Mn","WLS_weighted",0.00307732230079774,0,0.00769330575199434,2469,0.642027836746649,0.576359544649593,NA,NA,115.115244867551,12.088046368308,7,0.08657980183241,"Unstable","Low confidence",FALSE,8
"KER1","Mn","WLS",0.00463901546042742,0.00259036246444216,0.00771199495440531,2469,0.64171449487873,0.57661174033931,NA,NA,115.115244867551,12.088046368308,8,0.0828723184119287,"Unstable","Low confidence",FALSE,7
"KER1","Sr","RF",0.6,1,0,2249,0.729746042675407,0.321684267928995,0.327736832283875,43.42723944403,45.5540344833063,4.32598648223321,1,1,"Preferred 1","High confidence",FALSE,5
"KER1","Sr","Bayes",0.639578066314006,0.911402877574611,0.231840849423097,2249,0.719033486991341,0.327997906598047,0.346202462486856,51.0901516884405,52.350171884488,5.8399166759059,2,0.624944599463715,"Acceptable 2","Moderate confidence",FALSE,4
"KER1","Sr","PLS_LOO",0.776509738805808,0.884753127037003,0.614144656459014,2249,0.681443929954195,0.349250256346248,0.359641666342418,61.8091605316791,62.7338944734484,9.92632263154067,3,0.544351022019322,"Acceptable 3","Low confidence",FALSE,2
"KER1","Sr","PLS_kfold",0.776509738805808,0.884753127037003,0.614144656459014,2249,0.681443929954195,0.349250256346248,0.359641666342418,61.8091605316791,62.7338944734484,9.92632263154067,4,0.544351022019322,"Acceptable 4","Low confidence",FALSE,3
"KER1","Sr","OLS",0.882644416827457,0.811616296349296,0.989186597544698,2310,0.605940022011523,0.388440903375382,0.391554198151312,60.3001473210945,60.5787104774056,5.28700680476254,5,0.514364635860181,"Unstable","Low confidence",FALSE,1
"KER1","Sr","WLS",0.458194587289718,0.0969909788161962,1,2310,0.605899324973479,0.388460961218056,NA,NA,60.5787104774056,5.28700680476254,6,0.302792123609364,"Unstable","Low confidence",FALSE,6
"KER1","Sr","WLS_weighted",0.442926081701131,0.109599518282764,0.942915926828681,2310,0.605197017350042,0.38880693583257,NA,NA,60.5787104774056,5.28700680476254,7,0.27910289070828,"Unstable","Low confidence",FALSE,7
"KER1","Sr","OLS_weighted",0.364149023468015,0,0.910372558670037,2310,0.588442221601662,0.396971381054182,NA,NA,60.5787104774056,5.28700680476254,8,0.195583378918046,"Unstable","Low confidence",FALSE,8
"KER1","Ti","Bayes",0.734855614199019,0.759109889255567,0.698474201614196,2249,0.769067236846491,0.591446999353038,0.623668660505259,2175.20269035076,2160.24662753634,678.539986335789,1,0.804826297074519,"Preferred 1","High confidence",FALSE,3
"KER1","Ti","PLS_LOO",0.844905953092399,0.741509921820665,1,2249,0.754035431978301,0.610392701137588,0.641872967170071,2537.30386853136,2442.28425216607,721.459027702275,2,0.75974392361311,"Acceptable 2","High confidence",FALSE,1
"KER1","Ti","RF",0.800197295957186,1,0.500493239892966,2249,0.756832566591894,0.606912052672566,0.609044942817076,1585.29746044422,1692.64345582933,222.06135387904,3,0.716873623066866,"Acceptable 3","Moderate confidence",FALSE,2
"KER1","Ti","OLS",0.639098692263277,0.644546857743194,0.630926444043402,2505,0.729930592021033,0.639603384224678,0.644447515724916,2123.67445314434,2183.23509730289,418.899208076447,4,0.698170392299635,"Acceptable 4","Moderate confidence",FALSE,4
"KER1","Ti","OLS_weighted",0.582920755032851,0.620696059842804,0.526257797817921,2505,0.718555763474536,0.652933928562262,NA,NA,2183.23509730289,418.899208076447,5,0.631576161282212,"Unstable","Moderate confidence",FALSE,5
"KER1","Ti","PLS_kfold",0.453194541007371,0.755324235012285,0,2249,0.722585439792273,0.648242771227545,0.66229125012325,4038.49868709091,4119.50022982683,1500.18974924516,6,0.423933233671864,"Unstable","Low confidence",FALSE,6
"KER1","Ti","WLS_weighted",0.285036192921718,0.012854038417797,0.693309424677599,2505,0.72919658362992,0.640471967780676,NA,NA,2183.23509730289,418.899208076447,7,0.35725117544236,"Unstable","Low confidence",FALSE,7
"KER1","Ti","WLS",0.281189590633458,0,0.702973976583646,2505,0.728935134347202,0.640781067535794,NA,NA,2183.23509730289,418.899208076447,8,0.347707266007857,"Unstable","Low confidence",FALSE,8
"KER1","Zr","OLS",0.871829526687464,0.786382544479107,1,2523,0.608456680906178,0.822327315016661,0.829368800202076,170.770192118497,171.307378492073,93.6991109242749,1,0.798714188273857,"Preferred 1","High confidence",FALSE,3
"KER1","Zr","WLS_weighted",0.745315708379687,0.585341676077294,0.985276756833277,2523,0.608229412035276,0.822565937768544,NA,NA,171.307378492073,93.6991109242749,2,0.709316237007221,"Acceptable 2","Moderate confidence",FALSE,4
"KER1","Zr","Bayes",0.688694540038689,0.702711848804389,0.667668576890138,2249,0.723503699572672,0.691034085621477,0.73294668717106,95.5686951753637,99.7665825788159,47.7671739407319,3,0.668238166761041,"Acceptable 3","Moderate confidence",FALSE,5
"KER1","Zr","RF",0.2252894736618,0.375482456103,0,2249,0.75905219351808,0.645084038006683,0.656891235581288,44.6204542098743,48.4089445661169,11.1589070694166,4,0.664702687023972,"Acceptable 4","Moderate confidence",FALSE,8
"KER1","Zr","PLS_LOO",0.903151726814116,1,0.75787931703529,2249,0.697291605179832,0.723047851394819,0.762985283258762,111.177254801597,114.862889827873,58.0287986561263,5,0.64822510216813,"Unstable","Moderate confidence",FALSE,1
"KER1","Zr","PLS_kfold",0.903151726814116,1,0.75787931703529,2249,0.697291605179832,0.723047851394819,0.762985283258762,111.177254801597,114.862889827873,58.0287986561263,6,0.64822510216813,"Unstable","Moderate confidence",FALSE,2
"KER1","Zr","WLS",0.624063592749265,0.380894429736009,0.988817337269149,2523,0.608323185716187,0.822467487738816,NA,NA,171.307378492073,93.6991109242749,7,0.627038355325055,"Unstable","Moderate confidence",FALSE,6
"KER1","Zr","OLS_weighted",0.345085563954804,0,0.86271390988701,2523,0.401191970178938,1.01694769214115,NA,NA,171.307378492073,93.6991109242749,8,0.260564765296239,"Unstable","Low confidence",FALSE,7
