"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Sr","BI10","WLS",4892,133.034483198397,34.2057986126626,1904.82182318499,0.0179574793801282,1.83554752104837,0.265729212134295,0.265729212134295,FALSE,6,0.302792123609364,0.0888670926950248,1,0.453320255617015,6,"Marginal"
"Sr","BI10","WLS_weighted",4892,132.895211943176,32.6578949941325,1604.13190112638,0.0203586095203275,1.82007318675903,0.243531037899779,0.243531037899779,FALSE,7,0.27910289070828,0.100769208914347,0.964270886192787,0.446169879825723,7,"Marginal"
"Sr","BI10","OLS_weighted",4892,123.108572641999,29.4598233982136,1000235.04490858,2.94529006438742e-05,1.81132194768992,0.195583378918046,0.195583378918046,FALSE,8,0.195583378918046,0,0.944064910878586,0.377625964351434,8,"Marginal"
"Ti","BI10","Bayes",4577,772.43371084734,702.247414867603,2219.79816748019,0.316356426073079,1.94093373089924,0.78938945932906,0.804826297074519,FALSE,1,0.804826297074519,1,0.70550336823914,0.882201347295656,2,"Stable"
"Ti","BI10","PLS_LOO",4577,750.93746810572,639.362675623046,2257.16491945946,0.283259176195313,2.02708498491869,0.67781556879216,0.728044547263987,FALSE,2,0.75974392361311,0.871485181770401,1,0.922891109062241,1,"Stable"
"Ti","BI10","RF",4577,863.44935850951,779.762545378974,2574.14598943267,0.302920871069488,1.90341615242443,0.789538323408332,0.726039914664885,FALSE,3,0.716873623066866,0.94783047185258,0.577254503862044,0.799600084656366,3,"Stable"
"Ti","BI10","OLS",4790,833.091794210343,601.925239562639,2724.70237798445,0.220914124209009,1.81730651227463,0.765037701130504,0.804337579492597,FALSE,4,0.698170392299635,0.629402741291949,0.282900123593469,0.490801694212557,5,"Marginal"
"Ti","BI10","OLS_weighted",4790,726.209976484539,563.266093115789,2586.20726908919,0.217796191298372,1.84501554800068,0.766001360155616,0.805301238517709,FALSE,5,0.631576161282212,0.617295977656224,0.377619785930838,0.521425500966069,4,"Acceptable"
"Ti","BI10","PLS_kfold",4577,764.845973100357,546.514178801407,2510.34439386244,0.217704861586954,1.7345476696213,0.4,0.4,FALSE,6,0.423933233671864,0.616941349362176,0,0.370164809617305,6,"Marginal"
"Ti","BI10","WLS_weighted",4790,848.754704959257,586.652542018583,9451.98279257098,0.0620666113018823,1.79964341368639,0.428477939712441,0.467777818074535,FALSE,7,0.35725117544236,0.0126065022425833,0.222521164518519,0.0965723671529577,7,"Unstable"
"Ti","BI10","WLS",4790,852.06598199714,584.805849841913,9942.29979072901,0.0588199774852124,1.79681922124932,0.42048684154198,0.459786719904073,FALSE,8,0.347707266007857,0,0.212867037371688,0.0851468149486752,8,"Unstable"
"Zr","BI10","OLS",5017,14.9174885182867,9.02212559957325,73.1859244160666,0.1232767867805,0.889103498404743,0.624960836649626,0.624960836649626,FALSE,1,0.798714188273857,0.479048190671473,0,0.287428914402883,5,"Unstable"
"Zr","BI10","WLS_weighted",5017,14.7945315422376,9.17131543533938,102.637339071436,0.0893565199401367,0.891885018345838,0.535753408544894,0.535753408544894,FALSE,2,0.709316237007221,0.347234557613535,0.01042343965144,0.212510110428697,6,"Unstable"
"Zr","BI10","Bayes",4577,11.9272657115946,10.2875081694654,43.1342917882097,0.238499526547863,1.15595590357132,0.574894197268556,0.636553038430139,FALSE,3,0.668238166761041,0.926801977842526,1,0.956081186705516,1,"Stable"
"Zr","BI10","RF",4577,15.8405386834644,13.282443613477,51.615190149129,0.257335942676968,0.989973921044103,0.664702687023972,0.664702687023972,FALSE,4,0.664702687023972,1,0.378000800016752,0.751200320006701,2,"Stable"
"Zr","BI10","PLS_LOO",4577,12.0889896088415,8.16193554329003,46.942108218979,0.173872368603805,1.00954554624254,0.460961904669557,0.613241167186043,FALSE,5,0.64822510216813,0.67566184021016,0.45134331003169,0.585934428138772,3,"Acceptable"
"Zr","BI10","PLS_kfold",4577,12.0889896088415,8.16193554329003,46.942108218979,0.173872368603805,1.00954554624254,0.460961904669557,0.613241167186043,FALSE,6,0.64822510216813,0.67566184021016,0.45134331003169,0.585934428138772,4,"Acceptable"
"Zr","BI10","WLS",5017,14.8222706202239,9.13583842435051,156.626972497066,0.0583286408381651,0.891229755425965,0.453396914872799,0.453396914872799,FALSE,7,0.627038355325055,0.226660698635322,0.00796791402308869,0.139183584790429,7,"Unstable"
"Zr","BI10","OLS_weighted",5017,7.85256116656259,5.73729733094919,6372196.16917862,9.00364203898753e-07,0.912393008442025,0.260564765296239,0.260564765296239,FALSE,8,0.260564765296239,0,0.0872748739991465,0.0349099495996586,8,"Unstable"
"Ca","HER42PB","Bayes",3901,14368.6128647651,3610.18028937468,23260.2860005684,0.155207906269358,2.09368847422488,0.928467060280823,0.909657677485031,FALSE,1,0.903217185180305,0.824321832718183,0.582194624706218,0.727470949513397,5,"Acceptable"
"Ca","HER42PB","PLS_LOO",3901,14260.5737200659,3570.54890720062,23273.2904958191,0.153418310480937,2.11966846315948,0.84617393661387,0.864275444977219,FALSE,2,0.846217799537837,0.812825998972305,0.612744750506433,0.732793499585957,3,"Acceptable"
"Ca","HER42PB","PLS_kfold",3901,14260.5737200659,3570.54890720062,23273.2904958191,0.153418310480937,2.11966846315948,0.84617393661387,0.864275444977219,FALSE,3,0.846217799537837,0.812825998972305,0.612744750506433,0.732793499585957,4,"Acceptable"
"Ca","HER42PB","RF",3901,13459.7118039684,3656.3004107166,20976.3664823662,0.174305707987619,1.59858707901089,0.7,0.7,FALSE,4,0.7,0.94700045930265,0,0.56820027558159,6,"Acceptable"
"Ca","HER42PB","OLS_weighted",4009,11884.2860206299,3714.19216041679,20345.4583203427,0.182556327900615,2.44475025944931,0.68733115596116,0.68733115596116,FALSE,5,0.68733115596116,1,0.995011648195102,0.998004659278041,1,"Stable"
"Ca","HER42PB","OLS",4009,12373.0828363092,3761.8350902315,24903.556844545,0.151056136828724,2.44667249219287,0.605871427556832,0.605871427556832,FALSE,6,0.615986826769259,0.797652094473633,0.997272020679519,0.877500064955988,2,"Stable"
"Ca","HER42PB","WLS_weighted",4009,12318.3391340009,3615.60005228376,130170.191052324,0.0277759448845734,2.44891258262939,0.302192465570234,0.302192465570234,FALSE,7,0.310940327090334,0.00573662399740849,0.999906165167099,0.403404440465285,7,"Marginal"
"Ca","HER42PB","WLS",4009,12317.12147455,3610.45188549286,134302.891994305,0.0268829049909511,2.44899238026873,0.3,0.3,FALSE,8,0.30864298768611,0,1,0.4,8,"Marginal"
"Fe","HER42PB","OLS_weighted",4009,10788.6401927149,7742.8208784968,17872.5188975089,0.433224937284919,4.38241528024668,0.685864699377746,0.685864699377746,FALSE,1,0.685864699377746,1,0.986190666154022,0.994476266461609,1,"Stable"
"Fe","HER42PB","Bayes",3901,13099.0305970573,7908.29064089817,32533.3324883558,0.243082710439476,2.7409487704658,0.551742953314114,0.599743234986683,FALSE,2,0.567719424143061,0.494934006135189,0.49916880036499,0.496627923827109,5,"Marginal"
"Fe","HER42PB","PLS_LOO",3901,13180.4423864759,8961.28261226546,34050.35700397,0.263177346752066,2.94195610269667,0.594544161267853,0.592775633540416,FALSE,3,0.543569465589582,0.548310458220292,0.55880752305414,0.552509284153831,3,"Acceptable"
"Fe","HER42PB","PLS_kfold",3901,13180.4423864759,8961.28261226546,34050.35700397,0.263177346752066,2.94195610269667,0.594544161267853,0.592775633540416,FALSE,4,0.543569465589582,0.548310458220292,0.55880752305414,0.552509284153831,4,"Acceptable"
"Fe","HER42PB","RF",3901,15696.7157125643,8553.8896297384,36309.5533060648,0.235582342686371,1.05854203252776,0.50158109961498,0.50158109961498,FALSE,5,0.50158109961498,0.475011126528583,0,0.28500667591715,8,"Unstable"
