"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","Rank","Recommended_CI","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Mn","OLS",0.642325781154841,0.576119639333299,0.578466614037536,111.776118917736,113.752740131634,115.115244867551,12.088046368308,470.979249882013,481.752210823546,197.778804797106,11.9179538676928,13.3214262877132,5,"Log-normal % CI",147.072578783174,415.131351621857,1.31577818417022,0.382807692258575,2.68496604453211,1,0.0373326495127932,0.28107066493994,0.49552099433582,5,0.562896894557885,0.693931293691523,FALSE,0.392466216729091,0.00969803918351923,0.528939659872565,0.414109206608894,NA,5,"PLS_LOO",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Mn","OLS_weighted",0.621575234052913,0.592595892589243,NA,115.442539169045,NA,115.115244867551,12.088046368308,464.263343905446,475.036304846979,197.778804797106,12.6077701046542,14.5547299414087,8,"Log-normal % CI",132.023911331763,939.928330609961,1.14363312070291,0.162722974321814,2.72146261670173,0.245494305312877,0.0883389424671466,0,0.124699404865295,6,0.562896894557885,0.693931293691523,FALSE,0.392466216729091,0.00969803918351923,0.242439269884022,0.12760881662035,NA,6,"PLS_LOO",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Mn","WLS_weighted",0.642027836746649,0.576359544649593,NA,109.653909631702,NA,115.115244867551,12.088046368308,452.112021258381,462.884982199914,197.778804797106,11.9193763579275,13.0700621801843,6,"Log-normal % CI",145.664884077566,1673.03766670793,1.32840575011703,0.0911137799574559,2.66652806633924,0,0.0115643961869478,0.277034943254419,0.08657980183241,7,0.562896894557885,0.693931293691523,FALSE,0.392466216729091,0.00969803918351923,0.121209183874812,0.00637873061114011,NA,7,"PLS_LOO",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Mn","WLS",0.64171449487873,0.57661174033931,NA,108.962939644912,NA,115.115244867551,12.088046368308,449.383505423298,460.15646636483,197.778804797106,11.9216071388441,12.9901335914022,7,"Log-normal % CI",145.168076687072,1630.88827087206,1.3322701935185,0.0918686258440677,2.65825338500898,0.00258780130396593,0,0.272790659634474,0.0828723184119287,8,0.562896894557885,0.693931293691523,FALSE,0.392466216729091,0.00969803918351923,0.118774985540314,0.00394453227664214,NA,8,"PLS_LOO",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Sr","RF",0.729746042675407,0.321684267928995,0.327736832283875,43.2809202105204,43.42723944403,45.5540344833063,4.32598648223321,NA,NA,163.852330174044,6.550734887129,2.83521833970103,1,"Bootstrap predictive CI",142.816462582646,192.263357498392,3.29975568652377,0.417017178940395,3.19484435600242,1,1,1,1,1,0.596439737912564,0.749487733749622,FALSE,1,1,1,1,NA,1,"RF",TRUE,"Preferred 1","High confidence","Stable","High confidence"
"Sr","Bayes",0.719033486991341,0.327997906598047,0.346202462486856,49.7050467588939,51.0901516884405,52.350171884488,5.8399166759059,179.046097421121,207.773993265208,163.852330174044,6.6842619538624,3.32241552965426,2,"Bootstrap predictive CI",150.562909245336,207.199353185979,3.02912720262949,0.362486494626766,2.5330514701478,0.869220660018104,0,0.924187784854911,0.624944599463715,2,0.593590464172835,0.746676188404624,FALSE,0.969590638015995,0.967218490213432,0.63856545541204,0.637853811071271,NA,2,"RF",FALSE,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Sr","PLS_LOO",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,61.8091605316791,62.7338944734484,9.92632263154067,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,3,"Bootstrap predictive CI",149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,0.73644134452751,0.174413224483636,0.658168389544089,0.544351022019322,3,0.553410130056565,0.716917047179495,FALSE,0.540759140451298,0.620238641196547,0.509128247291484,0.532972097515059,NA,3,"RF",FALSE,"Acceptable 3","Low confidence","Acceptable","Low confidence"
"Sr","PLS_kfold",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,61.8091605316791,62.7338944734484,9.92632263154067,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,4,"Bootstrap predictive CI",149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,0.73644134452751,0.174413224483636,0.658168389544089,0.544351022019322,4,0.553410130056565,0.716917047179495,FALSE,0.540759140451298,0.620238641196547,0.509128247291484,0.532972097515059,NA,4,"RF",FALSE,"Acceptable 4","Low confidence","Acceptable","Low confidence"
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,60.3001473210945,60.5787104774056,5.28700680476254,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,5,"Log-normal % CI",143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,0.614472742355896,0.771420747261179,0.123831049131564,0.514364635860181,5,0.502742483059667,0.66372153923012,FALSE,0,0,0.477215321120712,0.477215321120712,NA,5,"RF",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,60.5787104774056,5.28700680476254,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,6,"Log-normal % CI",143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,0.073384319139305,0.787918281595244,0.12354303825023,0.302792123609364,6,0.502742483059667,0.66372153923012,FALSE,0,0,0.265729212134295,0.265729212134295,NA,6,"RF",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
