"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,7485.25,1804.05236393465,6074.810846,90.83067827,15732.2690011337,-21711.0103532812,53175.5483555486
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,5640.90909090909,2883.7578766098,49049.46764,602.4649613,13971.5163435398,-23477.8910324393,51420.9237195189
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,5513.47058823529,425.435382526985,51904.82693,633.5042142,13849.8535418545,-23600.0568887709,51299.76397248
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,6844.72727272727,887.92714688865,34127.39087,180.3909133,15120.775709012,-22324.3874816598,52565.9388996838
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,11848.6363636364,2059.33461451641,29114.97389,241.7735926,19897.9002561867,-17539.4684380652,57335.2689504386
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,16426.6363636364,2073.30172781133,24845.10488,215.0112593,24268.4185409208,-13175.7292109414,61712.5662927829
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,18888.2727272727,2894.78331109287,27055.53366,347.4235335,26618.4899121831,-10834.7962235338,64071.7760479
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,21612.1111111111,5465.66888505982,70333.76898,854.1412459,29218.8799211884,-8248.99135276234,66686.7511951392
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,21337.3636363636,2347.55473941407,107255.388,1659.164889,28956.584407412,-8509.60272360926,66422.7715384333
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,10933.3636363636,1181.27763652134,46161.88967,524.1315649,19024.1090394841,-18413.4987141004,56461.7167930686
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,20409.2727272727,2049.58010777374,28337.51625,150.1728069,28070.5559478058,-9390.29543804684,65531.4073336584
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,8114.75,1775.90310572089,68261.38783,1004.21079,16333.2391322478,-21108.4422277025,53774.920492198
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,6016.1,1085.89680807054,23779.92504,84.31463012,14329.7030470015,-23118.2830388833,51777.6891328864
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,22559,2571.74493292006,58747.48129,702.1728764,30122.85440841,-7351.18700189226,67596.8958187123
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,11403,1229.13994321233,49872.72804,195.5233093,19472.4607901283,-17964.9579274121,56909.8795076686
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,54932.25,5064.94830136049,73040.17367,1106.313667,61028.9009486611,23006.188514557,99051.6133827651
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,35227.0909090909,4911.74391544481,74836.34761,1508.582346,42216.8087445516,4605.83150470583,79827.7859843974
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,31882.8,3888.83189545538,65108.07757,794.4594063,39024.0860342738,1459.06432987212,76589.1077386754
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,25978.75,2891.96432534893,88890.89611,1660.843449,33387.6162922501,-4113.42849540273,70888.6610799028
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,9136.16666666667,3544.86857900603,76198.44633,424.3239232,17308.3636883856,-20131.2593957657,54747.9867725368
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,37166,9923.62626261187,244762.4318,2521.469387,44067.8436144195,6427.01736656607,81708.669862273
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,20682.9090909091,4122.54725757135,33059.50476,411.0830407,28331.7907076662,-9130.57718144794,65794.1585967804
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,17928.1818181818,4783.00840095816,19940.78074,195.2603694,25701.9117397959,-11747.3534541746,63151.1769337663
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,39122.5,4414.33992171473,91742.56196,2210.042469,45935.6721474214,8262.3481099198,83608.9961849229
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,27698.5,6119.19867904975,63330.72521,818.7355802,35029.4246845986,-2487.98960165268,72546.8389708498
