Site,depth,SH20_age,Ti,Ca,Sr,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS,Ti_convert_PLS_scaled,Ti_ppm_PLS_scaled,Ti_lower_RMSE_PLS_scaled,Ti_upper_RMSE_PLS_scaled,Ti_ppm_PLS
HER42PB,24.6,189.07,-4.997799645,-3.901000594,-3.169575487,7.601496241,2001.187916,1290.64354,3102.911805,4.007130927,54.98887695,29.57882186,102.2277561,872.1128483
HER42PB,24.7,190.11,-5.203010312,-4.09609922,-3.406056026,7.461952988,1740.544001,1122.544192,2698.774305,4.160634395,64.11218218,34.48629834,119.1885503,562.7340899
HER42PB,24.8,191.14,-4.975629685,-3.710091525,-3.337604316,7.616571814,2031.585525,1310.248135,3150.04436,3.82425573,45.7987011,24.6353753,85.14264535,596.7282048
HER42PB,24.9,192.17,-4.98118629,-4.205736514,-3.40160134,7.612793323,2023.923681,1305.306715,3138.164403,4.100363304,60.36221347,32.46916937,112.2171243,311.8406475
HER42PB,25,193.2,-5.364531872,-4.253739165,-3.415475417,7.352118327,1559.496555,1005.779686,2418.053912,4.34728869,77.26867935,41.56325112,143.6473001,972.1534778
HER42PB,25.1,194.24,-4.876962798,-4.076373936,-3.396832407,7.683665297,2172.568305,1401.173386,3368.643087,3.967359276,52.84479789,28.42550984,98.24177928,703.9316177
HER42PB,25.2,195.27,-4.343115929,-4.121090321,-3.313895634,8.046681168,3123.411673,2014.409075,4842.95896,3.744904062,42.30494838,22.75606634,78.64754086,596.5645656
HER42PB,25.3,196.3,-4.631931197,-4.273100305,-3.363869613,7.850286786,2566.470239,1655.215989,3979.401802,3.964547483,52.69641798,28.34569546,97.96593177,494.5714771
HER42PB,25.4,197.34,-5.059695601,-4.189114676,-3.67739858,7.559406991,1918.707366,1237.448641,2975.022828,4.041290145,56.89970435,30.60666652,105.7801036,557.2295712
HER42PB,25.5,198.37,-4.991705192,-4.173684682,-3.419401501,7.605640469,2009.498504,1296.00336,3115.797661,4.081166044,59.21447627,31.85179517,110.0834092,491.2212587
HER42PB,25.6,199.4,-5.456678439,-4.109914917,-3.395819339,7.289458661,1464.777542,944.6917289,2271.188772,4.324704994,75.54322384,40.63511904,140.4395706,515.75137
HER42PB,25.7,200.43,-5.131317826,-4.191310567,-3.456627362,7.510703878,1827.499427,1178.625111,2833.601732,4.158440464,63.97167864,34.4107207,118.9273454,770.5613011
HER42PB,25.8,201.47,-5.367064594,-4.126187233,-3.363757367,7.350396076,1556.813022,1004.048972,2413.893,4.290512508,73.00387402,39.26918869,135.7187607,578.6236418
HER42PB,25.9,202.5,-5.111116875,-4.055818443,-3.245111816,7.524440525,1852.776354,1194.92718,2872.79449,4.137939842,62.6735709,33.71246135,116.5140821,598.9769185
HER42PB,26,203.53,-5.133787809,-4.059868133,-3.376140174,7.50902429,1824.432557,1176.647168,2828.846442,4.108994523,60.88546783,32.7506308,113.1898868,1222.875239
HER42PB,26.1,204.57,-5.099942171,-3.826976495,-3.293793964,7.532039324,1866.908856,1204.041777,2894.707428,3.978967215,53.46179118,28.75739395,99.38880834,658.5341295
HER42PB,26.2,205.6,-4.928075909,-3.484022713,-3.138119867,7.648908382,2098.353738,1353.309539,3253.570807,3.731003042,41.72093502,22.44192232,77.56182356,461.9334226
HER42PB,26.3,206.63,-4.548734506,-4.085572408,-3.156096671,7.906860536,2715.850752,1751.557263,4211.021509,3.880471303,48.44704294,26.05993306,90.0660782,326.3796348
HER42PB,26.4,207.66,-4.681564173,-3.872904105,-3.148434454,7.816536362,2481.296196,1600.283952,3847.336472,3.825623892,45.86140399,24.66910354,85.25921394,368.7584571
HER42PB,26.5,208.7,-4.128023867,-3.998812136,-3.393227448,8.19294377,3615.349355,2331.678726,5605.72553,3.541875624,34.53162683,18.57475357,64.19645068,933.1763323
HER42PB,26.6,209.73,-4.30827687,-3.869580146,-3.271831488,8.070371728,3198.290504,2062.701331,4959.061204,3.592560153,36.32695954,19.54047299,67.53408629,855.04837
HER42PB,26.7,210.76,-4.927217271,-4.199498746,-3.551024005,7.649492256,2099.579269,1354.099932,3255.471036,4.015977421,55.47749379,29.84165157,103.1361254,881.4316203
HER42PB,26.8,211.8,-5.069902594,-3.959594265,-3.299947755,7.552466236,1905.436197,1228.88955,2954.445417,4.038563187,56.74475258,30.5233171,105.4920386,706.9138015
HER42PB,26.9,212.83,-5.011351883,-4.095061151,-3.328343778,7.59228072,1982.830641,1278.804223,3074.448208,4.076320564,58.92824777,31.69783127,109.5512925,540.1318323
HER42PB,27,213.86,-5.13825531,-4.192111614,-3.430756184,7.505986389,1818.898522,1173.078055,2820.265728,4.171690206,64.82492707,34.86968776,120.5135876,802.4340223
HER42PB,27.1,214.89,-5.255352667,-4.395414872,-3.246862861,7.426360186,1679.682702,1083.292384,2604.406733,4.423353156,83.37538786,44.8480835,155.0000526,463.7083164
HER42PB,27.2,215.93,-5.253440145,-4.533624717,-3.432821847,7.427660701,1681.868575,1084.702138,2607.796006,4.441369838,84.89114921,45.66341993,157.8179476,518.2686937
HER42PB,27.3,216.96,-5.047850793,-4.152226698,-3.06920319,7.567461461,1934.223941,1247.455881,2999.08182,4.218763401,67.94940615,36.55036239,126.3221893,867.9236828
HER42PB,27.4,217.99,-4.979575896,-4.150585183,-3.18078652,7.613888391,2026.141229,1306.736897,3141.602788,4.141510988,62.89778749,33.8330687,116.9309147,761.0999423
HER42PB,27.5,219.03,-4.84870348,-3.999337367,-3.206008346,7.702881634,2214.720819,1428.359174,3434.002033,3.970794169,53.02662622,28.52331631,98.57980952,643.7987253
HER42PB,27.6,220.06,-4.69250364,-3.736669041,-3.215877091,7.809097525,2462.90672,1588.423867,3818.822946,3.727532288,41.57638294,22.36416695,77.29309221,613.7091696
HER42PB,27.7,221.09,-4.928663827,-3.823058503,-3.117789962,7.648508598,2097.515017,1352.768615,3252.27034,3.939795542,51.40808941,27.65269638,95.5708485,898.81364
HER42PB,27.8,222.12,-4.102643365,-3.988908918,-2.936655674,8.210202512,3678.287287,2372.269834,5703.312993,3.678820541,39.59966033,21.3008769,73.61824145,699.8763392
HER42PB,27.9,223.16,-4.317337443,-3.871276355,-3.075938233,8.064210539,3178.645809,2050.031707,4928.601418,3.664387416,39.03221832,20.99564669,72.5633313,819.1985249
HER42PB,28,224.19,-4.831100548,-3.808147822,-3.057331396,7.714851627,2241.390312,1445.559362,3475.354014,3.897939697,49.30076986,26.51915751,91.65320986,920.1214804
HER42PB,28.1,225.22,-4.877738621,-4.001453223,-3.369313391,7.683137738,2171.422448,1400.434378,3366.866395,3.932566404,51.03779334,27.45351207,94.88244498,523.6457079
HER42PB,28.2,226.26,-4.759111484,-3.989242755,-3.347283821,7.763804191,2353.842059,1518.083846,3649.714378,3.868551731,47.87300288,25.75115374,88.9989019,363.8262501
