"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.957187293820777,-0.0478593646910389,-0.426211194364728,-0.0213105597182364,-0.194191863758954,-1.14564212397595,0.75725839645804
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-1.04406662912811,-0.0522033314564056,-0.777042561775839,-0.038852128088792,-0.255202158170806,-1.20694760612508,0.696543289783472
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-1.28251188807033,-0.0641255944035163,-0.663538721305175,-0.0331769360652587,-0.422648368454447,-1.37598229040812,0.530685553499223
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-1.15074510500805,-0.0575372552504023,-0.877847222837218,-0.0438923611418609,-0.330116235238947,-1.28243147635488,0.62219900587699
"Bird Island","BI10","BI10.4",145,141,142,141.5,-1.42418833214228,-0.0712094166071139,-0.852461113208772,-0.0426230556604386,-0.522139479125091,-1.47695573101117,0.432676772760993
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-1.31889849099847,-0.0659449245499235,-0.644164394537035,-0.0322082197268518,-0.448200559311341,-1.40187697387493,0.50547585525225
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-1.24178669419491,-0.0620893347097457,-1.14726572678359,-0.0573632863391795,-0.394049438000741,-1.34703141116485,0.558932535163364
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-1.03473525414605,-0.0517367627073025,-0.227138915986405,-0.0113569457993203,-0.248649277294024,-1.20035575036671,0.703057195778659
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.57830431016718,-0.078915215508359,-0.812097283193199,-0.0406048641596599,-0.630366149594058,-1.58724816377654,0.326515864588423
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.28462558423155,-0.0642312792115777,-0.362185611670631,-0.0181092805835315,-0.424132694095723,-1.37748578782204,0.529220399630597
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-1.30089582596682,-0.0650447912983411,0.0400113784096757,0.00200056892048379,-0.435558336740308,-1.38906199404471,0.517945320564092
"Bird Island","BI10","BI10.5",197,194,195,194.5,-1.61064735020262,-0.0805323675101312,-0.821628241735101,-0.0410814120867551,-0.65307878186451,-1.61045402089054,0.304296457161518
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-1.19118845563226,-0.0595594227816128,-0.997711150593603,-0.0498855575296802,-0.358517243601363,-1.31110817245735,0.594073685254621
