"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.0170641200582839,0.00437596476991362,399.0691035,1.143493468,321.033789696368,226.686659035334,415.380920357402
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.00147866797777795,0.00081452454224969,48.4428199,0.895210879,61.0552937812677,-24.9387479536338,147.049335516169
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.00139022750403871,0.00116881475076354,232.0043335,1.25702578,59.5800320293481,-26.4112369294923,145.571300988189
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,4.36205016357688e-05,6.8781673642158e-06,29.80921049,0.499214017,37.1174905987184,-48.896980087882,123.131961285319
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.00409467846886777,0.00237740894679431,316.1883316,1.43334069,104.692556868575,18.3775816583986,191.007532078751
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.00760769312049287,0.00183726823938391,205.2689039,3.657473631,163.292606487896,75.8288738710851,250.756339104707
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.00997074688380915,0.00469464866630882,206.0678435,1.998237331,202.71033784276,114.025299464682,291.395376220837
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.00984678948014323,0.00158942025870848,100.7202187,1.066310133,200.642623720889,112.030350730255,289.254896711522
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.00193440259832129,0.0010702268471577,130.9239492,1.378555529,68.6573319238437,-17.3593906470966,154.674054494784
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.00022276269877311,0.00041865053911229,83.34916521,1.323098068,40.1057336555204,-45.8985715288693,126.11003883991
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.00062946326600948,0.00067398986867902,141.7452321,1.295372249,46.8898424007637,-39.0994470236515,132.879131825179
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.00332969303197665,0.00179135782287744,108.9295808,0.641673601,91.9319540799867,5.7585293397203,178.105378820253
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.00573849512470334,0.00162133101395632,242.3611357,4.004351166,132.112806184208,45.3614636784748,218.86414868994
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.00033080898671797,0.00070870071381169,50.4248919,0.745226883,41.9080369370691,-44.0911869713357,127.907260845474
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.00582397039838909,0.00233088659001028,199.4152519,1.966916731,133.538605896399,46.7596741740477,220.31753761875
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0020885967412269,0.00179714682462011,155.6838291,0.659026021,71.2294203781568,-14.7981574712413,157.256998227555
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.00100943205855825,0.00140806088630878,106.4331106,0.572822095,53.2280425807291,-32.7573367555884,139.213421917047
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.00080558097037746,0.00075560056302382,153.3540492,1.292838823,49.8276343652892,-36.1586271919823,135.813895922561
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.00058796189919229,0.00072335693427008,63.73190593,0.856844166,46.197564572195,-39.7927441113888,132.187873255779
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.00237012590293268,0.00116899125052173,136.8739771,1.421346544,75.9255644257237,-10.1259797893156,161.977108640763
