"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,48.3,63.3649920872892,2.592646444,0.02182641,9.71788198893471,-16.187724498772,35.6234884766414
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,16,23.0607892319409,6.954876946,0.093655521,7.6604611250958,-18.266247631581,33.5871698817726
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,23.1818181818182,34.3651514817502,9.787053209,0.059603308,8.11792312409179,-17.8027266610774,34.038572909261
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,23.0833333333333,36.6790956895895,20.81297886,0.274237825,8.11164991102538,-17.8090776789392,34.03237750099
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,18.3636363636364,30.4771151104324,4.260143181,0.051289903,7.81101823868942,-18.1136102038683,33.7356466812471
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,47.9411764705882,47.8702289897324,43.16608535,0.550658986,9.6950259203326,-16.2107280945576,35.6007799352228
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,30.6363636363636,32.1567185119151,2.564526013,0.044583218,8.59275709773319,-17.3224300004212,34.5079441958876
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,17.3636363636364,49.018920280383,24.03856275,0.33159449,7.74732099832289,-18.1781772549741,33.6728192516199
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,12.8181818181818,24.4000745155345,58.90663431,0.829134942,7.45778808756593,-18.4718546334454,33.3874308085772
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,37.3636363636364,41.8073503759153,12.67353344,0.313961187,9.02126580565348,-16.8897145785803,34.9322461898872
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,56.7777777777778,53.25828052467,2.553601126,0.066508029,10.2578930378198,-15.6447963397648,36.1605824154045
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,56.1818181818182,56.853879694913,25.70637949,0.437908223,10.2199320561873,-15.6829267377989,36.1227908501735
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,39.4545454545455,29.2142555488366,6.149324503,0.106149158,9.15445094460168,-16.7553617369351,35.0642636261385
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,45.4545454545455,32.1383373445598,4.534790413,0.043240663,9.53663438680086,-16.3701956655357,35.4434644391374
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,42.8333333333333,38.3875769045932,3.037488827,0.043979182,9.36967040826435,-16.5383954860225,35.2777363025512
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,36.7,50.0045553480436,5.026836978,0.140151798,8.97899400068297,-16.9323708634311,34.8903588647971
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,13.5454545454545,30.1375633930935,2.699363842,0.043626306,7.50411335328704,-18.4248452390706,33.4330719456447
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,30.6363636363636,26.9416878731557,2.511699688,0.052718839,8.59275709773319,-17.3224300004212,34.5079441958876
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,27.0833333333333,44.2646140907843,3.349219592,0.075375837,8.3664388724915,-17.5512468583522,34.2841246033352
