"Element","Model","R2","RMSE","RMSEP","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","R2_s","SNR_CI_s","SNR_smooth_s","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model"
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,0.387403145926133,60.2288395492903,60.951161313048,7.32540295673246,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,0.311437602937554,0.749432159483211,1,0.693204144674551,3,3,"Acceptable 3","Acceptable","Moderate confidence",FALSE,0.505251462293815,0.675513163429674,0.612361443419392,0.658970561015202,FALSE
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,0.387403145926133,60.2288395492903,60.951161313048,7.32540295673246,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,0.311437602937554,0.749432159483211,1,0.693204144674551,4,4,"Acceptable 4","Acceptable","Moderate confidence",FALSE,0.505251462293815,0.675513163429674,0.612361443419392,0.658970561015202,FALSE
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,60.3001473210945,60.5787104774056,5.28700680476254,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,0.175118851709108,0.67717711699491,0.499014863201769,0.473110961271227,5,5,"Unstable","Marginal","Low confidence",FALSE,0.502742483059667,0.66372153923012,0.420575305758495,0.420575305758495,FALSE
"Sr","WLS",0.605899324973479,0.388460961218056,NA,NA,60.5787104774056,5.28700680476254,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,0.174711553740039,0.0808728821344636,0.513560745129181,0.238830842514552,6,6,"Unstable","Unstable","Low confidence",FALSE,0.502742483059667,0.66372153923012,0.18641737639254,0.18641737639254,FALSE
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,NA,60.5787104774056,5.28700680476254,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,0.167682824317937,0.0914515071054811,0.437035602622805,0.217996130924415,7,7,"Unstable","Unstable","Low confidence",FALSE,0.502742483059667,0.66372153923012,0.167691283629034,0.167691283629034,FALSE
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,NA,60.5787104774056,5.28700680476254,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,0,0,0.393672698216869,0.118101809465061,8,8,"Unstable","Unstable","Low confidence",FALSE,0.502742483059667,0.66372153923012,0.118101809465061,0.118101809465061,FALSE
"Ti","PLS_LOO",0.756227776634957,0.607666319730726,0.620336808479536,2043.38471456324,2203.41115300355,705.256127489748,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,0.958766987361802,0.985781032588366,0.528542989540393,0.840505406106005,1,1,"Preferred 1","Stable","High confidence",FALSE,0.673810409157214,0.795790393145256,0.839982851319697,0.838323162731842,TRUE
"Ti","PLS_kfold",0.756227776634957,0.607666319730726,0.620336808479536,2043.38471456324,2203.41115300355,705.256127489748,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,0.958766987361802,0.985781032588366,0.528542989540393,0.840505406106005,2,2,"Acceptable 2","Stable","High confidence",FALSE,0.673810409157214,0.795790393145256,0.839982851319697,0.838323162731842,FALSE
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2123.67445314434,2183.23509730289,418.899208076447,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,0.289493689940079,0.919262770647259,0.963539636889683,0.743615106307832,3,3,"Acceptable 3","Acceptable","Moderate confidence",FALSE,0.656221008716905,0.779132874677105,0.693076318265878,0.684258800440318,FALSE
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2262.20178182331,2412.22127315577,784.252798937385,2140.41045976442,6361.9847129266,1.00360317857752,0.68510833898267,4.89905519927455,1,1,0.0263350035216299,0.707900501056489,4,4,"Acceptable 4","Acceptable","Moderate confidence",FALSE,0.674714604626943,0.79673009841112,0.707900501056489,0.707900501056489,FALSE
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,NA,2183.23509730289,418.899208076447,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,0,0.903344090207377,1,0.661337636082951,5,5,"Unstable","Acceptable","Moderate confidence",FALSE,0.656221008716905,0.779132874677105,0.69764695502302,0.688829437197461,FALSE
"Ti","RF",0.737894395399044,0.630102511365047,0.624680929647959,1644.28446880636,1724.6808687449,214.240203644258,2146.88649351738,6757.42656645195,1.3149816608986,0.584395221578449,4.85386142131157,0.49217549885121,0.803994692934893,0,0.46925052682932,6,6,"Unstable","Marginal","Low confidence",FALSE,0.653674502827705,0.777357590935032,0.321597877173957,0.321597877173957,FALSE
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,NA,2183.23509730289,418.899208076447,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,0.270812898689313,0.018809767306703,0.931160386139066,0.368115892371195,7,7,"Unstable","Marginal","Low confidence",FALSE,0.656221008716905,0.779132874677105,0.323181341704471,0.314363823878911,FALSE
"Ti","WLS",0.728935134347202,0.640781067535794,NA,NA,2183.23509730289,418.899208076447,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,0.264158915530203,0,0.925338364684045,0.356849184064274,8,8,"Unstable","Marginal","Low confidence",FALSE,0.656221008716905,0.779132874677105,0.313910828345283,0.305093310519723,FALSE
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,170.770192118497,171.307378492073,93.6991109242749,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,0.605876887706424,1,1,0.881763066311927,1,1,"Preferred 1","Stable","High confidence",FALSE,0.536556720701675,0.647314703402938,0.7,0.7,TRUE
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,NA,NA,171.307378492073,93.6991109242749,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,0.605212534591552,0.7409938656634,0.975892299015989,0.770728996347623,2,2,"Acceptable 2","Stable","High confidence",FALSE,0.536556720701675,0.647314703402938,0.589165235970157,0.589165235970157,FALSE
"Zr","PLS_LOO",0.72037835645274,0.69492862207945,0.711474071275561,83.4172964678884,88.5046640572072,34.869427206997,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,0.933046699726561,0.856824502964999,0.283123797424938,0.707580950331449,3,3,"Acceptable 3","Acceptable","Moderate confidence",FALSE,0.62395945512003,0.752592679771281,0.682297135946749,0.710498857386454,FALSE
