"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,63.8181818181818,62.6798503218031,3.769043144,0.04959872,2.4638468885539,-9.51058776906378,14.4382815461716
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,241.333333333333,73.4925269340463,1.250579343,0.003346293,15.7213158017009,3.68153447388275,27.761097129519
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,97.4545454545455,54.6669253504596,16.76515491,0.107585917,4.97593130193614,-6.987676835168,16.9395394390403
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,93.9411764705882,58.15654583561,14.16367715,0.137185591,4.71354029087221,-7.25069056038938,16.6777711421338
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,139.090909090909,45.5092398210617,6.771422937,0.061270999,8.08548444066334,-3.8797782472247,20.0507471285514
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,215.545454545455,65.5932369019301,5.562421054,0.040340228,13.7953844181079,1.78378866304473,25.806980173171
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,237.909090909091,46.170238347781,3.933228837,0.026102701,15.4655810821404,3.4299043964168,27.5012577678639
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,197.818181818182,78.0010489439959,5.752426608,0.069152067,12.4714480380821,0.475568295327335,24.4673277808368
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,199.777777777778,49.5675745265435,6.816523388,0.051952222,12.6177977006035,0.620327752340868,24.615267648866
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,173.454545454545,70.788930824478,11.84941346,0.182590959,10.6518841927133,-1.32728549107374,22.6310538765003
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,127.272727272727,50.9236505154352,10.70451145,0.097700279,7.20286018731281,-4.7602393428389,19.1659597174645
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,208.181818181818,59.1655612359389,6.228678054,0.076630039,13.2454416140971,1.24073705010402,25.2501461780902
