"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.42167051976418,0.0892357577650162,100.7202187,1.066310133,154.544383140662,65.0312204219228,244.057545859402
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.0845388230146804,0.0483840639926877,130.9239492,1.378555529,61.2686545752148,-26.877569105515,149.414878255945
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.00883696101379851,0.0206524273462535,83.34916521,1.323098068,40.3238831402704,-47.8323929234722,128.480159204013
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0409273147618433,0.0464082988236101,141.7452321,1.295372249,49.2024642841725,-38.9352485181291,137.340177086474
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.123347152412899,0.077409057600328,108.9295808,0.641673601,72.0059279729055,-16.1805467336551,160.192402679466
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.310737762212232,0.0874760330958897,242.3611357,4.004351166,123.852122869091,35.0405795493753,212.663666188807
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0154747705854054,0.0375142987834425,50.4248919,0.745226883,42.1603954879373,-45.9903147032451,130.31110567912
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.211783015020882,0.0886436715061824,199.4152519,1.966916731,96.4738720897195,8.08099217538982,184.866752004049
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.094364197015296,0.0815692407859919,155.6838291,0.659026021,63.9870845750388,-24.1664216434747,152.140590793552
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.0477987575357558,0.0718584198849147,106.4331106,0.572822095,51.1036169708293,-37.0328566909012,139.24009063256
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0411117125825781,0.0420783254211189,153.3540492,1.292838823,49.2534824507844,-38.8841844965878,137.391149398157
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0286486940298891,0.0347990560069915,63.73190593,0.856844166,45.8052835812176,-42.3370464616395,133.947613624075
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.104099183277165,0.0452784382938388,136.8739771,1.421346544,66.6805065964786,-21.4821601780875,154.843173371045
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.0249426200810192,0.0511125047183935,47.14281535,0.412457182,44.7799075900805,-43.3644214419265,132.924236622087
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0774936693460789,0.0853689045923743,61.90931635,1.442324435,59.3194405213887,-28.8227756195272,147.461656662305
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.36288395584227,0.0786048161203903,97.22108231,0.698201201,138.279642588101,49.1685835097557,227.390701666446
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.00832311602989878,0.0189134694600338,72.67126101,0.475237559,40.1817153592369,-47.9750291038877,128.338459822361
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.0850720476857951,0.05659955895184,70.91847569,0.98294395,61.4161842206526,-26.7303840658802,149.562752507185
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.0603032648123803,0.0500776111879207,61.6011836,0.476706737,54.5632947104924,-33.5734002357501,142.699989656735
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.0416841969752011,0.0645858655139837,63.26427197,0.563265912,49.4118742582861,-38.7256547554662,137.549403272038
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.0300204916381816,0.0364882143927248,53.82896824,0.907980366,46.1848249372857,-41.9568363603929,134.326486234964
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.0999095185518488,0.0611313887156008,18.55755468,0.125641085,65.5213333906759,-22.6371536635689,153.679820444921
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.0214208399227783,0.0426126876905419,50.41642497,0.425761379,43.8055209830824,-44.3409677210877,131.952009687252
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.029224347600764,0.0411827799984209,62.26601894,0.072783962,45.9645522193859,-42.1774925118193,134.106596950591
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.029695616296615,0.0543269736458994,58.60550147,0.854908221,46.0949402291145,-42.0468759683563,134.236756426585
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.0179244007457666,0.0243347249008639,40.82277223,1.397062702,42.8381455782629,-45.3107379665147,130.98702912304
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.0201324726859405,0.0308213716811645,35.42302354,0.65822487,43.4490626795928,-44.6982794111258,131.596404770311
