"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1B",46,59.9,61.2,60.5,60.5,0.65,1310,2620,1964,1957,655,0.01485,0.00513,78.62,21.38,1.07,60.63,3.03,35.04,3.03,5.3984,2.7316,1.0967,0.447,0.2485,0.0066,0.006,90.1
"Kerguelen","KER1","CAT1.1B",47,61.4,62.7,62,62,0.65,1417,2691,2067,2058,637,0.01485,0.00475,76.54,23.46,1.17,53.91,2.7,31.16,2.7,4.7173,2.42,1.2086,0.5269,0.2966,0.0078,0.0069,88.3
"Kerguelen","KER1","CAT1.1B",48,62.8,64.2,63.5,63.5,0.7,1493,2757,2173,2159,632,0.01468,0.00446,81.15,18.85,0.94,65.64,3.28,37.94,3.28,5.8137,3.058,0.9881,0.3837,0.221,0.0056,0.005,88
"Kerguelen","KER1","CAT1.1B",49,64.4,65.8,65.1,65.1,0.7,1560,2881,2280,2268,661,0.01356,0.00409,72.25,27.75,1.39,43.94,2.2,25.4,2.2,5.0801,2.7077,1.1266,0.5385,0.3139,0.0073,0.0065,88.5
"Kerguelen","KER1","CAT1.1B",50,66,67.4,66.7,66.7,0.7,1675,2915,2403,2386,620,0.01356,0.00367,80.02,19.98,1,73.45,3.67,42.46,3.67,5.5637,3.0322,0.9606,0.3982,0.237,0.0054,0.0047,86.5
"Kerguelen","KER1","CAT1.1B",51,67.6,68.9,68.3,68.3,0.65,1810,2966,2543,2504,578,0.01359,0.00327,82.02,17.98,0.9,88.5,4.42,51.15,4.43,5.1663,2.8673,0.9913,0.4004,0.2422,0.0054,0.0046,84.5
"Kerguelen","KER1","CAT1.1B",52,69.1,70.3,69.7,69.7,0.6,1899,3045,2664,2607,573,0.0125,0.00286,80.35,19.65,0.98,84.62,4.23,48.91,4.23,3.768,2.1101,1.2843,0.5569,0.3397,0.007,0.0058,83.8
"Kerguelen","KER1","CAT1.1B",53,70.5,71.8,71.2,71.2,0.65,2175,3090,2766,2727,458,0.01217,0.00215,81.08,18.92,0.95,91.11,4.56,52.67,4.56,4.7173,2.703,1.0933,0.4502,0.2805,0.0055,0.0044,80
"Kerguelen","KER1","CAT1.1B",54,72,73.3,72.6,72.6,0.65,2471,3118,2858,2842,324,0.0122,0.0015,82.9,17.1,0.85,94.44,4.72,54.59,4.72,4.9392,2.8845,1.1233,0.4244,0.2691,0.0052,0.0039,75.7
"Kerguelen","KER1","CAT1.1B",55,73.5,74.8,74.1,74.1,0.65,2705,3157,2975,2965,226,0.015,0.00127,84.41,15.59,0.78,95.45,4.77,55.18,4.77,4.2887,2.5346,1.18,0.4516,0.2895,0.0068,0.0049,72.6
"Kerguelen","KER1","CAT1.1B",56,75,76.3,75.6,75.6,0.65,2833,3218,3075,3065,193,0.02388,0.00171,86.15,13.85,0.69,96.05,4.8,55.52,4.8,4.2887,2.5775,1.1858,0.4318,0.2811,0.0103,0.0074,72.2
"Kerguelen","KER1","CAT1.1B",57,76.5,77.9,77.2,77.2,0.7,2999,3259,3139,3132,130,0.02353,0.00119,86.87,13.13,0.66,94.94,4.75,54.88,4.75,5.0801,3.1141,1.0827,0.368,0.244,0.0087,0.0062,71.4
"Kerguelen","KER1","CAT1.1B",58,78.1,79.5,78.8,78.8,0.7,3083,3326,3204,3200,122,0.02542,0.00119,86.77,13.23,0.66,92.99,4.65,53.75,4.65,4.7319,2.9409,1.0862,0.3862,0.2593,0.0098,0.0071,71.8
