Section,position,Ca,Ca_SD,Ti,Ti_Sd,Mn,Mn_SD,Fe,Fe_SD,Sr,Sr_SD,Zr,Zr_SD,inc,inc_SD,coh,coh_SD,
MI1C,1124,97,7,60,10,0,0,1130,30,30,30,400,200,70700,500,10000,100,
MI1C,1125,100,10,70,10,0,0,1440,40,20,20,432,6,72700,500,10500,200,
MI1C,1126,92,2,101,8,4,5,1770,10,100,70,310,90,73000,800,10700,300,
MI1C,1127,120,10,70,10,0,0,2070,10,70,60,400,100,73740,70,10500,100,
MI1C,1128,123,6,50,20,0,0,2010,30,30,40,300,100,74090,90,10580,50,
MI1C,1129,121,4,80,2,4,6,2000,40,90,100,400,100,74200,600,10630,30,
MI1C,1130,120,30,100,10,4,5,1960,40,70,90,300,100,74100,400,10600,300,
MI1C,1131,107,6,80,20,0,0,1670,30,60,20,230,10,74700,400,10676,2,
MI1C,1132,90,20,90,30,0,0,1950,60,70,90,100,100,75000,400,10600,300,
MI1C,1133,110,20,80,30,3,4,2220,10,40,60,200,200,74200,600,10600,100,
MI1C,1134,120,20,80,60,0,0,2390,30,40,50,200,200,74700,200,10600,200,
MI1C,1135,103,4,80,20,20,20,2100,50,50,60,300,200,74630,80,10600,200,
MI1C,1136,99,4,70,30,0,0,1770,60,0,0,237,1,74400,700,10600,200,
MI1C,1137,105,8,100,20,0,0,1920,20,10,20,100,200,75200,300,10700,100,
MI1C,1138,110,30,70,40,0,0,1740,60,0,0,166,1,74000,10,10200,100,
MI1C,1139,91,1,66,8,6,9,1680,40,30,40,170,10,73300,300,10400,200,
MI1C,1140,112,0,50,10,6,8,1960,20,0,0,110,70,75100,400,10400,200,
MI1C,1141,100.5,7,70,50,12,3,1980,30,70,10,180,40,74200,200,10510,40,
MI1C,1142,100,10,100,30,0,0,2070,60,20,10,178,2,75100,800,10340,60,
MI1C,1143,70,20,80,40,6,8,2012,6,100,200,200,200,73900,900,10360,90,
MI1C,1144,90,30,90,20,0,0,2020,10,110,70,90,100,74000,300,10300,200,
MI1C,1145,110,20,120,10,0,0,2050,20,80,60,70,70,74200,200,10400,100,
MI1C,1146,160,20,149,4,0,0,2720,40,60,20,220,90,73600,600,10420,80,
MI1C,1147,140,30,100,20,5,7,2720,40,70,90,210,10,74300,500,10400,300,
MI1C,1148,120,10,85,6,0,0,2430,20,90,100,70,10,73600,800,10200,400,
MI1C,1149,108,2,80,20,2,4,2520,80,50,70,140,30,73700,500,10200,100,
MI1C,1150,100,20,90,3,8,10,2450,30,80,100,0,0,73300,300,10300,100,
MI1C,1151,92,2,110,50,0,0,3690,20,60,80,170,40,72000,400,10318,2,
MI1C,1152,80,10,100,4,0,0,15400,100,0,0,0,0,71800,100,9974,5,
MI1C,1153,100,2,100,20,0,0,3190,60,40,60,200,100,73100,300,10200,200,
MI1C,1154,90,50,60,10,2,4,2950,10,0,0,100,200,73800,600,10310,80,
MI1C,1155,80,30,80,40,0,0,2700,20,20,30,140,30,74500,300,10400,200,
MI1C,1156,114,6,88,9,0,0,2710,70,90,50,30,50,74500,400,10400,400,
MI1C,1157,90,20,70,40,0,0,2560,20,100,100,30,40,74700,900,10210,80,
MI1C,1158,100,10,110,20,0,0,3000,100,50,80,50,80,73800,600,10300,100,
MI1C,1159,88,4,110,10,0,0,2481,3,120,60,0,0,72250,20,10070,60,
MI1C,1160,110,10,124,4,0,0,2650,10,30,40,70,20,72500,400,10100,100,
MI1C,1161,83,7,70,10,0,0,2260,20,60,40,0,0,73200,800,10300,200,
MI1C,1162,60,20,90,8,0,0,2270,30,58,5,200,200,74000,1000,10400,200,
MI1C,1163,90,10,60,50,0,0,2300,40,30,40,4,5,74200,400,10300,100,
MI1C,1164,90,10,100,30,0,0,2580,40,60,80,0,0,74300,400,10440,80,
MI1C,1165,83,6,84,4,0,0,2600,20,0,0,0,0,74500,700,10300,70,
MI1C,1166,94,3,70,10,0,0,2600,30,20,20,0,0,74400,600,10200,100,
MI1C,1167,80,20,86,7,0,0,2470,40,32,8,30,40,73550,60,9900,300,
MI1C,1168,80,20,100,2,0,0,2800,20,0,0,30,30,73500,200,10220,30,
MI1C,1169,80.5,7,113,1,10,10,2220,20,18,1,100,100,73200,800,10140,20,
MI1D,23,110,30,130,40,0,0,3600,100,200,100,110,10,62000,200,9010,60,
MI1D,24,120,10,160,40,3,4,4280,40,200,10,50,70,64400,400,9400,100,
MI1D,25,120,5,120,30,0,0,3300,60,70,60,0,0,66200,300,9430,50,
MI1D,26,100,20,130,10,20,10,3080,20,130,40,81.5,7,67800,400,9600,100,
MI1D,27,80,10,120,20,0,0,2970,20,40,60,40,60,69100,200,9936,5,
MI1D,28,100,10,210,10,0,0,3614,5,20,20,0,0,68500,300,9900,200,
MI1D,29,100,20,180,30,0,0,3490,40,9,10,140,90,70300,400,9800,100,
MI1D,30,81.5,7,130,10,12,8,3630,50,100,100,50,70,70700,200,9870,50,
MI1D,31,100,20,180,20,0,0,3720,50,80,80,20,30,70800,800,9870,70,
MI1D,32,120,30,140,10,0,0,3660,30,40,50,30,40,71600,200,10100,300,
MI1D,33,124.5,7,130,40,6,8,3970,10,30,50,40,60,71980,70,10100,100,
MI1D,34,110,10,210,10,0,0,4010,80,6,8,10,10,72700,400,9900,100,
MI1D,35,90,1,180,10,6,9,4190,50,30,40,0,0,71600,300,10000,200,
MI1D,36,84,5,150,30,0,0,3420,30,30,30,20,20,71600,300,10000,200,
MI1D,37,96,2,130,10,7,10,3100,50,70,80,40,50,72860,60,10300,400,
MI1D,38,80,10,106,4,4,6,3410,40,80,100,0,0,73220,90,10200,200,
MI1D,39,90,20,158,6,0,0,3370,70,30,40,0,0,72980,90,10100,100,
MI1D,40,90,30,130,30,0,0,2930,9,0,0,8.5,7,72700,600,10000,10,
MI1D,41,86,3,126,8,0,0,2740,80,100,30,100,100,73600,400,10360,70,
MI1D,42,120,20,130,10,2,4,2900,20,40,50,3,4,73200,30,10190,70,
MI1D,43,110,10,120,30,18.5,7,2820,70,70,20,32,2,73700,500,10570,20,
MI1D,44,95,3,98,7,4,6,2900,100,0,0,60,90,74200,300,10400,100,
MI1D,45,94,8,100,10,6,9,2600,100,20,20,110,80,73170,10,10200,300,
MI1D,46,106,8,100,60,0,0,2930,50,40,60,40,60,72900,700,9960,70,
MI1D,47,100,20,108,5,0,0,3010,30,8,10,100,100,74100,500,10400,200,
MI1D,48,87,4,110,10,0,0,2882,5,20,20,60,80,74310,20,10400,200,
MI1D,49,100,10,90,30,0,0,2730,30,20,30,10,20,74500,900,10500,400,
MI1D,50,98,4,90,30,0,0,3230,60,6,8,0,0,74500,500,10400,200,
MI1D,51,150,20,97,6,0,0,3740,10,120,80,120,20,73700,700,10000,100,
MI1D,52,110,10,117,3,0,0,3900,100,60,90,120,20,74900,200,10580,60,
MI1D,53,121,8,90,10,0,0,3240,20,50,60,100,200,74460,70,10400,300,
MI1E,572,92,5,50,30,0,0,2060,50,50,70,40,60,64000,200,9000,200,
MI1E,573,110,30,46,4,0,0,2970,80,0,0,200,300,66500,400,9500,100,
MI1E,574,110,20,90,10,0,0,3168,4,40,50,140,20,67800,500,9500,200,
MI1E,575,88,5,60,40,0,0,2810,40,19,1,90,100,66100,300,9200,200,
MI1E,576,82,6,40,20,0,0,2080,70,50,70,60,60,67000,500,9600,200,
MI1E,577,90,30,46,6,8,10,2540,70,0,0,60,80,68000,400,9440,90,
MI1E,578,110,20,40,5,6,8,2490,90,0,0,50,50,69000,100,9700,100,
MI1E,579,84,2,60,30,4,5,2618,6,120,50,60,80,70000,500,9900,200,
MI1E,580,100,5,61,1,0,0,2690,50,140,20,0,0,70300,200,9600,300,
MI1E,581,90,10,62,1,0,0,2970,70,90,100,8,10,70800,400,10000,500,
MI1E,582,90,20,60,10,0,0,3240,60,90,50,7,10,70700,200,10100,200,
MI1E,583,130,40,72,6,0,0,3330,80,200,200,30,30,72500,600,10200,100,
MI1E,584,130,20,80,20,0,0,3100,100,150,10,40,60,72910,90,10100,70,
MI1E,585,106,8,90,30,0,0,3600,100,0,0,70,100,73100,400,10400,100,
MI1E,586,114,2,52,8,0,0,3300,70,50,70,0,0,73100,800,10200,200,
MI1E,587,132,4,70,30,20,20,3050,6,100,100,10,10,72900,200,10070,70,
MI1E,588,80,10,60,10,0,0,2996,6,0,0,0,0,73500,400,10450,40,
MI1E,589,90,5,80,10,0,0,3270,70,60,80,100,5,72400,600,10100,600,
MI1E,590,120,20,80,40,0,0,3250,80,4,6,0,0,73300,400,10200,200,
MI1E,591,130,20,70,30,0,0,3312,8,80,30,0,0,73490,70,10110,30,
MI1E,592,120,20,69,8,0,0,3350,40,100,30,100,200,72200,300,10200,200,
MI1E,593,110,40,60,6,0,0,2940,70,40,50,20,30,72700,700,10144,4,
MI1E,594,94,6,42,2,8,10,2830,40,30,30,6,8,74300,200,10300,200,
MI1E,595,112,1,70,20,0,0,3920,50,70,80,70,90,73200,400,10200,200,
MI1E,596,130,10,58,7,0,0,3520,50,90,50,10,20,73600,300,10100,200,
MI1E,597,120,1,60,20,0,0,3634,4,70,30,30,40,74000,300,10200,50,
MI1E,598,110,20,60,10,2,4,3720,70,70,20,8,10,74300,400,10300,60,
MI1E,599,100,40,56,4,0,0,3570,10,30,40,50,70,74100,200,10200,300,
MI1E,600,90,40,70,9,0,0,3170,70,40,50,0,0,72740,60,10000,200,
MI1E,601,120,20,60,10,0,0,3470,40,30,50,30,50,72600,100,9960,6,
MI1E,602,77.5,7,53,7,0,0,2982,8,140,90,90,70,72500,100,10300,300,
MI1E,603,80,20,50,9,0,0,2930,60,50,60,100,200,73800,500,10400,300,
MI1E,604,120,20,20,10,0,0,3280,30,100,100,120,30,73800,400,10398,5,
MI1E,605,94.5,7,34,8,0,0,3330,40,40,40,130,90,73600,200,10400,100,
MI1E,606,103,8,52,4,0,0,3300,100,8,10,100,200,74380,50,10580,70,
MI1E,607,120,10,40,20,4,5,2960,30,5,7,130,30,74000,200,10300,300,
MI1E,608,127,3,49,8,0,0,2740,40,0,0,90,70,74100,900,10330,80,
MI1E,609,80,20,31,0,0,0,2940,20,50,70,40,20,73600,200,10400,100,
MI1E,610,120,10,43.5,7,0,0,3440,30,0,0,200,100,74000,800,10500,300,
MI1E,611,110.5,7,60,20,10,10,3200,20,70,60,100,100,74100,400,10200,400,
MI1E,612,120,20,70,20,0,0,3600,100,100,100,200,100,75000,1000,10400,100,
MI1E,613,110,10,58,2,0,0,4000,100,60,30,80,100,75000,500,10500,100,
MI1E,614,110,10,60,30,0,0,3940,40,80,70,70,90,74900,200,10580,10,
MI1F,1121,70,20,31.5,7,7,10,540,20,0,0,0,0,54190,30,7740,40,
MI1F,1122,86,5,72,8,4,6,1320,60,60,80,180,20,63600,400,9400,100,
MI1F,1123,122,6,106,2,0,0,1680,10,40,50,50,60,68224,8,9800,300,
MI1F,1124,110,50,104,6,10,20,1710,30,100,100,140,40,67800,700,9600,200,
MI1F,1125,90,30,90,20,0,0,1670,30,0,0,50,70,69845,8,9900,200,
MI1F,1126,104,7,120,30,0,0,2240,50,5,7,6,8,69800,200,9990,30,
MI1F,1127,98,8,90,40,0,0,2070,30,4,5,0,0,70400,200,9870,50,
MI1F,1128,102.5,7,101,7,0,0,2670,50,10,20,10,10,70600,500,10170,30,
MI1F,1129,116,4,86,5,7,10,2815,4,8,10,100,100,70800,400,10200,100,
MI1F,1130,100,20,180,40,0,0,3600,60,0,0,50,60,71500,200,10200,200,
MI1F,1131,120,50,230,9,8,4,5000,100,40,50,60,90,72400,200,10300,300,
MI1F,1132,110,10,264,2,10,10,4940,50,100,100,87,6,71700,200,10300,200,
MI1F,1133,130,20,255,6,0,0,5300,100,50,50,6,8,71300,100,9980,30,
MI1F,1134,102,8,250,6,0,0,5490,30,50,40,60,80,71800,200,9900,10,
MI1F,1135,80,10,190,30,10,20,5480,20,90,70,40,60,71700,600,10100,200,
MI1F,1136,100,10,190,10,0,0,5440,30,140,80,40,60,71300,700,9970,60,
MI1F,1137,90,20,180,10,0,0,4930,20,10,10,110,60,71700,400,9958,2,
MI1F,1138,100,20,230,40,0,0,4500,50,51,7,80,100,72300,500,10120,30,
MI1F,1139,120,20,162,4,2,4,3874,8,60,20,100,60,72400,100,10300,100,
MI1F,1140,90,20,150,20,0,0,3900,100,70,60,70,100,72000,900,9900,300,
MI1F,1141,100,20,160,10,0,0,3860,40,114,8,110,30,72350,50,9990,30,
MI1F,1142,90,10,218,7,0,0,4105,7,30,40,0,0,71900,300,9900,100,
MI1F,1143,105,7,190,20,0,0,4280,30,70,10,100,200,72200,600,10300,300,
MI1F,1144,90,50,160,30,4,5,4150,40,50,70,100,100,70700,400,10030,6,
MI1F,1145,130,10,169,4,9,10,4420,20,30,30,208,3,70200,500,10200,300,
MI1F,1146,112,8,170,20,0,0,4440,10,60,80,50,70,69700,400,10200,200,
MI1F,1147,112,6,128.5,7,0,0,4300,60,100,100,200,100,68400,500,9820,50,
MI1F,1148,102,2,180,30,3,4,4250,30,100,100,160,50,66900,100,9900,200,
MI1F,1149,130,10,140,20,3,4,3250,50,200,50,200,200,64100,600,9499,4,
MI1F,1150,130,10,220,50,0,0,3430,30,330,30,220,70,63800,700,9700,100,
MI1F,1151,114.5,7,240,30,6,9,3450,40,240,30,250,20,61000,200,9280,90,
MI1F,1152,130,30,260,20,0,0,3900,100,480,20,400,100,60700,300,9500,300,
MI1F,1153,100,20,470,50,0,0,4440,80,400,200,490,80,59800,800,9300,300,
MI1F,1154,130,10,400,30,4,6,4780,30,530,90,450,10,57600,300,9300,300,
MI1F,1155,150,10,600,30,2,4,5760,10,620,10,600,100,57450,30,9200,500,
MI1F,1156,230,40,1320,20,0,0,9290,70,680,30,642,9,56200,700,9200,100,
MI1F,1157,320,20,2050,30,0,0,11700,100,810,20,600,100,56100,400,9200,200,
MI1F,1158,232,5,1698,6,0,0,11530,50,649,3,620,40,56200,100,8900,200,
MI1F,1159,240,70,1880,40,10,20,10660,50,510,60,600,100,55900,300,9010,50,
MI1F,1160,300,50,1600,40,7,10,10270,90,540,70,700,100,55700,300,9140,20,
MI1F,1161,330,20,1890,60,0,0,13100,200,590,70,700,100,55300,100,9300,200,
MI1F,1162,260,20,1900,50,0,0,13230,70,712,5,709,1,54600,200,9259,1,
MI1F,1163,361,6,2080,10,24,8,14380,90,700,100,690,30,54300,700,9180,70,
MI1F,1164,230,20,1690,60,10,20,12860,20,700,100,610,40,54020,4,8900,70,
MI1F,1165,340,9,2034,1,6,8,14040,20,780,50,682,9,52800,200,8950,70,
MI1F,1166,340,6,2280,70,0,0,16910,60,830,60,640,9,52200,500,9000,200,
MI1F,1167,350,20,1940,20,7,0,14040,40,900,100,750,30,52460,60,8750,70,
MI1F,1168,372,1,1900,100,20,30,15000,200,950,50,700,20,52100,500,8900,100,
MI1H,21,68,7,150,30,8,10,2200,20,10,20,150,70,57600,300,8500,400,
MI1H,22,90,10,250,10,4,6,3570,80,100,100,100,200,65200,300,9300,300,
MI1H,23,101,3,270,20,4,5,4810,80,0,0,20,20,68200,500,9680,50,
MI1H,24,100,9,186,9,0,0,4761,1,150,90,50,30,69500,500,10000,300,
MI1H,25,150,20,170,20,0,0,6100,200,150,60,70,70,70650,50,10100,200,
MI1H,26,106,5,250,10,2,4,6100,100,120,60,88,9,70200,500,9900,200,
MI1H,27,106.5,7,298,4,0,0,6220,10,40,50,0,0,71400,200,10200,200,
MI1H,28,130,20,310,7,0,0,6600,100,120,20,80,100,71800,400,10120,80,
MI1H,29,170,20,560,50,7,10,8170,20,0,0,180,30,71500,800,10350,10,
MI1H,30,258,2,1240,30,0,0,10590,30,80,100,30,50,70500,400,9900,200,
MI1H,31,260,30,1840,30,9,10,11700,300,140,90,100,200,70600,300,10180,40,
MI1H,32,400,20,2010,40,10,10,12110,30,180,30,140,10,71100,200,9960,60,
MI1H,33,297,8,2270,10,8,10,12200,20,150,70,300,100,70200,400,10000,300,
MI1H,34,350,2,2530,40,0,0,13430,30,88,8,100,100,70200,400,10300,100,
MI1H,35,360,50,2600,200,7,10,14600,200,100,100,270,60,70500,400,10200,200,
MI1H,36,320,20,2300,200,0,0,14720,90,170,50,10,20,70880,90,10270,60,
MI1H,37,342,5,2233,6,8,10,11880,30,80,50,20,30,70600,400,10100,100,
MI1H,38,260,10,2000,40,6,8,11430,90,100,200,90,100,71800,200,10100,100,
MI1H,39,250,10,1570,50,7,10,11200,300,80,40,20,30,72200,200,10170,50,
MI1H,40,360,20,1600,100,11,0,12100,300,110,50,70,100,72500,400,10220,40,
MI1H,41,430,60,1470,40,14,6,13300,200,130,30,110,30,72500,700,10030,60,
MI1H,42,150,40,650,50,6,9,8740,10,100,40,207,7,72600,100,10100,100,
MI1H,43,151.5,7,540,10,0,0,8610,70,130,40,200,200,72400,300,10200,100,
MI1H,44,120,20,500,10,2,3,8700,200,70,100,80,100,73560,90,10220,80,
MI1H,45,160,20,640,30,0,0,8940,40,80,100,0,0,72600,600,10150,90,
MI1H,46,230,30,860,20,4,6,10210,20,30,30,230,20,72400,700,10400,200,
MI1H,47,170,10,800,80,0,0,9940,70,40,50,150,80,71900,800,10370,20,
MI1H,48,182,4,940,10,4,5,10963,3,190,10,0,0,71200,300,10000,100,
MI1H,49,210,40,1190,90,20,30,11150,30,210,40,9,10,71500,300,10300,300,
MI1H,50,156,4,950,30,0,0,10390,50,140,70,0,0,71300,200,9900,100,
MI1H,51,180,10,876,7,0,0,10750,80,228.5,7,50,10,71400,400,10000,100,
MI1H,52,220,10,920,10,20,9,11030,20,180,60,100,100,72030,20,10200,30,
MI1H,53,170,20,700,50,0,0,9300,200,120,10,23,7,71000,600,9900,300,
MI1H,54,215,3,740,40,0,0,10230,20,100,50,40,50,70700,300,9900,500,
MI1H,55,140,20,715,7,0,0,9780,70,200,200,0,0,70900,200,10000,300,
MI1H,56,183,7,790,30,2,4,11600,40,100,100,30,40,70900,100,9840,90,
MI1H,57,158,7,656,5,0,0,12000,100,123,1,0,0,71100,400,10000,300,
MI1H,58,130,10,540,60,5,7,10920,80,80,50,0,0,71400,200,10080,50,
MI1H,59,150,8,800,30,0,0,11750,60,200,100,200,100,71690,30,10210,40,
MI1H,60,150,30,620,20,20,30,12000,100,100,100,100,200,71000,200,10100,100,
MI1H,61,130,20,450,30,0,0,9760,70,150,60,20,30,70540,10,10100,200,
MI1H,62,163,7,660,70,5,7,11200,30,100,100,170,20,71200,300,10100,100,
MI1H,63,140,30,690,30,0,0,10870,20,90,100,190,40,70800,300,9900,200,
MI1H,64,140,30,631,8,0,0,10490,20,0,0,210,20,71000,300,10100,200,
MI1H,65,178,8,680,10,2,3,10440,70,150,20,70,100,70220,20,9800,300,
MI1H,66,130,10,480,30,0,0,9500,200,180,70,90,100,71000,1000,10030,30,
MI1I,574,140,20,440,10,10,10,3482,8,100,200,186,6,57100,800,8400,100,
MI1I,575,100,10,710,20,20,20,4700,100,290,90,260,40,57380,90,8700,300,
MI1I,576,160,10,840,40,9,0,5390,70,400,100,170,30,59000,400,8560,10,
MI1I,577,108,4,1006,9,5,7,6080,10,254,5,300,100,59000,1000,8830,80,
MI1I,578,166,7,1024,1,20,10,6000,100,180,90,270,20,61100,800,8900,200,
MI1I,579,160,10,1140,10,6,8,7100,100,310,30,180,3,62400,700,9260,90,
MI1I,580,150,20,765,6,0,0,7060,60,420,50,100,100,62400,900,9140,80,
MI1I,581,140,20,740,70,7,10,6800,100,300,40,300,10,65000,1000,9390,40,
MI1I,582,160,20,660,20,10,10,5350,60,340,30,48,6,65200,600,9200,400,
MI1I,583,210,6,890,20,8,10,7100,100,300,200,110,30,65700,100,9800,400,
MI1I,584,161,8,970,30,0,0,8440,30,360,60,210,40,64800,200,9400,200,
MI1I,585,140,10,820,80,0,0,6550,80,300,200,190,40,64870,10,9600,200,
MI1I,586,215,6,730,30,4,5,8380,20,230,20,300,100,64900,400,9500,100,
MI1I,587,137,0,770,40,0,0,7370,30,240,10,270,50,66100,400,9700,200,
MI1I,588,160,10,890,50,6,8,7960,40,300,200,150,10,65850,80,9530,20,
MI1I,589,210,6,1050,10,2,4,9620,60,240,70,20,30,66600,200,9800,200,
MI1I,590,180,10,987,7,0,0,9680,30,287,6,100,100,66100,400,9400,200,
MI1I,591,190,10,930,70,0,0,9220,50,300,50,200,200,66200,400,9600,200,
MI1I,592,200,10,1130,70,2,4,9600,100,300,70,170,20,66200,700,9600,300,
MI1I,593,240,20,1370,30,20,30,10720,40,300,100,200,100,65600,100,9700,80,
MI1I,594,220,40,1350,50,7,10,10000,30,311,1,270,70,65600,600,9600,200,
MI1I,595,220,10,1260,30,0,0,10290,80,300,100,140,90,66700,200,9840,90,
MI1I,596,210,30,1370,40,0,0,9860,30,400,50,90,100,67200,300,9700,100,
