depth	min	max	median	wmean
206	3632.8	4289.7	3991.1	3982.8
207	3639.2	4307.8	3999.3	3991.4
208	3646.2	4328.2	4007	3999.9
209	3654	4343.1	4014.6	4008.7
210	3659	4360	4022.4	4017.1
211	3665.5	4373.8	4031.2	4025.6
212	3672.5	4390.4	4038.2	4034.4
213	3679.4	4410	4047.3	4043.1
214	3685.7	4430	4054.5	4051.6
215	3690.6	4449.3	4062	4060.3
216	3696	4473.6	4068.9	4068.9
217	3703.2	4486.4	4078.4	4077.3
218	3708.1	4498.5	4086.8	4086.1
219	3713.9	4514.7	4095	4094.7
220	3719.5	4535.9	4103	4103.3
221	3725.7	4553.5	4110.3	4112
222	3730.9	4568.1	4118.1	4120.6
223	3736.8	4585.8	4125.8	4129.3
224	3741.2	4604.9	4132.1	4137.8
225	3746.3	4621.7	4140.9	4146.7
226	3751.9	4638	4150.3	4155.6
227	3757.4	4653.4	4159.3	4164.6
228	3763.3	4671.1	4169	4173.8
229	3767.5	4688.9	4177.5	4182.6
230	3773.9	4703.6	4186.3	4191.6
231	3778.8	4719.6	4194	4200.7
232	3784	4734.1	4202.5	4209.6
233	3792.2	4747.9	4212	4218.3
234	3798.4	4758.3	4220.4	4227
235	3805.5	4770.7	4230.6	4235.8
236	3812.6	4785.3	4239.8	4244.4
237	3816.1	4795	4247.9	4253.1
238	3822.5	4806.1	4256.1	4262.2
239	3828	4821	4264.1	4271
240	3833.2	4835.7	4273.2	4280
241	3842.6	4847.6	4284.6	4291.1
242	3851.1	4861.2	4296.3	4302.3
243	3861.1	4876	4306.9	4313.2
244	3868.7	4888.7	4317.6	4324.3
245	3873.4	4907.8	4327.6	4335.3
246	3880.9	4930.1	4338.1	4346.4
247	3886.7	4953.3	4349.1	4357.6
248	3890.7	4976.6	4360.7	4368.9
249	3902	4996.1	4380.2	4387.1
250	3910.6	5024.1	4399.1	4405.3
251	3920.2	5052	4416.9	4423.8
252	3927.9	5090	4434.4	4442
253	3935.5	5123.5	4451.6	4460.2
254	3941.1	5160.9	4467.6	4478.6
255	3946.9	5192.7	4483.3	4496.2
256	3953.6	5228.4	4499.8	4514.4
257	3968.8	5247.7	4521.1	4534.4
258	3980.4	5270.5	4543.5	4554.1
259	3996.9	5294.9	4563	4574.1
