"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-4.55919721366363,-5.88167322298365,4.31558358453844,-2.06154344056833,4.88552794435353,4.1355807141946,5.63547517451246
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-4.17528117148436,-5.93917974796435,5.19649838779411,0.329963437412787,5.04135155614531,4.29132762382694,5.79137548846368
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-4.24156570687232,-5.72131892590239,5.18365829691212,-0.69447756512918,5.01444802887549,4.26445823681068,5.7644378209403
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-4.46831616345384,-6.33542531396229,5.23738930969985,0.504385752032787,4.92241469023352,4.17247573784105,5.67235364262599
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-4.22271173334628,-5.18703441558808,5.20547519290949,0.774258313878858,5.02210046828588,4.27210185283238,5.77209908373939
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-3.56247382182873,-5.21165189067593,5.41649226763735,1.06596429991952,5.29007743384984,4.53932517931044,6.04082968838924
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-3.96445073674789,-5.60196330771864,5.01076690076905,0.683228451702429,5.1269232859167,4.37673279595583,5.87711377587758
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-4.37208704936946,-5.82239656193751,5.11780466578714,0.694956036593007,4.96147210505535,4.21152404429295,5.71142016581776
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-3.83895466878157,-5.53575966157328,5.25944737864346,-0.144230503389126,5.17785955433929,4.42752806181243,5.92819104686615
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-4.13154404617052,-5.92490930657944,5.1439887027159,0.924080917431135,5.05910355420485,4.30905231963366,5.80915478877604
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-3.94902252256367,-6.1935806768104,5.2477503425728,1.32567700163646,5.13318528019034,4.38297913934215,5.88339142103853
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-3.71406752100112,-5.15227294376798,5.51359353944066,1.34667828424067,5.22854867460386,4.47804587239253,5.97905147681519
