"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,90.0909090909091,38.949851207558,3.633220643,0.018650539,4.84327404557573,-8.56427585169289,18.2508239428444
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,64.3636363636364,29.1454035047475,1.389287804,0.01419095,2.62161582356587,-10.7959607272338,16.0391923743655
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,135.090909090909,51.3720829740328,1.543818014,0.018208205,8.72921333849052,-4.6748700146957,22.1332966916767
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,49.9,38.4402855810874,0.741821487,0.012050585,1.37261998214618,-12.0531582372339,14.7983982015263
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,180.181818181818,65.1625938431217,1.001920559,0.002420104,12.6230030138152,-0.795571959295808,26.0415779869262
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,63.8181818181818,62.6798503218031,3.769043144,0.04959872,2.57451352910629,-10.843338860143,15.9923659183556
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,241.333333333333,73.4925269340463,1.250579343,0.003346293,17.9036935815607,4.43684851018958,31.3705386529318
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,97.4545454545455,54.6669253504596,16.76515491,0.107585917,5.47915502077998,-7.92660169380981,18.8849117353698
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,93.9411764705882,58.15654583561,14.16367715,0.137185591,5.17576082999625,-8.23079164483691,18.5823133048294
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,139.090909090909,45.5092398210617,6.771422937,0.061270999,9.07463016452738,-4.330012196489,22.4792725255438
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,215.545454545455,65.5932369019301,5.562421054,0.040340228,15.6768017712776,2.23431407854575,29.1192894640095
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,237.909090909091,46.170238347781,3.933228837,0.026102701,17.6079958441201,4.14471985475749,31.0712718334827
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,197.818181818182,78.0010489439959,5.752426608,0.069152067,14.1459772013415,0.71685191965274,27.5751024830302
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,199.777777777778,49.5675745265435,6.816523388,0.051952222,14.315196555511,0.884729961139085,27.745663149883
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,173.454545454545,70.788930824478,11.84941346,0.182590959,12.0420747154805,-1.37319831631199,25.4573477472729
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,127.272727272727,50.9236505154352,10.70451145,0.097700279,8.05408045123662,-5.3493190621292,21.4574799646024
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,208.181818181818,59.1655612359389,6.228678054,0.076630039,15.0409207960733,1.60431885786618,28.4775227342804
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,104.333333333333,54.3362148334262,16.02760991,0.211315323,6.07316728979789,-7.33134755637206,19.4776821359678
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,58.4,45.2945912885854,0.986560337,0.017365677,2.10663073747453,-11.314104126403,15.527365601352
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,268,66.1286624694618,23.84445704,0.16101435,20.2064724218065,6.70833900189304,33.70460584172
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,201.181818181818,62.6958023823257,36.34308788,0.239108874,14.4364413505088,1.00499294206483,27.8678897589527
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,417.333333333333,120.178907038505,35.13097178,0.339194543,33.102033927183,19.3164723751741,46.8875954791919
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,408.636363636364,90.6225940119491,16.81953054,0.252021868,32.3510140099665,18.5872965444577,46.1147314754753
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,288.3,88.8807565724375,25.16163647,0.249659858,21.9594628139436,8.43337867972761,35.4855469481597
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,209.583333333333,64.4930698649557,11.55396277,0.105306814,15.161947524893,1.72426203539678,28.5996330143893
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,191.083333333333,66.6953158138947,13.36853596,0.092428737,13.5643947044725,0.139621661109535,26.9891677478355
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,261.090909090909,90.1448329583616,24.67115714,0.388038712,19.6098433586519,6.12040963626559,33.0992770810382
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,330,62.0532029793789,30.22335953,0.347057047,25.560433225378,11.9658301083716,39.1550363423844
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,127.545454545455,74.2096538684336,5.120949268,0.044446999,8.07763159846647,-5.32578266500675,21.4810458619397
