"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_predicted"
"BI10",367.3,4768,292,23.0909090909091,1447.271106,277.272727272727,6910.359074,89,541.6620458,54.6363636363636,69.28334701,25910.6363636364,69886.15056,11.3636363636364,106.4331106,103.090909090909,7.537000498,721.909090909091,142.7753473,613.545454545455,10.27576935,33337.7272727273,5523.63636363636,6.03297060271121,0.165833677701485,23.49,2327.4240264742
"BI10",370.4,4801,297,10.8,1739.758107,250.6,7954.492393,59.2,927.4315698,38.5,100.6908119,26984.8,63330.72521,50.8,155.6838291,20.6,9.175578982,564.7,172.6424549,561.2,18.17108513,31157.8,5167.4,6.03225425609092,0.165895806663403,20.96,1824.23558175815
"BI10",375.1,4852,283,20.1,1334.018291,251,6023.226846,66.7,617.6592849,45.1,70.46152124,26799.9,54047.68966,103.4,153.3540492,41.2,7.097707001,521,129.6985539,572.1,12.79708303,29943.6,5052.8,5.93118206455523,0.168876733864015,27.87,1751.66663324486
"BI10",380,4905,291,13.9090909090909,3262.422113,226.363636363636,8005.462824,54.9090909090909,862.5856098,26.2727272727273,97.8957421,11408.2727272727,40132.04847,11.3636363636364,63.73190593,84.7272727272727,14.36128756,582.181818181818,153.3496638,736.727272727273,18.27558905,35920.3636363636,5742.72727272727,6.25576371874217,0.159905569405957,21.31,1891.26832355643
"BI10",382.4,4931,274,20.8333333333333,2439.861236,241.416666666667,8103.945816,69.0833333333333,859.4671757,43.4166666666667,81.91402797,32182.9166666667,54152.91453,142,136.8739771,30.4166666666667,9.248141245,480.583333333333,135.6264282,543.416666666667,16.48531144,28822,4982.41666666667,5.78759173226294,0.172901564288754,27.92,1679.42582446563
"BI10",387.2,4984,264,18.25,4192.532888,267.666666666667,7585.017065,61.3333333333333,1453.514493,45.9166666666667,274.0987451,19068,20119.39045,17.25,47.14281535,53.75,20.02750394,380.25,151.7312933,816.583333333333,23.6965254,39020.1666666667,5956.16666666667,6.55290585240684,0.152836780571885,19.7,1336.36636281153
"BI10",395.8,5077,237,7.75,2645.007056,178.916666666667,7317.516566,33.25,1096.289357,36.1666666666667,78.69369569,16247.25,51021.42539,0.545454545454546,61.90931635,37.5833333333333,10.62373635,295.25,121.4529542,603.333333333333,19.25420696,31109,5164.08333333333,6.02611938551482,0.16602044497674,22.29,1140.22555410637
"BI10",404.1,5184,218,15.5454545454545,1279.071246,263.818181818182,7179.414733,55.4545454545455,439.7704209,49.6363636363636,60.23512043,17395.0909090909,34088.22199,90,97.22108231,14.7272727272727,4.89161886,468.545454545455,127.9383347,649.545454545455,10.69155001,35577,5707.90909090909,6.23196237108261,0.16068896724785,18.54,1536.70832831475
"BI10",413.4,5402,234,36.1818181818182,2999.419337,376.818181818182,9461.06745,113.909090909091,2545.357841,60.9090909090909,321.8666456,20904.1818181818,28823.89617,67.6363636363636,72.67126101,49.6363636363636,11.2517643,643.272727272727,230.1968823,756.272727272727,30.86414748,36062.2727272727,5889,6.12584447253961,0.16332561937701,28.24,2072.55121837957
"BI10",415.7,5491,287,19.6363636363636,1873.201141,308.545454545455,8311.822141,62.7272727272727,713.4399266,45.5454545454545,107.9334325,16910,30935.30845,114.636363636364,70.91847569,41.9090909090909,7.62089899,524.818181818182,147.1050077,789.818181818182,14.88976145,36449.0909090909,5809.72727272727,6.27409731739256,0.15942048284918,17.98,1633.92905263524
"BI10",419.3,5629,395,30.1818181818182,2896.949952,309.818181818182,4039.228505,81.8181818181818,623.497368,63.2727272727273,98.07001331,8806,34349.06054,29.7272727272727,61.6011836,34.1818181818182,14.21907028,806.727272727273,90.62519465,809.818181818182,13.96627653,37563.0909090909,5796.90909090909,6.47761426817617,0.154534673738992,22.45,2444.64754605521
"BI10",433.8,6189,221,61.4545454545455,3339.764406,367.818181818182,5046.388886,172.090909090909,1578.677596,58.8181818181818,53.48002201,21753.9090909091,29282.54803,68.8181818181818,63.26427197,59,15.34553868,508.454545454545,90.09213851,780.181818181818,36.05342738,37237.7272727273,6080.90909090909,6.12438736683727,0.163429551534534,24.94,2049.30486748822
"BI10",438.7,6306,199,27.8333333333333,1374.155784,320.083333333333,5399.551536,105.166666666667,564.5866399,46.8333333333333,46.9486511,16872.6666666667,32219.65007,13.6666666666667,53.82896824,31.5833333333333,5.803580829,401.333333333333,91.69283278,635,11.59992701,34770.3333333333,5511.41666666667,6.3102346307188,0.158541357994711,19.97,1519.67289710727
"BI10",446.3,6403,202,48.1818181818182,959.6082071,365.363636363636,7612.230803,122,383.0841407,68.6363636363636,68.97052291,20380.3636363636,16700.79088,6.27272727272727,18.55755468,50.8181818181818,4.177557871,388.090909090909,107.4610267,883.545454545455,9.694411847,41371.8181818182,6320.18181818182,6.5499803042245,0.152804349991609,19.95,1489.32645428159
"BI10",453,6471,196,54.0769230769231,6631.161901,378.230769230769,11154.85179,331.076923076923,3810.984322,147.153846153846,355.0818916,28176.4615384615,37075.7818,18.6923076923077,50.41642497,138.615384615385,25.0506238,1027.38461538462,263.6699608,552.384615384615,61.68487759,20744.5384615385,4311.46153846154,4.79991788840741,0.211779540584029,56.84,4168.57965129447
"BI10",458.1,6522,187,30.8333333333333,5147.889503,259,11483.54156,157.083333333333,2897.539841,67.1666666666667,201.9552017,5935.08333333333,29511.5462,8.25,62.26601894,136.916666666667,21.73821403,937.25,227.4544094,796.583333333333,60.0329846,35060.6666666667,5630.16666666667,6.23235880234969,0.160807435077952,31.85,3259.73089977927
"BI10",463.4,6579,169,53,5505.035933,402.090909090909,10269.18303,257.090909090909,3795.356029,96.1818181818182,311.4480017,12265.9090909091,35173.56997,22.1818181818182,58.60550147,153,21.04953065,791.363636363636,198.7277638,733.818181818182,50.93045401,33982.4545454545,5654.09090909091,6.00792348674562,0.166712956460366,38.51,3142.9199245495
"BI10",473.6,6809,257,40.3333333333333,2516.983872,310.166666666667,6960.861032,156.166666666667,1199.537678,59.25,60.6622639,15211.0833333333,33521.67785,37,136.0251037,127.666666666667,10.73581104,868.75,111.667296,744.416666666667,21.85695903,33467.75,5488.91666666667,6.09745183773582,0.164073704955427,25.3,2986.47838437109
