"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,945.1,54.8826019791336,5.71655892,0.108668636,61.8401340719323,-120.42445891493,244.104727058795
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,803.545454545455,87.998140476221,10.71344504,0.348935486,60.5699635873161,-121.72874775725,242.868674931882
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,963.818181818182,77.0309264929589,9.674570314,0.181126451,62.0080925221169,-120.253776548474,244.269961592708
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,889.583333333333,112.938807512848,58.14267286,6.463462839,61.3419824147189,-120.933145532703,243.61711036214
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,842,120.667311232164,5.057282645,0.115798204,60.9150166442763,-121.372064025591,243.202097314143
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,807.470588235294,98.3311481977219,16.90685979,0.392208159,60.6051838548462,-121.69225959017,242.902627299863
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,889,109.012843280047,5.156965844,0.162421667,61.3367481583387,-120.938509984371,243.612006301048
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,739,90.364816162044,15.8979202,0.224859279,59.990796517714,-122.331396403735,242.312989439163
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,700.272727272727,90.346102194938,34.80855314,1.065068086,59.6432962759527,-122.695366992959,241.981959544865
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,641.363636363636,114.077405937611,12.27077458,0.312493156,59.1147043589074,-123.252435817274,241.481844535089
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,617.111111111111,105.383163318962,5.275218799,0.119640341,58.8970861845545,-123.48297783809,241.277150207199
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,701.818181818182,67.4193120430907,16.62081972,0.226326755,59.6571636564925,-122.680808137748,241.995135450733
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,762.272727272727,57.9484096573684,8.204676276,0.204151273,60.1996229540776,-122.113531368403,242.512777276558
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,662.363636363636,68.2968121178035,9.348601732,0.169618079,59.3031375885948,-123.053377353123,241.659652530313
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,732.333333333333,83.3004783717939,4.985074292,0.127587693,59.9309764447973,-122.393924501998,242.255877391592
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,778.5,84.1641913827437,7.527120756,0.159172342,60.3452304497452,-121.962003256081,242.652464155571
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,669.909090909091,92.2403973814668,5.881017729,0.137897582,59.3708430347596,-122.981982346775,241.723668416295
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,792.454545454545,82.112561324518,5.366567931,0.132996241,60.4704447387366,-121.831948394969,242.772837872442
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,469.5,80.2173184656417,6.491956622,0.038041679,57.5725700700583,-124.901238167521,240.046378307638
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,621.090909090909,103.50116380549,6.318871737,0.0188804,58.9327969553563,-123.445098290318,241.31069220103
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,606,90.4937075774394,13.10956878,0.116047921,58.7973860630268,-123.588832657999,241.183604784053
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,651.333333333333,98.9125723540591,4.823094008,0.025467738,59.20416255886,-123.157867881595,241.566192999315
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,860.5,78.0611648295454,14.95585253,0.150306821,61.08101734662,-121.201095640373,243.363130333613
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,403.636363636364,141.062590878853,3.512118591,0.040596801,56.981574940584,-125.542414750287,239.505564631455
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,714,113.228088387997,6.610934788,0.094285182,59.7664712442765,-122.566149643638,242.099092132191
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,720.636363636364,81.4116364253572,25.31019839,0.350281555,59.8260194077709,-122.503760776302,242.155799591844
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,467.6,91.4308481859378,9.681378018,0.061403622,57.5555213492771,-124.919662337648,240.030705036202
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,539.05,56.4301850916128,18.17108513,0.431769602,58.1966429807613,-124.229768711697,240.62305467322
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,535.272727272727,108.593822024175,10.27576935,0.187219683,58.1627494712656,-124.266088706837,240.591587649368
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,587.4,93.1560220514189,12.79708303,0.179448508,58.6304880595893,-123.766362305363,241.027338424542
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,687.727272727273,99.9660851580084,18.27558905,0.220152357,59.5307257751005,-122.813655862385,241.875107412586
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,586.333333333333,64.0501697298629,16.48531144,0.237707627,58.6209168479227,-123.776555692533,241.018389388378
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,781.583333333333,64.1014229502156,23.6965254,0.126505307,60.3728972334691,-121.933246958344,242.679041425283
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,605.083333333333,96.5358702370484,19.25420696,0.306869951,58.7891608030007,-123.597572238476,241.175893844478
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,583.090909090909,56.3781066469149,10.69155001,0.147620518,58.5918225397314,-123.807549581341,240.991194660804
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,733,138.055785825875,30.86414748,0.245132518,59.936958452089,-122.387669310646,242.261586214824
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,754,102.593372105609,14.88976145,0.24262062,60.1253916817765,-122.19090169057,242.441685054123
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,855.363636363636,84.0122285471261,13.96627653,0.338131722,61.0349286995319,-121.248522627284,243.318380026348
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,804.818181818182,107.419568219034,36.05342738,0.617087304,60.5813837830548,-121.716914433484,242.879681999593
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,844.416666666667,98.55728222099,11.59992701,0.320170369,60.9367014207086,-121.349707161537,243.223110002955
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,696.454545454545,91.9579943630391,9.694411847,0.227113038,59.6090356887368,-122.731348119354,241.949419496827
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,869.307692307692,120.756217655921,61.68487759,1.598916396,61.160048866031,-121.119842345793,243.439940077855
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,573.25,73.800868435393,60.0329846,0.581671393,58.5035199548237,-123.901694041928,240.908733951576
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,744.363636363636,106.60700983263,50.93045401,0.738584595,60.0389244854696,-122.281128125151,242.35897709609
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,807.25,55.2006669920177,78.78952034,1.427199314,60.6032045141982,-121.69430969865,242.900718727046
