"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-2.03034168744015,-0.101517084372007,-2.87765149687048,-0.143882574843524,-3.59329905288394,-5.03439927010251,-2.15219883566538,-3.60180527282176,-5.08131051064986,-2.12230003499366
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.953254992026939,-0.047662749601347,-2.30871851996975,-0.115435925998487,-2.99670138865456,-4.43310779796423,-1.56029497934489,-2.99582337071235,-4.42665250141355,-1.56499424001115
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.607531810445478,-0.0303765905222739,-2.36212035102483,-0.118106017551241,-2.80520552905496,-4.24259622559698,-1.36781483251293,-2.80131535936079,-4.21907889847836,-1.38355182024321
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.868051190484932,-0.0434025595242466,-2.45468687143679,-0.122734343571839,-2.94950705490232,-4.38604358987889,-1.51297051992576,-2.94788668934283,-4.37537646095876,-1.52039691772689
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-1.20830749820948,-0.0604153749104742,-2.37901885227534,-0.118950942613767,-3.13797481640401,-4.57443163578026,-1.70151799702776,-3.13931897184869,-4.58060320059958,-1.69803474309779
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.834560857841891,-0.0417280428920946,-2.02901747675901,-0.101450873837951,-2.93095678005983,-4.36756460851808,-1.49434895160159,-2.92904462624453,-4.35524306463738,-1.50284618785169
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-0.670277111579542,-0.0335138555789771,-2.10425922085807,-0.105212961042903,-2.8399601131171,-4.27708225649414,-1.40283796974005,-2.83661661885231,-4.2566554773125,-1.41657776039212
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.527440167464404,-0.0263720083732202,-2.84778967617713,-0.142389483808857,-2.76084281681435,-4.1986341780924,-1.3230514555363,-2.75625483975413,-4.17117654236142,-1.34133313714683
"Bird Island","BI10","BI10.13",519,491,492,491.5,-1.07207557495245,-0.0536037787476226,-3.56277980322316,-0.178138990161158,-3.06251603712957,-4.49886386842582,-1.62616820583332,-3.0626732567592,-4.49828796506672,-1.62705854845168
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-1.46877887939034,-0.0734389439695172,-2.56468518270184,-0.128234259135092,-3.28224975571285,-4.71943858029542,-1.84506093113029,-3.2858632970968,-4.73852267377185,-1.83320392042174
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-1.40541911710754,-0.0702709558553772,-2.38845826048118,-0.119422913024059,-3.24715482199487,-4.68410233223584,-1.8102073117539,-3.25021633438819,-4.70004465774835,-1.80038801102802
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-4.11291524359722,-0.205645762179861,-3.87397823310782,-0.193698911655391,-4.74683527655119,-6.2296429081362,-3.26402764496618,-4.77348615070938,-6.37761946773357,-3.16935283368519
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.626207759755678,-0.0313103879877839,-2.2979295368455,-0.114896476842275,-2.81555012599704,-4.25285672393661,-1.37824352805747,-2.81182267259276,-4.23025896773551,-1.39338637745
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.21970779946337,-0.0109853899731685,-2.11160077712181,-0.10558003885609,-2.59039004570593,-4.03032350004738,-1.15045659136448,-2.58312091609132,-3.98778296336945,-1.17845886881318
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.733745666067533,-0.0366872833033767,-2.11003070265951,-0.105501535132975,-2.87511530677124,-4.31200634743837,-1.4382242661041,-2.87232478936129,-4.29470873515146,-1.44994084357112
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.420657112497225,-0.0210328556248612,-2.17892104734001,-0.108946052367001,-2.70169574773997,-4.14012215068218,-1.26326934479776,-2.69617741141189,-4.10741992284204,-1.28493489998174
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-0.383654786354765,-0.0191827393177383,-2.18382458304818,-0.109191229152409,-2.68120018183831,-4.11987350296159,-1.24252686071503,-2.67535945861963,-4.08535647503236,-1.2653624422069
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.420039877870349,-0.0210019938935175,-2.18306141406654,-0.109153070703327,-2.70135386185628,-4.13978427028795,-1.2629234534246,-2.69583014780272,-4.10705175868946,-1.28460853691597
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-0.360844096814211,-0.0180422048407105,-2.19047612308321,-0.10952380615416,-2.66856535480228,-4.10739777669607,-1.22973293290849,-2.66252589090862,-4.07176267464626,-1.25328910717098
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.34195075477374,-0.017097537738687,-2.16052850504115,-0.108026425252057,-2.65810034415937,-4.09706851799511,-1.21913217032364,-2.65189626991744,-4.06050775963279,-1.24328478020209
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-0.383622150546405,-0.0191811075273202,-2.14387513291522,-0.107193756645761,-2.68118210488395,-4.11985564988647,-1.24250855988142,-2.67534109732215,-4.08533702192166,-1.26534517272264
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.232887104525226,-0.0116443552262613,-2.13975943157624,-0.106987971578812,-2.59769005474842,-4.03751220143351,-1.15786790806333,-2.59053575129806,-3.99561554988385,-1.18545595271226
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.522494547150593,-0.0261247273575297,-2.31904648280026,-0.115952324140013,-2.75810344073631,-4.19592166917738,-1.32028521229524,-2.7534723744079,-4.16822090152763,-1.33872384728817
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.428984796813928,-0.0214492398406964,-2.3262551008816,-0.11631275504408,-2.70630844700823,-4.1446811842069,-1.26793570980957,-2.70086266655792,-4.11238757902324,-1.28933775409259
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.599001974759042,-0.0299500987379521,-2.22215799719508,-0.111107899859754,-2.80048085826619,-4.2379111389952,-1.36305057753718,-2.79651637142791,-4.21397391091792,-1.3790588319379
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.731469305208316,-0.0365734652604158,-2.43279219082238,-0.121639609541119,-2.8738544318785,-4.31075305598592,-1.43695580777108,-2.87104408142085,-4.29334316369481,-1.44874499914689
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-0.084912669841162,-0.0042456334920581,-2.16059813179483,-0.108029906589742,-2.51572710555026,-3.95689928488761,-1.0745549262129,-2.50728355834528,-3.90778525580462,-1.10678186088594
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-0.461947932919541,-0.0230973966459771,-2.27146803561061,-0.11357340178053,-2.72456670800991,-4.1627338942228,-1.28639952179701,-2.7194081225568,-4.13205837997744,-1.30675786513616
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.40830987945589,-0.0204154939727945,-2.16329107601346,-0.108164553800673,-2.69485662288259,-4.13336388314688,-1.2563493626183,-2.68923070991048,-4.10005592675195,-1.27840549306901
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.395409100192415,-0.0197704550096207,-2.09681156468196,-0.104840578234098,-2.68771088911009,-4.12630427554492,-1.24911750267525,-2.68197257666079,-4.09236359631873,-1.27158155700285
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-0.309194074920809,-0.0154597037460405,-2.24681998514599,-0.1123409992573,-2.63995643915025,-4.07916850546527,-1.20074437283523,-2.63346696868422,-4.04100376831608,-1.22593016905235
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-0.562753895461699,-0.0281376947730849,-2.23577747312469,-0.111788873656235,-2.78040306923241,-4.21800977493487,-1.34279636352995,-2.77612276696324,-4.19228881852759,-1.35995671539889
