"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","BI10","OLS",5017,9134.44342980325,2400.78482472853,18376.0319985411,0.130647618861304,0.000960331115133468,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.550924765384859,0.931968902310332,0.703342420155048,5,"Acceptable"
"Ca","BI10","RF",4577,7717.40182363506,2429.93853544895,11942.5562147705,0.203468879840282,0.000578926395196979,0.7,0.7,FALSE,4,0.7,0.924692965310466,0,0.55481577918628,6,"Acceptable"
"Ca","BI10","WLS_weighted",5017,9183.88358975807,2337.47336212703,97060.955278778,0.0240825299463966,0.0009872092238201,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00396030853295355,0.997646016775588,0.401434591830008,7,"Marginal"
"Ca","BI10","WLS",5017,9186.32244910297,2335.27006011243,100179.133008929,0.0233109430075053,0.000988172582479617,0.3,0.3,FALSE,8,0.308444560944566,0,1,0.4,8,"Marginal"
"Ca","HER42PB","OLS_weighted",4009,11884.2860206299,3714.19216041679,20345.4583203427,0.182556327900615,0.000658218571861659,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,1,0.91572578816203,0.966290315264812,1,"Stable"
"Ca","HER42PB","OLS",4009,12373.0828363092,3761.8350902315,24903.556844545,0.151056136828724,0.000650393340884676,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.797652094473633,0.882896586528037,0.831749891295395,2,"Stable"
"Ca","HER42PB","PLS_LOO",3901,14260.5737200659,3570.54890720062,23273.2904958191,0.153418310480937,0.000593653390066946,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,0.812825998972305,0.64485539751048,0.745637758387575,3,"Acceptable"
"Ca","HER42PB","PLS_kfold",3901,14260.5737200659,3570.54890720062,23273.2904958191,0.153418310480937,0.000593653390066946,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,0.812825998972305,0.64485539751048,0.745637758387575,4,"Acceptable"
"Ca","HER42PB","Bayes",3901,14368.6128647651,3610.18028937468,23260.2860005684,0.155207906269358,0.000579940143262909,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.824321832718183,0.58732419546537,0.729522777817058,5,"Acceptable"
"Ca","HER42PB","RF",3901,13431.0072357562,3687.43389155026,20784.2694471046,0.177414650100388,0.000439944430326398,0.7,0.7,FALSE,4,0.7,0.966971383399138,0,0.580182830039483,6,"Acceptable"
"Ca","HER42PB","WLS_weighted",4009,12318.3391340009,3615.60005228376,130170.191052324,0.0277759448845734,0.000677318438769952,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00573662399740849,0.995855484494204,0.401784168196127,7,"Marginal"
"Ca","HER42PB","WLS",4009,12317.12147455,3610.45188549286,134302.891994305,0.0268829049909511,0.00067830633337312,0.3,0.3,FALSE,8,0.308444560944566,0,1,0.4,8,"Marginal"
"Ca","KER1","PLS_LOO",2249,8668.10303110922,5179.45100686738,14146.3649254753,0.366132998417144,0.0004701226527187,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,0.705122693832022,0.982730808710832,0.816165939783546,1,"Stable"
"Ca","KER1","PLS_kfold",2249,8668.10303110922,5179.45100686738,14146.3649254753,0.366132998417144,0.0004701226527187,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,0.705122693832022,0.982730808710832,0.816165939783546,2,"Stable"
"Ca","KER1","Bayes",2249,8513.54767660763,5043.58147772428,13781.9534635088,0.365955485996845,0.000459839271272765,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.704725349714462,0.901123324169265,0.783284539496383,3,"Stable"
"Ca","KER1","OLS_weighted",2523,8175.34368390542,4942.99790346286,14016.5202545135,0.352655139343245,0.000453700111340587,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,0.674953830091046,0.852403805021067,0.745933820063054,4,"Acceptable"
"Ca","KER1","OLS",2523,8572.7165714356,5005.45200389427,17275.5475128282,0.28974201831678,0.000450358761299047,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.534128988002982,0.825887315936563,0.650832319176415,5,"Acceptable"
"Ca","KER1","RF",2249,8599.27251355783,6625.25607597163,13307.2370399035,0.497868645166905,0.000346288474745749,0.7,0.7,FALSE,4,0.7,1,0,0.6,6,"Acceptable"
"Ca","KER1","WLS",2523,8614.92222600509,4803.69886495613,93966.6373190531,0.0511213235038486,0.000472298748236003,0.3,0.3,FALSE,8,0.308444560944566,0,1,0.4,7,"Marginal"
